# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
19012 19573 8517  9785 9247 4700  2890 6463 1872  2086 2300 903  1127 1549 643  
19426 21473 9406  8480 9614 4406  3777 4449 1873  2335 2175 749  1086 1148 430  
2949 3662 1474  2771 2882 1216  2905 2351 1265  2514 2503 1131  1790 2528 1064  
22265 28287 10260  7941 8826 3952  3069 2857 1810  1685 448 705  390 140 263  
11541 18372 6951  8940 10234 4344  5671 4902 2636  3471 3023 1432  2233 1514 822  
24661 32430 11686  8577 6340 3873  2034 1609 1273  350 190 248  252 16 124  
31036 24100 13463  4078 12685 3216  682 2086 427  90 1009 113  12 540 16  
2455 3707 1431  2718 3263 1452  1573 2931 980  1834 2681 943  2182 2417 985  
23705 16920 9707  7703 11411 4786  2915 7407 1805  1054 2252 561  308 1546 217  
27260 20096 11841  5346 9313 3587  2485 6262 1330  594 2177 320  156 1321 108  
21441 29936 11960  8276 7291 3658  3902 2277 893  1501 711 540  468 266 103  
13299 17904 7640  10727 8967 4491  4304 6321 2103  3389 3129 1286  1861 1687 809  
9980 14913 5716  5505 9003 3345  5220 5739 2194  5154 3887 2034  3001 2277 1073  
27789 33225 14042  4731 5403 1680  1819 1542 833  1053 359 520  422 38 119  
31642 24744 15001  3661 7292 1661  502 6737 547  71 941 28  18 482 3  
11190 21294 7296  9721 10444 4836  6993 4811 2439  3635 2165 1389  1186 981 471  
19516 11103 7822  9345 11334 4703  4004 7867 2413  1754 4551 1242  698 2755 598  
22500 26754 9896  10102 9290 4925  2351 3629 1726  447 668 314  281 183 201  
2680 3554 1532  2709 3258 1445  1909 3012 1144  2147 2419 1163  2524 2270 1101  
29013 26612 15050  6187 7564 1815  525 2662 290  155 2072 74  20 1390 13  
