# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
19012 19573 8517  9785 9247 4700  2890 6463 1872  2086 2300 903  1127 1549 643  
19426 21473 9406  8480 9614 4406  3777 4449 1873  2335 2175 749  1086 1148 430  
2949 3662 1474  2771 2882 1216  2905 2351 1265  2514 2503 1131  1790 2528 1064  
22265 28287 10260  7941 8826 3952  3069 2857 1810  1685 448 705  390 140 263  
11541 18372 6951  8940 10234 4344  5671 4902 2636  3471 3023 1432  2233 1514 822  
24661 32430 11686  8577 6340 3873  2034 1609 1273  350 190 248  252 16 124  
31036 24100 13463  4078 12685 3216  682 2086 427  90 1009 113  12 540 16  
2455 3707 1431  2718 3263 1452  1573 2931 980  1834 2681 943  2182 2417 985  
23705 16920 9707  7703 11411 4786  2915 7407 1805  1054 2252 561  308 1546 217  
27260 20096 11841  5346 9313 3587  2485 6262 1330  594 2177 320  156 1321 108  
21441 29936 11960  8276 7291 3658  3902 2277 893  1501 711 540  468 266 103  
13299 17904 7640  10727 8967 4491  4304 6321 2103  3389 3129 1286  1861 1687 809  
9980 14913 5716  5505 9003 3345  5220 5739 2194  5154 3887 2034  3001 2277 1073  
27789 33225 14042  4731 5403 1680  1819 1542 833  1053 359 520  422 38 119  
31642 24744 15001  3661 7292 1661  502 6737 547  71 941 28  18 482 3  
11190 21294 7296  9721 10444 4836  6993 4811 2439  3635 2165 1389  1186 981 471  
19516 11103 7822  9345 11334 4703  4004 7867 2413  1754 4551 1242  698 2755 598  
22500 26754 9896  10102 9290 4925  2351 3629 1726  447 668 314  281 183 201  
2680 3554 1532  2709 3258 1445  1909 3012 1144  2147 2419 1163  2524 2270 1101  
29013 26612 15050  6187 7564 1815  525 2662 290  155 2072 74  20 1390 13  
6529 7135 3236  4629 5445 2105  4508 4086 2197  3705 4075 1730  2296 3587 1231  
9582 10534 4892  6346 7666 2926  5726 5217 2624  3518 4286 1601  3051 3010 1374  
26048 21039 12265  7528 11464 3670  1747 3789 888  410 1605 263  127 1831 118  
13262 14096 6446  8433 8933 3914  3406 6325 2102  3283 3472 1300  2270 2805 1218  
7694 7375 4249  8022 7807 3652  4981 6647 2593  3678 4935 1856  3078 2536 1300  
20865 17898 10493  7682 9609 3956  4578 4476 1608  1831 4500 782  517 2089 256  
3329 2143 1383  3001 3122 1375  2730 2506 1322  2197 2135 1148  2324 1828 969  
15822 25474 9718  12071 8368 4934  3670 4077 1490  2464 1264 712  623 864 176  
13025 13760 6059  8821 7761 3945  5312 6070 2715  2769 4792 1567  2192 2814 1078  
6727 5932 2888  5593 4923 2477  4024 5414 2177  3714 3027 1591  2967 3590 1497  
19226 32558 11347  9395 6570 3769  3357 1171 1269  2014 236 496  1214 42 185  
30764 24066 12925  3965 13330 3393  1021 1980 723  131 695 168  14 257 22  
28787 30113 14650  4847 5091 1992  1939 3030 449  207 750 103  80 610 29  
16210 17475 7644  9143 8545 4460  4803 6230 2420  2690 2697 1222  1423 2341 693  
26477 23890 11345  7114 10944 4302  1680 3160 992  454 1711 455  124 607 99  
16522 16929 8172  9226 9282 4235  4299 5566 2241  2815 3284 1167  1224 2499 640  
10653 14379 5417  8610 9367 4393  4119 5893 2045  3663 4044 1769  2848 2127 1020  
16759 16780 7705  7567 9657 4335  4154 6187 2266  3399 2977 1379  1910 1755 655  
30652 27022 14329  3773 11173 2368  1112 1834 450  307 265 84  40 217 7  
9837 9326 4292  7548 6685 3457  5306 5912 2616  3581 4872 1851  1985 3723 1142  
3036 3332 1602  3086 3135 1465  2704 2308 1277  1924 2922 1055  2227 2416 1115  
19051 22750 8750  10775 10827 5418  3111 4316 1597  1237 1277 482  788 772 399  
21205 33223 12602  10357 5652 3724  1471 1304 429  2221 275 406  199 106 29  
12352 12352 6359  7800 7960 3919  5970 4785 2326  3164 5693 1658  2146 2874 1082  
14768 16036 7907  10006 10095 4283  5222 5088 2324  2454 2988 1213  1130 2812 626  
24952 33398 13838  5849 5766 2222  2757 1159 541  1528 212 389  422 46 161  
27174 19425 11203  5827 12958 3653  1920 4582 1348  609 2116 553  269 860 306  
31556 29895 13446  4179 7001 3192  156 2959 520  13 675 68  5 38 14  
24550 29638 12537  4986 7848 2574  2746 2230 1133  1714 636 511  1014 162 220  
7090 10936 4280  6454 8013 3428  3021 5538 1877  4921 4167 2136  3470 2839 1514  
