# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
19012 19573 8517  9785 9247 4700  2890 6463 1872  2086 2300 903  1127 1549 643  
19426 21473 9406  8480 9614 4406  3777 4449 1873  2335 2175 749  1086 1148 430  
2949 3662 1474  2771 2882 1216  2905 2351 1265  2514 2503 1131  1790 2528 1064  
22265 28287 10260  7941 8826 3952  3069 2857 1810  1685 448 705  390 140 263  
11541 18372 6951  8940 10234 4344  5671 4902 2636  3471 3023 1432  2233 1514 822  
24661 32430 11686  8577 6340 3873  2034 1609 1273  350 190 248  252 16 124  
31036 24100 13463  4078 12685 3216  682 2086 427  90 1009 113  12 540 16  
2455 3707 1431  2718 3263 1452  1573 2931 980  1834 2681 943  2182 2417 985  
23705 16920 9707  7703 11411 4786  2915 7407 1805  1054 2252 561  308 1546 217  
27260 20096 11841  5346 9313 3587  2485 6262 1330  594 2177 320  156 1321 108  
21441 29936 11960  8276 7291 3658  3902 2277 893  1501 711 540  468 266 103  
13299 17904 7640  10727 8967 4491  4304 6321 2103  3389 3129 1286  1861 1687 809  
9980 14913 5716  5505 9003 3345  5220 5739 2194  5154 3887 2034  3001 2277 1073  
27789 33225 14042  4731 5403 1680  1819 1542 833  1053 359 520  422 38 119  
31642 24744 15001  3661 7292 1661  502 6737 547  71 941 28  18 482 3  
11190 21294 7296  9721 10444 4836  6993 4811 2439  3635 2165 1389  1186 981 471  
19516 11103 7822  9345 11334 4703  4004 7867 2413  1754 4551 1242  698 2755 598  
22500 26754 9896  10102 9290 4925  2351 3629 1726  447 668 314  281 183 201  
2680 3554 1532  2709 3258 1445  1909 3012 1144  2147 2419 1163  2524 2270 1101  
29013 26612 15050  6187 7564 1815  525 2662 290  155 2072 74  20 1390 13  
6529 7135 3236  4629 5445 2105  4508 4086 2197  3705 4075 1730  2296 3587 1231  
9582 10534 4892  6346 7666 2926  5726 5217 2624  3518 4286 1601  3051 3010 1374  
26048 21039 12265  7528 11464 3670  1747 3789 888  410 1605 263  127 1831 118  
13262 14096 6446  8433 8933 3914  3406 6325 2102  3283 3472 1300  2270 2805 1218  
7694 7375 4249  8022 7807 3652  4981 6647 2593  3678 4935 1856  3078 2536 1300  
20865 17898 10493  7682 9609 3956  4578 4476 1608  1831 4500 782  517 2089 256  
3329 2143 1383  3001 3122 1375  2730 2506 1322  2197 2135 1148  2324 1828 969  
15822 25474 9718  12071 8368 4934  3670 4077 1490  2464 1264 712  623 864 176  
13025 13760 6059  8821 7761 3945  5312 6070 2715  2769 4792 1567  2192 2814 1078  
6727 5932 2888  5593 4923 2477  4024 5414 2177  3714 3027 1591  2967 3590 1497  
19226 32558 11347  9395 6570 3769  3357 1171 1269  2014 236 496  1214 42 185  
30764 24066 12925  3965 13330 3393  1021 1980 723  131 695 168  14 257 22  
28787 30113 14650  4847 5091 1992  1939 3030 449  207 750 103  80 610 29  
16210 17475 7644  9143 8545 4460  4803 6230 2420  2690 2697 1222  1423 2341 693  
26477 23890 11345  7114 10944 4302  1680 3160 992  454 1711 455  124 607 99  
16522 16929 8172  9226 9282 4235  4299 5566 2241  2815 3284 1167  1224 2499 640  
10653 14379 5417  8610 9367 4393  4119 5893 2045  3663 4044 1769  2848 2127 1020  
16759 16780 7705  7567 9657 4335  4154 6187 2266  3399 2977 1379  1910 1755 655  
30652 27022 14329  3773 11173 2368  1112 1834 450  307 265 84  40 217 7  
9837 9326 4292  7548 6685 3457  5306 5912 2616  3581 4872 1851  1985 3723 1142  
3036 3332 1602  3086 3135 1465  2704 2308 1277  1924 2922 1055  2227 2416 1115  
19051 22750 8750  10775 10827 5418  3111 4316 1597  1237 1277 482  788 772 399  
21205 33223 12602  10357 5652 3724  1471 1304 429  2221 275 406  199 106 29  
12352 12352 6359  7800 7960 3919  5970 4785 2326  3164 5693 1658  2146 2874 1082  
14768 16036 7907  10006 10095 4283  5222 5088 2324  2454 2988 1213  1130 2812 626  
24952 33398 13838  5849 5766 2222  2757 1159 541  1528 212 389  422 46 161  
27174 19425 11203  5827 12958 3653  1920 4582 1348  609 2116 553  269 860 306  
31556 29895 13446  4179 7001 3192  156 2959 520  13 675 68  5 38 14  
24550 29638 12537  4986 7848 2574  2746 2230 1133  1714 636 511  1014 162 220  
7090 10936 4280  6454 8013 3428  3021 5538 1877  4921 4167 2136  3470 2839 1514  
6653 6757 3264  4378 6011 2481  4611 2847 1784  3031 3332 1668  2892 3875 1485  
26426 27515 12329  7289 7806 3509  1621 3385 1059  248 1366 181  147 362 72  
16167 22256 8547  10546 9751 4735  3917 4382 2069  2668 2255 1008  823 1051 326  
18330 26019 10436  9267 8881 3542  5293 3355 2002  1528 1462 756  892 489 329  
3412 3329 1604  2967 2928 1466  2757 1853 1124  2354 2587 1218  2027 2484 941  
17586 20063 8099  7848 11413 4538  5959 4331 2572  2519 2362 1131  824 1159 334  
2889 2752 1514  2671 2334 1350  2867 2147 1221  2557 1931 1109  2356 2600 1107  
23658 18647 10721  7845 12656 4338  2251 4612 1338  1425 2096 530  484 1306 195  
18976 20052 9741  9647 7308 3780  3651 7201 1946  2047 2889 944  628 1728 386  
26603 31065 14372  7447 7275 2413  1590 1131 378  188 908 62  63 114 12  
6739 5171 3025  5297 4724 2551  4549 4255 1975  3686 4179 1746  2836 3563 1339  
16024 16528 8867  10600 10962 4703  4427 5252 1966  2731 2664 872  1019 2709 459  
13255 8185 5388  8419 9251 4347  5462 6996 2672  3194 3397 1592  2098 4032 1217  
22719 35781 12521  7342 3936 2596  2789 717 1035  2328 148 879  466 7 128  
2792 3669 1427  3030 2832 1314  1856 3058 1148  2568 2554 1150  2032 2144 868  
33266 33290 16323  2334 6349 821  274 646 99  20 253 1  11 41 0  
24098 18420 10313  7093 13523 4552  3014 4740 1572  1034 2284 527  433 842 179  
10004 10298 4678  6643 6335 3400  3907 6515 2285  4077 4437 1945  2802 3562 1317  
18413 19934 8371  9887 9713 4992  3352 5712 1745  1905 2905 1064  972 1289 501  
16379 19749 7590  9718 10868 4756  4898 4245 2077  2637 2969 1487  1225 1346 666  
15280 25569 9356  11260 9481 4419  4491 3568 1902  2251 1265 816  1278 451 387  
9984 8449 4701  7430 7232 3297  4142 4377 2302  3960 3055 1623  2234 3230 1329  
16296 16132 7254  9163 8333 4525  4229 6758 2140  2054 4295 1286  1617 2330 874  
6097 7418 3151  4309 4652 2413  3087 5131 1746  3714 4079 1636  3455 2908 1547  
15651 12041 7424  8498 11171 4537  5384 4211 2066  2961 3581 1315  1429 3900 885  
11742 13697 6367  8718 9499 3990  5525 6049 2435  3296 4008 1639  2509 1961 1018  
31119 26068 13982  3965 11244 2670  675 2391 503  125 402 70  12 391 13  
12872 14298 6210  5351 9355 3145  5051 5570 2759  4766 3505 1917  2819 2367 1012  
20301 13951 8523  8826 10109 4567  3676 8272 2368  1730 4102 1013  784 1821 424  
6282 7306 3212  5113 4809 2560  3896 5237 2044  3970 3477 1693  3156 2724 1293  
4860 7365 2695  3724 5951 2133  4931 4812 2297  3330 3474 1379  3256 3442 1584  
1936 3571 1253  2753 3410 1424  1531 2911 990  1983 2763 1124  2013 2574 1047  
14517 17657 7934  10100 7762 4212  3360 6781 1950  3402 3765 1421  1929 2073 756  
23388 29767 12044  5505 7682 2702  4113 2295 1680  1223 591 333  680 177 203  
24309 28625 13762  9753 8586 2959  1395 2153 438  317 839 67  106 184 8  
4735 7162 2545  4479 5871 2231  2971 4912 1811  3846 4164 1888  2345 3274 1211  
11267 14703 6224  7735 6460 3802  5614 7004 2647  4229 3818 1713  1702 3096 806  
22908 21679 12051  8467 13029 3875  3271 3225 985  791 1821 243  339 493 63  
21584 20186 10940  9663 10143 3941  3085 5781 1489  841 1932 527  459 1403 224  
23205 29766 11973  8453 6885 3926  3267 2308 974  738 916 242  113 448 47  
21734 32968 11982  9605 6051 3521  3634 1242 1396  660 226 202  122 75 60  
15489 25427 9592  9994 8837 4624  6468 3874 1877  2317 1295 747  821 753 207  
17883 21032 8529  9522 10513 4793  4924 3751 2057  1980 2674 1016  804 1409 454  
8895 14600 5187  8035 9426 3864  3925 5849 2289  2619 3694 1454  3647 2513 1328  
23275 29596 11876  6575 6923 2571  3675 2990 1992  1280 793 517  387 204 138  
27377 20744 11474  6249 13487 4373  1738 3934 1030  403 1155 258  99 727 73  
25655 26149 12983  7086 9951 3205  1934 2151 749  930 1292 225  182 660 56  
34197 27671 15450  1606 9577 1664  92 2200 118  8 449 7  3 354 1  
6290 7337 3183  4775 6053 2552  4250 4281 1805  3449 3556 1476  3047 3437 1489  
3045 2644 1520  2753 2290 1351  2857 2541 1309  2504 1736 1058  2381 2218 1055  
