# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92145 153395  40188 76558  20835 32975  
90485 137505  38252 73003  21723 42157  
78100 143518  48290 81367  21476 33446  
93643 166959  43774 75714  22527 30569  
61556 93064  41010 60691  24523 44768  
26516 51986  27255 44426  20270 33396  
115493 186500  39782 61039  12720 25500  
83876 129607  39705 54077  23942 41914  
63726 86127  39828 66774  27025 44170  
94790 157458  38574 56319  18487 31485  
124914 205114  34229 63955  11954 15927  
128008 254886  41334 33808  3782 2504  
74680 127918  43136 71885  25962 42698  
124327 238397  37357 41807  7545 7095  
155447 245401  17288 41663  1778 4713  
102435 185273  51317 78730  11752 15040  
100828 151080  37642 68874  19648 38887  
88813 150478  44998 79000  19285 33820  
15386 19232  15178 21941  12684 17136  
14868 26068  13135 20553  12779 21562  
25318 51970  26618 44772  23163 35398  
100095 199772  41900 59365  20713 19454  
146285 242322  18688 38775  8156 9515  
79126 143106  44987 79673  24907 27916  
26333 46572  22691 44252  21986 30719  
100577 154351  42427 70403  17751 35291  
95437 178201  52837 70181  14765 26568  
42169 70037  35944 48432  21703 36463  
134473 205322  28676 56777  8574 21173  
48938 69875  35468 61136  25502 44186  
44741 61721  33732 54489  25869 37229  
26793 38487  26967 42930  22614 35467  
65808 99718  33883 63416  28179 44554  
150287 231900  16846 49726  6218 7871  
93491 137144  46378 75861  18794 43630  
25507 49863  25899 38027  22350 37576  
68596 126334  42774 59862  28118 40507  
48867 72606  34741 46562  23435 43803  
167949 237351  6316 45344  326 8610  
136572 178940  33003 83227  4371 22507  
14718 24877  14530 23445  13118 21489  
24767 41342  22253 33974  21094 30444  
95211 147098  45942 72016  16739 40740  
99557 175399  60042 88440  11487 19301  
127853 169497  39543 97518  5071 11551  
84020 107846  44448 60294  18582 45082  
59657 108542  32820 63653  26267 42532  
58514 122825  44849 76001  31339 43063  
144705 169281  27617 88223  1524 15317  
165136 227177  8732 61019  640 2831  
