# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92145 153395  40188 76558  20835 32975  
90485 137505  38252 73003  21723 42157  
78100 143518  48290 81367  21476 33446  
93643 166959  43774 75714  22527 30569  
61556 93064  41010 60691  24523 44768  
26516 51986  27255 44426  20270 33396  
115493 186500  39782 61039  12720 25500  
83876 129607  39705 54077  23942 41914  
63726 86127  39828 66774  27025 44170  
94790 157458  38574 56319  18487 31485  
124914 205114  34229 63955  11954 15927  
128008 254886  41334 33808  3782 2504  
74680 127918  43136 71885  25962 42698  
124327 238397  37357 41807  7545 7095  
155447 245401  17288 41663  1778 4713  
102435 185273  51317 78730  11752 15040  
100828 151080  37642 68874  19648 38887  
88813 150478  44998 79000  19285 33820  
15386 19232  15178 21941  12684 17136  
14868 26068  13135 20553  12779 21562  
