# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92145 153395  40188 76558  20835 32975  
90485 137505  38252 73003  21723 42157  
78100 143518  48290 81367  21476 33446  
93643 166959  43774 75714  22527 30569  
61556 93064  41010 60691  24523 44768  
26516 51986  27255 44426  20270 33396  
115493 186500  39782 61039  12720 25500  
83876 129607  39705 54077  23942 41914  
63726 86127  39828 66774  27025 44170  
94790 157458  38574 56319  18487 31485  
124914 205114  34229 63955  11954 15927  
128008 254886  41334 33808  3782 2504  
74680 127918  43136 71885  25962 42698  
124327 238397  37357 41807  7545 7095  
155447 245401  17288 41663  1778 4713  
102435 185273  51317 78730  11752 15040  
100828 151080  37642 68874  19648 38887  
88813 150478  44998 79000  19285 33820  
15386 19232  15178 21941  12684 17136  
14868 26068  13135 20553  12779 21562  
25318 51970  26618 44772  23163 35398  
100095 199772  41900 59365  20713 19454  
146285 242322  18688 38775  8156 9515  
79126 143106  44987 79673  24907 27916  
26333 46572  22691 44252  21986 30719  
100577 154351  42427 70403  17751 35291  
95437 178201  52837 70181  14765 26568  
42169 70037  35944 48432  21703 36463  
134473 205322  28676 56777  8574 21173  
48938 69875  35468 61136  25502 44186  
44741 61721  33732 54489  25869 37229  
26793 38487  26967 42930  22614 35467  
65808 99718  33883 63416  28179 44554  
150287 231900  16846 49726  6218 7871  
93491 137144  46378 75861  18794 43630  
25507 49863  25899 38027  22350 37576  
68596 126334  42774 59862  28118 40507  
48867 72606  34741 46562  23435 43803  
167949 237351  6316 45344  326 8610  
136572 178940  33003 83227  4371 22507  
14718 24877  14530 23445  13118 21489  
24767 41342  22253 33974  21094 30444  
95211 147098  45942 72016  16739 40740  
99557 175399  60042 88440  11487 19301  
127853 169497  39543 97518  5071 11551  
84020 107846  44448 60294  18582 45082  
59657 108542  32820 63653  26267 42532  
58514 122825  44849 76001  31339 43063  
144705 169281  27617 88223  1524 15317  
165136 227177  8732 61019  640 2831  
11298 24474  12333 23899  11689 21331  
89709 163314  43970 71826  23415 30731  
28197 48170  20585 41806  23713 34381  
133581 183789  30920 78510  7563 19419  
117669 145470  34955 72172  15888 40218  
109105 164644  42176 82956  14928 26343  
116094 180440  37986 56292  12029 35653  
148090 217807  20614 46961  3809 18184  
125951 216593  33185 47838  11199 21034  
66755 94360  39846 70756  23697 37983  
62765 89654  38933 73997  23444 43573  
57445 107688  37404 60697  30140 44489  
146031 190140  24624 82905  3119 13328  
83299 126630  40105 72568  19643 31418  
82642 132148  42938 72893  20917 38207  
148268 197977  21580 64232  4098 21168  
148259 209170  22105 67876  3610 12623  
70053 97691  38855 65527  29958 56495  
25184 51900  27714 44414  18977 35648  
145665 187762  22701 79508  4485 15671  
42189 52795  34499 59023  24486 34560  
40332 72060  37087 61147  23384 39601  
117014 177256  32973 68905  15257 22666  
120509 236678  39130 43525  10023 8628  
52996 89636  44790 69285  23103 40256  
14908 25726  13839 24786  11826 22240  
114722 172849  39716 62899  12825 35833  
87522 121641  39689 66658  26411 46815  
97380 149847  40331 77704  17638 27592  
45659 68792  30671 45806  27299 47609  
71437 134612  42945 70765  24461 35927  
28095 53387  20177 40376  19927 36180  
83974 119224  39463 74723  22724 39798  
158812 269014  15212 19715  465 3253  
51216 104425  46524 68618  24893 43057  
99168 132297  41055 72834  19656 42670  
30434 53611  25139 37543  20264 35965  
97232 163006  47605 63704  11921 26699  
42654 80458  31750 55754  25618 43192  
63521 106577  41534 54384  24834 44305  
66733 98738  39949 71460  24866 43951  
115921 181638  33255 70890  13494 24827  
140331 219843  23469 44718  9007 16515  
45309 79925  37103 53318  25095 37861  
94397 146641  36560 61713  27509 44726  
102755 181883  44414 70695  16221 20542  
28496 46160  21836 34668  23566 37735  
48703 74754  34371 54379  25733 42456  
91705 133149  42958 77282  22909 43883  
16160 20832  14193 22293  13298 22343  
16629 26379  14326 19245  13612 20712  
102740 120469  44501 98033  17958 40027  
48977 99329  42255 66044  26446 46007  
65478 107286  32725 66476  29425 39786  
31702 52729  27507 40146  22194 33067  
109184 161569  47850 80880  10586 33383  
15124 26794  12540 23293  12932 18502  
100792 146094  38672 81570  18598 34403  
100271 150039  39216 79715  20266 32495  
153758 269087  15495 17837  4610 5672  
80196 135747  45046 70398  20590 39793  
80404 140196  52346 89545  21214 29957  
95969 146614  42946 80272  20427 35002  
39995 79486  34941 55801  25414 42516  
44270 75170  29824 44788  28862 42356  
33491 48111  26362 42104  21160 31678  
155908 197651  17370 74175  1001 11503  
103180 171358  36001 60452  22382 36774  
63915 94819  34179 66705  25572 47556  
162487 230718  10288 54191  1421 5136  
99868 155323  39179 71718  20450 31295  
14216 26123  10794 22415  11886 21049  
116292 157203  39363 79534  12265 32101  
126074 184083  37141 71260  8752 23623  
108187 212592  45192 56305  15075 16680  
64343 130935  51808 73641  26434 39707  
63038 106298  41662 63724  25743 43963  
32688 50027  23261 44453  22011 34536  
70540 115728  48494 85382  22705 33462  
