# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
99556 140821  37402 76721  20920 34053  9640 20829  
155907 234584  17890 51381  622 5328  163 1123  
128823 163926  28624 53863  12493 48974  3559 18194  
78235 113754  44195 82451  23380 40655  13627 22534  
142355 231726  27842 48531  3587 10399  534 1501  
103719 205933  51834 60837  13507 16803  3275 5796  
115514 210469  37060 52463  13945 18744  5922 7648  
98174 132212  42779 76627  18593 45956  8229 21074  
135724 241337  32170 41960  5630 7741  719 1400  
71686 132927  46040 73066  22734 37506  15300 22701  
78355 136320  43411 68829  23589 39227  13868 18976  
14625 21253  14663 23364  13875 21504  12555 19539  
56047 105421  41027 68504  26936 43783  18061 27653  
155010 266871  14073 19317  3914 2807  1146 2052  
30834 52937  24784 43922  19845 32615  18409 25835  
130751 259910  29811 21496  11565 7321  1637 2639  
58766 103962  36688 68556  25795 42316  20493 26562  
16160 23849  13107 20512  13058 22951  10633 20063  
31987 54317  25304 36690  19082 36215  18647 27947  
130574 215530  33402 46733  7144 20590  2526 7253  
146418 227600  24134 47279  2819 11656  790 3757  
122541 213326  31014 52494  12869 19484  6229 5300  
106031 187284  42616 66460  13085 19424  7574 11596  
132098 205265  30658 65138  9089 15421  1987 3807  
148636 267799  20724 14933  4687 8686  433 1194  
166799 247354  7501 39887  248 5044  58 439  
136743 257215  21710 18080  13997 14777  1955 2616  
99184 170109  41990 71164  21294 29637  6346 10758  
65568 100057  41351 67342  25046 38755  15987 29171  
65605 86862  34904 50025  27460 51007  15666 26493  
154455 209960  14996 59913  3634 11141  1027 6015  
134580 205276  30428 62741  6356 16626  2481 5147  
76078 134477  52808 71856  22329 44814  11401 22457  
30166 43158  27554 42619  22356 36904  17851 29115  
77240 123840  46690 74422  21977 31977  12418 28012  
133250 165220  31542 83321  6195 26481  2231 8493  
15788 23452  13144 23417  12127 16962  10995 20832  
73631 129822  44207 61313  17133 31397  12311 21764  
122219 230354  41689 45709  7801 11833  1880 2918  
100667 155313  42827 69927  15943 37307  8428 16625  
62739 99690  35870 66565  28756 41055  14194 25398  
51480 91541  39773 62663  23817 39654  21924 31488  
54510 99989  36962 68346  29588 39390  17718 27739  
116077 173214  41885 69100  10179 26955  3649 11904  
46735 67020  35481 55135  25372 37523  19256 33269  
120184 212016  38688 57914  11573 15945  2516 4275  
16846 24981  14378 24765  12287 18385  10880 14788  
48667 78850  34946 51538  25497 35074  17953 35395  
168573 251695  5645 37045  346 2841  37 880  
91551 183696  46613 68122  21302 25832  8730 8791  
