# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
99556 140821  37402 76721  20920 34053  9640 20829  
155907 234584  17890 51381  622 5328  163 1123  
128823 163926  28624 53863  12493 48974  3559 18194  
78235 113754  44195 82451  23380 40655  13627 22534  
142355 231726  27842 48531  3587 10399  534 1501  
103719 205933  51834 60837  13507 16803  3275 5796  
115514 210469  37060 52463  13945 18744  5922 7648  
98174 132212  42779 76627  18593 45956  8229 21074  
135724 241337  32170 41960  5630 7741  719 1400  
71686 132927  46040 73066  22734 37506  15300 22701  
78355 136320  43411 68829  23589 39227  13868 18976  
14625 21253  14663 23364  13875 21504  12555 19539  
56047 105421  41027 68504  26936 43783  18061 27653  
155010 266871  14073 19317  3914 2807  1146 2052  
30834 52937  24784 43922  19845 32615  18409 25835  
130751 259910  29811 21496  11565 7321  1637 2639  
58766 103962  36688 68556  25795 42316  20493 26562  
16160 23849  13107 20512  13058 22951  10633 20063  
31987 54317  25304 36690  19082 36215  18647 27947  
130574 215530  33402 46733  7144 20590  2526 7253  
146418 227600  24134 47279  2819 11656  790 3757  
122541 213326  31014 52494  12869 19484  6229 5300  
106031 187284  42616 66460  13085 19424  7574 11596  
132098 205265  30658 65138  9089 15421  1987 3807  
148636 267799  20724 14933  4687 8686  433 1194  
166799 247354  7501 39887  248 5044  58 439  
136743 257215  21710 18080  13997 14777  1955 2616  
99184 170109  41990 71164  21294 29637  6346 10758  
65568 100057  41351 67342  25046 38755  15987 29171  
65605 86862  34904 50025  27460 51007  15666 26493  
154455 209960  14996 59913  3634 11141  1027 6015  
134580 205276  30428 62741  6356 16626  2481 5147  
76078 134477  52808 71856  22329 44814  11401 22457  
30166 43158  27554 42619  22356 36904  17851 29115  
77240 123840  46690 74422  21977 31977  12418 28012  
133250 165220  31542 83321  6195 26481  2231 8493  
15788 23452  13144 23417  12127 16962  10995 20832  
73631 129822  44207 61313  17133 31397  12311 21764  
122219 230354  41689 45709  7801 11833  1880 2918  
100667 155313  42827 69927  15943 37307  8428 16625  
62739 99690  35870 66565  28756 41055  14194 25398  
51480 91541  39773 62663  23817 39654  21924 31488  
54510 99989  36962 68346  29588 39390  17718 27739  
116077 173214  41885 69100  10179 26955  3649 11904  
46735 67020  35481 55135  25372 37523  19256 33269  
120184 212016  38688 57914  11573 15945  2516 4275  
16846 24981  14378 24765  12287 18385  10880 14788  
48667 78850  34946 51538  25497 35074  17953 35395  
168573 251695  5645 37045  346 2841  37 880  
91551 183696  46613 68122  21302 25832  8730 8791  
71988 127106  37498 62387  31113 44144  14950 26345  
30802 54033  25462 40690  21808 35788  16754 27899  
92680 151371  47416 72119  19595 37125  8604 15829  
26254 51943  24770 43037  21900 36669  17886 29432  
139417 229012  29013 57015  5569 5443  453 999  
59924 108927  37293 67482  24854 40256  18075 26664  
69805 101955  49735 81402  20402 39552  15879 30778  
89505 159804  48349 72015  18433 28742  10533 16968  
146819 249418  23467 31759  3897 10502  226 529  
124875 214706  37577 56159  8249 15323  2538 4515  
61397 109107  43524 63285  23014 44123  16322 25000  
30534 52454  24669 39531  22958 32947  17447 30384  
128512 208327  34562 42942  9408 29959  1640 9475  
12943 25521  12362 24127  11252 21827  12658 20250  
39715 79236  32611 58560  24846 38237  14748 28279  
40010 72055  31185 50169  28484 47466  18157 29441  
31802 53907  26952 39805  21600 36604  17139 29249  
105007 176766  40797 58268  16718 32705  7394 15858  
116552 208632  35965 60894  15275 16529  3954 3926  
83871 129612  42768 72266  22048 37450  12443 21928  
14164 25151  13134 24666  12166 17383  10986 17786  
81412 129739  35633 59965  26223 46885  11128 20573  
16262 26808  13491 22461  13082 20982  12050 19166  
163378 259496  10718 28317  482 3452  24 1047  
128332 163664  31614 64715  10083 36093  3049 14014  
72454 126456  46257 76142  22766 37997  15331 22604  
40240 73495  31474 59923  25507 36283  16710 23587  
49748 67165  35189 57989  25765 41254  18250 34078  
167011 236670  6499 39483  1007 14838  86 1620  
99598 134577  40877 88154  17864 31323  9039 21431  
15363 19459  14381 20272  12307 16587  12089 17217  
93324 114543  46108 80349  20094 52271  8706 23492  
79994 130827  42695 62406  24972 40471  12151 27233  
126897 215195  35364 55335  9354 13982  2186 5903  
112908 167982  40032 79782  12180 25444  5943 12378  
133271 183317  29215 79147  8912 16946  2467 8932  
119239 179579  39039 81309  12270 19964  2447 6367  
33254 45182  23144 29030  22586 35147  17786 31323  
93918 158257  41855 57431  16709 29628  10988 23759  
14197 26891  14265 24556  11201 21631  12764 19611  
46899 67059  36574 54796  25940 45664  18712 31594  
83522 130669  40749 57798  20895 45388  13845 21804  
65485 85393  41515 63810  25008 49245  14758 26981  
31099 47499  24761 41570  20618 30180  17146 28211  
45013 80321  29248 56100  23652 41580  22047 30356  
23193 40883  20586 33886  23676 36975  19233 28751  
166105 252273  8051 29582  390 8485  39 2076  
118551 168379  33625 72978  11846 27985  6266 14142  
42845 79971  34389 51251  23141 43440  19990 31967  
163654 239323  10537 39200  363 10499  49 3544  
31295 54266  26619 42593  18433 29975  16202 30362  
91001 141824  41184 73676  22457 37948  11372 18826  
13136 21341  12694 24078  12322 18301  10412 18968  
113188 188564  37845 63357  18053 28860  2925 5429  
132964 203529  28866 52487  7697 24515  3531 8256  
148851 200758  21188 55984  3652 25136  781 7410  
73479 122442  48068 73097  25164 42058  13280 23858  
49200 76192  33867 47497  20955 40912  19383 35562  
