# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
99556 140821  37402 76721  20920 34053  9640 20829  
155907 234584  17890 51381  622 5328  163 1123  
128823 163926  28624 53863  12493 48974  3559 18194  
78235 113754  44195 82451  23380 40655  13627 22534  
142355 231726  27842 48531  3587 10399  534 1501  
103719 205933  51834 60837  13507 16803  3275 5796  
115514 210469  37060 52463  13945 18744  5922 7648  
98174 132212  42779 76627  18593 45956  8229 21074  
135724 241337  32170 41960  5630 7741  719 1400  
71686 132927  46040 73066  22734 37506  15300 22701  
78355 136320  43411 68829  23589 39227  13868 18976  
14625 21253  14663 23364  13875 21504  12555 19539  
56047 105421  41027 68504  26936 43783  18061 27653  
155010 266871  14073 19317  3914 2807  1146 2052  
30834 52937  24784 43922  19845 32615  18409 25835  
130751 259910  29811 21496  11565 7321  1637 2639  
58766 103962  36688 68556  25795 42316  20493 26562  
16160 23849  13107 20512  13058 22951  10633 20063  
31987 54317  25304 36690  19082 36215  18647 27947  
130574 215530  33402 46733  7144 20590  2526 7253  
