# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92910 155238  44917 75144  
111553 186370  41019 65260  
70605 128909  39709 71967  
126396 165678  36201 82317  
102950 146610  41829 78241  
15040 25783  15210 22578  
144094 229009  26378 45222  
16564 24648  13057 20877  
100159 121663  47960 89943  
36216 58431  32025 52442  
141204 247955  26368 37191  
145837 211807  24769 64847  
24102 50575  23044 43732  
15362 24762  14476 21048  
91777 162477  45370 67562  
109074 186128  36038 64581  
143606 195230  24998 72464  
95875 176441  41693 69574  
56794 93865  37409 56628  
39012 71928  33535 51691  
51820 104910  42550 67872  
23789 38288  20410 36312  
64714 102709  32306 66974  
55608 104878  39925 69166  
106939 132744  38752 70188  
97922 153309  33905 64326  
32459 43060  25185 43401  
143373 267041  23339 21491  
14085 16325  15272 22525  
118739 175792  40224 70949  
121819 209255  34984 61717  
32658 48135  26400 41461  
86141 159995  43371 71909  
16810 25607  13746 24840  
154689 269721  12765 15048  
148031 225095  24618 49407  
55527 104097  39226 68416  
115894 170383  41364 82611  
105040 153921  38524 82913  
68089 131277  42445 72254  
162895 224529  10533 61075  
44365 81522  31452 57024  
107252 185511  38960 68974  
48817 74137  31293 52409  
77611 142121  44198 69246  
147351 229949  23261 45701  
33151 45382  23925 36162  
88613 163013  39243 66102  
159768 247784  11421 28220  
140334 232363  26200 46022  
32193 45614  26664 36262  
33217 45702  26617 40998  
160903 234143  12804 46403  
32179 53604  25856 35204  
126979 199441  31776 53508  
124365 229969  42196 46137  
130910 205637  33492 61875  
27905 33339  22818 37204  
67843 117075  48899 76791  
15922 26721  14000 24532  
115738 186537  39772 62350  
80881 124993  39413 77926  
94803 147788  41224 72874  
132164 204443  27848 48872  
36217 74350  35181 57642  
149591 189899  20399 84289  
159942 237094  9651 34278  
14831 21616  12407 17149  
80808 131345  41853 61518  
133232 239996  32907 43485  
29815 43767  26597 37239  
125261 191119  33043 73642  
11643 24820  12655 23657  
142261 207420  28026 67291  
60207 108662  38756 67790  
16794 23978  14167 24162  
42774 72042  33971 51606  
127090 202657  35474 62077  
115022 163115  39710 70224  
60690 104255  42892 67471  
90807 183039  43960 67135  
92590 121093  46701 87404  
70358 121371  46231 79842  
111251 188313  41500 66706  
120220 179404  39038 71803  
98891 153862  44025 84990  
110407 202251  42834 57263  
13418 19946  11884 19844  
128854 203469  34770 58276  
161755 267941  10566 17258  
77671 124210  38701 74009  
23778 41685  22757 35936  
80443 105193  38995 70126  
111805 171095  38303 68810  
46423 81614  32932 56412  
14814 19654  13842 22301  
167866 258543  6421 26442  
154133 262400  16251 24330  
16320 24945  15091 23518  
122906 217061  37969 49800  
