# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92910 155238  44917 75144  
111553 186370  41019 65260  
70605 128909  39709 71967  
126396 165678  36201 82317  
102950 146610  41829 78241  
15040 25783  15210 22578  
144094 229009  26378 45222  
16564 24648  13057 20877  
100159 121663  47960 89943  
36216 58431  32025 52442  
141204 247955  26368 37191  
145837 211807  24769 64847  
24102 50575  23044 43732  
15362 24762  14476 21048  
91777 162477  45370 67562  
109074 186128  36038 64581  
143606 195230  24998 72464  
95875 176441  41693 69574  
56794 93865  37409 56628  
39012 71928  33535 51691  
