# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
92910 155238  44917 75144  
111553 186370  41019 65260  
70605 128909  39709 71967  
126396 165678  36201 82317  
102950 146610  41829 78241  
15040 25783  15210 22578  
144094 229009  26378 45222  
16564 24648  13057 20877  
100159 121663  47960 89943  
36216 58431  32025 52442  
141204 247955  26368 37191  
145837 211807  24769 64847  
24102 50575  23044 43732  
15362 24762  14476 21048  
91777 162477  45370 67562  
109074 186128  36038 64581  
143606 195230  24998 72464  
95875 176441  41693 69574  
56794 93865  37409 56628  
39012 71928  33535 51691  
51820 104910  42550 67872  
23789 38288  20410 36312  
64714 102709  32306 66974  
55608 104878  39925 69166  
106939 132744  38752 70188  
97922 153309  33905 64326  
32459 43060  25185 43401  
143373 267041  23339 21491  
14085 16325  15272 22525  
118739 175792  40224 70949  
121819 209255  34984 61717  
32658 48135  26400 41461  
86141 159995  43371 71909  
16810 25607  13746 24840  
154689 269721  12765 15048  
148031 225095  24618 49407  
55527 104097  39226 68416  
115894 170383  41364 82611  
105040 153921  38524 82913  
68089 131277  42445 72254  
162895 224529  10533 61075  
44365 81522  31452 57024  
107252 185511  38960 68974  
48817 74137  31293 52409  
77611 142121  44198 69246  
147351 229949  23261 45701  
33151 45382  23925 36162  
88613 163013  39243 66102  
159768 247784  11421 28220  
140334 232363  26200 46022  
