# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
48554 38718 33400  29072 14450 15372  
9022 3859 5087  8428 5388 5274  
14652 12915 10918  11199 10441 8364  
81867 54423 51252  13963 10808 8580  
35592 15005 20405  24403 16637 14025  
50096 20101 30398  28179 18254 15447  
24084 18334 17616  20513 13219 11436  
69660 45986 47542  19036 11850 11168  
53442 36856 31973  24836 16402 15131  
35422 19384 22952  22126 18097 13999  
55939 30956 39680  29053 20875 14498  
43505 22985 28357  26914 16402 13880  
88023 52503 58733  11866 10062 3178  
28340 15322 16548  19599 11463 9835  
57504 41762 41487  21829 16964 11102  
60391 35194 40857  25870 14954 13029  
69206 42898 47306  14481 14575 10768  
30469 25854 19960  18984 15867 12843  
22340 24682 15521  26529 15992 17266  
76846 50082 39542  18786 14114 18701  
5156 6118 3750  6354 5722 5108  
59565 31465 39624  17357 16691 14109  
7764 5680 4023  7630 5882 5024  
43892 17563 24918  25644 19554 17385  
47453 23961 25972  24423 17093 16750  
8241 5626 4251  6901 5969 4887  
70168 29619 41120  22234 17885 13041  
75216 37089 38270  18795 16943 16419  
18554 9969 9384  14633 8666 9855  
68418 64866 51895  25321 2177 9593  
6545 6469 5027  7866 5441 5441  
34226 23201 18437  24684 11244 13584  
27160 17620 17542  18744 13841 12491  
74929 45004 34698  16240 19227 19691  
7839 6003 5872  7984 5514 5333  
84816 63873 55504  8028 3091 4318  
80427 34175 46004  14437 25295 14199  
28293 15870 15307  17031 14819 11724  
40103 32387 27442  22234 12884 16350  
46820 24032 27372  20222 18877 16533  
13421 12968 10204  12044 10363 9018  
7679 6218 5766  7135 5035 5349  
48969 38233 44164  30362 15694 13165  
60924 33009 40037  23768 22130 14567  
62981 39833 41241  17914 14257 13764  
23758 16827 17762  21750 11768 11227  
36213 16427 21069  23417 12139 13484  
79929 47178 52721  14887 17360 7590  
72726 30863 40212  18980 17791 15447  
57383 51892 39142  22623 11481 13234  
