# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
48554 38718 33400  29072 14450 15372  
9022 3859 5087  8428 5388 5274  
14652 12915 10918  11199 10441 8364  
81867 54423 51252  13963 10808 8580  
35592 15005 20405  24403 16637 14025  
50096 20101 30398  28179 18254 15447  
24084 18334 17616  20513 13219 11436  
69660 45986 47542  19036 11850 11168  
53442 36856 31973  24836 16402 15131  
35422 19384 22952  22126 18097 13999  
55939 30956 39680  29053 20875 14498  
43505 22985 28357  26914 16402 13880  
88023 52503 58733  11866 10062 3178  
28340 15322 16548  19599 11463 9835  
57504 41762 41487  21829 16964 11102  
60391 35194 40857  25870 14954 13029  
69206 42898 47306  14481 14575 10768  
30469 25854 19960  18984 15867 12843  
22340 24682 15521  26529 15992 17266  
76846 50082 39542  18786 14114 18701  
