# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
48554 38718 33400  29072 14450 15372  
9022 3859 5087  8428 5388 5274  
14652 12915 10918  11199 10441 8364  
81867 54423 51252  13963 10808 8580  
35592 15005 20405  24403 16637 14025  
50096 20101 30398  28179 18254 15447  
24084 18334 17616  20513 13219 11436  
69660 45986 47542  19036 11850 11168  
53442 36856 31973  24836 16402 15131  
35422 19384 22952  22126 18097 13999  
55939 30956 39680  29053 20875 14498  
43505 22985 28357  26914 16402 13880  
88023 52503 58733  11866 10062 3178  
28340 15322 16548  19599 11463 9835  
57504 41762 41487  21829 16964 11102  
60391 35194 40857  25870 14954 13029  
69206 42898 47306  14481 14575 10768  
30469 25854 19960  18984 15867 12843  
22340 24682 15521  26529 15992 17266  
76846 50082 39542  18786 14114 18701  
5156 6118 3750  6354 5722 5108  
59565 31465 39624  17357 16691 14109  
7764 5680 4023  7630 5882 5024  
43892 17563 24918  25644 19554 17385  
47453 23961 25972  24423 17093 16750  
8241 5626 4251  6901 5969 4887  
70168 29619 41120  22234 17885 13041  
75216 37089 38270  18795 16943 16419  
18554 9969 9384  14633 8666 9855  
68418 64866 51895  25321 2177 9593  
6545 6469 5027  7866 5441 5441  
34226 23201 18437  24684 11244 13584  
27160 17620 17542  18744 13841 12491  
74929 45004 34698  16240 19227 19691  
7839 6003 5872  7984 5514 5333  
84816 63873 55504  8028 3091 4318  
80427 34175 46004  14437 25295 14199  
28293 15870 15307  17031 14819 11724  
40103 32387 27442  22234 12884 16350  
46820 24032 27372  20222 18877 16533  
13421 12968 10204  12044 10363 9018  
7679 6218 5766  7135 5035 5349  
48969 38233 44164  30362 15694 13165  
60924 33009 40037  23768 22130 14567  
62981 39833 41241  17914 14257 13764  
23758 16827 17762  21750 11768 11227  
36213 16427 21069  23417 12139 13484  
79929 47178 52721  14887 17360 7590  
72726 30863 40212  18980 17791 15447  
57383 51892 39142  22623 11481 13234  
63235 42636 39984  18697 16671 13220  
86559 59168 47950  9887 7658 11512  
54975 45073 39247  22568 14971 13773  
31623 32146 22977  24923 15512 12927  
45988 29847 27547  22854 17753 15358  
50360 26800 33975  27559 21294 14686  
7496 6489 5027  6598 5080 5324  
51270 37762 31382  21003 17019 16089  
41848 37258 33594  27225 11435 15688  
86970 48285 57633  11841 10865 3921  
52143 24064 32266  25135 23720 16841  
54668 35806 31837  21547 17613 14067  
9161 4686 4420  7788 4875 3881  
54634 50740 43546  32946 11839 13184  
57968 43470 40942  24076 10225 13587  
39869 22755 28566  27203 13952 14571  
8615 3314 4915  8567 4714 4437  
82955 63522 57314  14131 2618 5235  
33903 25126 20582  15064 15822 11450  
7875 6485 5233  6127 5859 4538  
27516 16579 14719  18591 12924 13690  
79438 52858 58953  17885 9920 3310  
27861 15646 14480  19831 11624 10550  
16271 12258 9383  15697 9348 9421  
82346 47705 52162  11790 16920 8237  
70439 53950 39297  24110 9630 15951  
6758 6362 4464  7918 5733 4910  
27594 12331 15422  18306 12374 13251  
70934 65131 52090  24494 1728 10306  
49063 28082 21406  28092 20849 21994  
6963 6483 5249  6121 5829 4687  
66246 57071 41584  21162 8760 15831  
41346 22179 17538  25665 19511 17206  
35708 21751 23548  22577 13866 14598  
56312 32017 33928  21295 20274 15176  
46647 36444 35099  29654 15758 13666  
54246 35295 30607  25759 16054 17414  
61100 33547 28303  25551 14955 19131  
41644 32135 27233  24671 16091 16621  
84012 58277 45293  14026 6025 11305  
71388 48664 41929  21760 11626 13677  
81412 56758 42303  14248 10055 18109  
25585 25781 18645  21441 15723 15567  
59375 23186 34909  21424 23571 18077  
73590 58797 40194  25058 6725 18523  
46208 36185 35094  25240 17707 12980  
34077 20395 16209  22388 14556 12158  
16660 12812 11225  10820 10437 8342  
35920 19663 22930  17683 13728 14451  
56699 36576 41264  21816 14372 13457  
