# NumberOfHospitals NumberOfDistricts TimeHorizon
5 20 2
# CapacityOfPermanentFacility CapacityOfMobileFacility
2735 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
8303.49 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
1272 48.8681 2.34459
2111 48.8706 2.34875
2103 48.8654 2.35613
2329 48.8554 2.36042
2130 48.8491 2.34533
2837 48.8518 2.30476
1015 48.8708 2.30533
1330 48.8696 2.32617
4093 48.8788 2.32226
4887 48.8801 2.345
4757 48.879 2.35192
5665 48.8468 2.37461
14255 48.8225 2.3585
10800 48.8392 2.27905
8571 48.8857 2.30054
9757 48.8938 2.31986
6275 48.8927 2.35604
5288 48.8827 2.33929
12180 48.8824 2.39402
9313 48.8611 2.39401
# Hospitals's infos (Capacity Latitude Longitude)
13675 48.8288 2.33914
13675 48.8294 2.31138
13674 48.8292 2.31105
6837 48.8227 2.33301
6837 48.8408 2.31024
