# NumberOfHospitals NumberOfScenarios TimeHorizon
1 100 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
214099  139797  49412  
159476  103764  75141  
298934  105511  39654  
397680  63759  5029  
284140  114268  49561  
254296  114006  47592  
371263  53874  30723  
320154  101964  30742  
208095  118446  55844  
206536  79286  71305  
244613  121779  49304  
387637  67200  9486  
273988  103039  59054  
217881  130511  48990  
239235  114908  55697  
169973  109610  63457  
39703  36325  35149  
41995  37337  34315  
417084  44883  5102  
76457  65069  56504  
40865  38643  34923  
161810  111655  67600  
255319  105232  56641  
40564  33845  33518  
301320  100336  40429  
128569  81501  70564  
204041  103155  58666  
338308  84340  26294  
206876  105690  69802  
294785  105570  45991  
237416  139742  49572  
347322  102630  8968  
38745  36098  32507  
213995  138818  54186  
382704  67291  13695  
326062  104614  26511  
294138  110673  40885  
110161  96182  63911  
196393  115374  60771  
283332  114470  40560  
114515  80287  69867  
361768  80436  16295  
304369  96857  31219  
186771  133424  56266  
363238  75620  20932  
303319  88840  58647  
231095  111765  60117  
130697  100910  80169  
111962  84228  70614  
284120  116291  41488  
335333  72127  42340  
204909  128949  49378  
299789  103655  36773  
299979  121448  33368  
398476  60366  7800  
272414  110276  40213  
216015  116300  77489  
70965  55223  53645  
169730  101756  71692  
282334  108777  45945  
130211  110874  61981  
335174  95678  26771  
155324  98573  78565  
112907  78966  74392  
196718  98096  67928  
273962  120947  45770  
41021  38071  35818  
194896  109696  69491  
65305  60881  46703  
215138  143639  62750  
306787  106568  32870  
275659  115973  40613  
251097  105972  58078  
232638  130129  51556  
40700  38634  30440  
110937  94150  67834  
281315  117025  43911  
324128  91094  27932  
254429  99906  56870  
125831  88881  60073  
340464  96903  24366  
41292  38623  28328  
183735  114168  74943  
300341  106645  36587  
378607  67478  12200  
81047  70147  57791  
41264  35860  35517  
81833  70303  54361  
41235  37083  33734  
77701  61048  59570  
160667  110235  72293  
115969  97263  64219  
198141  107340  69962  
298903  94303  45667  
305757  103156  43438  
154036  111620  65059  
41234  37884  34151  
37807  30847  28281  
377941  68988  16428  
158490  86311  55551  
