# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40889 22226  17420 8145  9215 4861  4105 2732  
23241 12181  18594 9708  12033 7086  7284 3261  
10790 5456  11067 5427  9450 5279  7638 3821  
13673 7484  9609 4397  9166 4861  7115 3981  
59242 34355  13208 5127  3097 809  684 141  
25523 12581  17455 9201  10853 6412  7624 3960  
12331 5916  11380 6188  8750 4896  7809 4255  
15986 10325  15506 8678  11634 5981  8076 4342  
52886 29400  16366 8012  5415 2271  1257 515  
35198 17653  22409 13271  10336 4438  3670 2398  
40347 21991  13867 6912  11954 5886  5092 3175  
29885 17142  18951 9215  9887 5561  7305 4045  
49092 24694  15228 9685  7649 4163  2748 1445  
36773 18902  18797 10605  8789 4633  5772 2906  
30875 16333  18435 11427  10103 5579  6602 3311  
12233 7253  11315 6118  7212 4562  7523 4096  
6757 3803  5582 3148  5139 2841  4939 2381  
19778 11482  14823 7537  10919 5597  7671 4429  
59891 31257  10333 6983  5157 1644  1037 437  
6491 3340  5812 3054  5359 3255  5215 2814  
5833 3363  4704 2642  5702 3078  5113 2615  
62756 30468  11640 8710  1528 1083  858 204  
27366 14743  20961 10927  10826 5668  7845 3920  
60049 32548  13220 6336  2601 1382  775 182  
45982 24013  18652 10604  7140 3624  3133 1498  
18572 9345  16499 8903  12994 7365  7103 3984  
52806 27215  15827 9928  5512 2052  1845 869  
4890 2733  4606 2247  5476 2766  5418 2904  
63882 32249  5793 4823  3353 2882  2835 393  
44707 26853  19107 9144  7970 2827  2777 1022  
12530 6423  11395 6220  8399 4059  7305 4010  
38579 22828  18779 8402  7141 4328  4453 1962  
41770 19879  18432 10672  7670 5028  3938 2494  
12324 6776  8252 4860  7304 4678  7941 3544  
66929 36947  7758 2343  1734 1153  470 32  
68100 36515  6913 3815  1322 107  537 40  
47065 25466  17985 9951  6848 2876  2548 1335  
39273 22999  18628 8739  9462 4635  3990 2224  
20357 11490  14545 8558  13436 7572  7329 4098  
60083 28994  8777 9305  4459 1860  1571 242  
18444 10902  10805 6699  8776 4967  10026 4526  
27077 14170  15506 7422  11720 6436  7707 4553  
5433 3489  4590 2689  4948 2666  4533 2379  
5084 2437  4985 2405  4900 2581  4956 2594  
33176 19421  19143 9202  10242 4955  5922 2744  
6522 3238  5515 2648  4962 2631  5040 2816  
6301 3830  5683 3386  4396 2810  3922 2231  
57225 27724  12983 8449  5208 3074  1094 937  
13325 7339  9417 4353  8847 5402  7465 3699  
58002 26927  14985 10951  2052 2051  630 351  
58826 32882  13993 6382  3063 1001  793 181  
45385 20868  18562 11974  6463 4171  3193 2020  
6587 3596  4952 3167  5537 2717  4964 2957  
32420 16386  22768 11952  8534 5617  5036 2567  
19697 11004  14611 8454  11176 5557  7218 4029  
37302 18840  18594 12025  10662 5423  4113 1891  
13379 7104  10600 5341  9236 5150  6642 3689  
65160 34451  6347 4774  3233 982  1336 206  
6203 3569  6045 3526  5619 3068  4592 2176  
12100 7396  10726 6279  8873 4398  7101 4160  
12607 7054  9842 5787  8341 4844  7998 4323  
60568 28387  9203 8770  3149 2593  2373 599  
39061 19798  21033 13681  10672 3981  3226 1755  
