# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40889 22226  17420 8145  9215 4861  4105 2732  
23241 12181  18594 9708  12033 7086  7284 3261  
10790 5456  11067 5427  9450 5279  7638 3821  
13673 7484  9609 4397  9166 4861  7115 3981  
59242 34355  13208 5127  3097 809  684 141  
25523 12581  17455 9201  10853 6412  7624 3960  
12331 5916  11380 6188  8750 4896  7809 4255  
15986 10325  15506 8678  11634 5981  8076 4342  
52886 29400  16366 8012  5415 2271  1257 515  
35198 17653  22409 13271  10336 4438  3670 2398  
40347 21991  13867 6912  11954 5886  5092 3175  
29885 17142  18951 9215  9887 5561  7305 4045  
49092 24694  15228 9685  7649 4163  2748 1445  
36773 18902  18797 10605  8789 4633  5772 2906  
30875 16333  18435 11427  10103 5579  6602 3311  
12233 7253  11315 6118  7212 4562  7523 4096  
6757 3803  5582 3148  5139 2841  4939 2381  
19778 11482  14823 7537  10919 5597  7671 4429  
59891 31257  10333 6983  5157 1644  1037 437  
6491 3340  5812 3054  5359 3255  5215 2814  
