# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  18674 9118  
59856 34122  11116 5073  
13072 7738  11052 5936  
14672 9668  14113 8250  
6564 3854  5731 3453  
56648 33534  14581 5540  
51404 26202  11352 5657  
36473 20609  15864 9305  
51789 25290  17973 9505  
66167 36603  8503 3665  
40391 21110  19998 10618  
34191 18644  18402 10099  
5681 2617  5557 2604  
9948 6097  11136 6541  
50182 26183  17814 10568  
6467 3434  5572 2912  
47354 22204  17443 10521  
42728 27743  21156 9029  
31834 18070  17178 9014  
13044 6578  11277 6087  
12519 5984  10314 5334  
28037 13979  21520 13004  
11606 6384  9888 5170  
48290 23408  13407 7897  
24553 11964  15741 8365  
49646 22256  19351 14647  
6172 2912  6014 3036  
63236 34144  10683 4156  
5243 3415  5349 3317  
62456 37296  11218 2737  
67580 38564  7949 1643  
6739 3542  5528 3180  
18183 8452  13752 6673  
49292 29912  17597 7113  
43619 25627  15137 6767  
33355 17020  14700 6818  
5976 2762  5843 3226  
52752 27308  12857 7585  
44400 22038  16541 10543  
49659 29646  18920 7749  
11290 7252  10391 6039  
62010 31867  11878 7769  
9216 4802  9040 4743  
45100 27166  17735 7671  
23502 13187  18498 9570  
53829 30853  13333 6813  
32579 18420  16185 7421  
60614 34543  12752 4780  
12267 5762  10719 5772  
26552 14023  17707 9262  
33809 18858  18246 10055  
38738 20976  18832 8705  
56195 26880  15541 9962  
54053 28209  13772 8848  
56996 33684  14997 5504  
45518 26092  19137 9240  
12597 7528  11050 5642  
6791 3720  6133 3221  
4464 3067  5851 3508  
6576 3618  5709 2732  
46907 24046  23848 13220  
6730 3857  6029 3390  
11898 5476  11142 5886  
57687 30517  13822 6883  
31272 17411  18756 11048  
15611 8827  14340 7153  
32093 15736  19337 10636  
33655 18036  18634 10754  
43890 26865  20492 8724  
