# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  18674 9118  
59856 34122  11116 5073  
13072 7738  11052 5936  
14672 9668  14113 8250  
6564 3854  5731 3453  
56648 33534  14581 5540  
51404 26202  11352 5657  
36473 20609  15864 9305  
51789 25290  17973 9505  
66167 36603  8503 3665  
40391 21110  19998 10618  
34191 18644  18402 10099  
5681 2617  5557 2604  
9948 6097  11136 6541  
50182 26183  17814 10568  
6467 3434  5572 2912  
47354 22204  17443 10521  
42728 27743  21156 9029  
31834 18070  17178 9014  
13044 6578  11277 6087  
