# NumberOfHospitals NumberOfDistricts TimeHorizon
2 20 2
# CapacityOfPermanentFacility CapacityOfMobileFacility
7740 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
23498.7 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
368 48.8597 2.34064
1976 48.8625 2.34601
703 48.8636 2.3362
2111 48.8706 2.34875
2103 48.8654 2.35613
1435 48.8591 2.3508
2084 48.8516 2.3648
1943 48.8523 2.33937
1381 48.8609 2.3145
2837 48.8518 2.30476
4887 48.8801 2.345
3315 48.8698 2.35269
10454 48.8573 2.3812
13848 48.8451 2.40109
15182 48.8279 2.37288
12590 48.8318 2.31404
14953 48.8477 2.26674
6033 48.8713 2.27777
5408 48.8947 2.3823
13838 48.8547 2.38536
# Hospitals's infos (Capacity Latitude Longitude)
38701 48.8288 2.33914
19351 48.8294 2.31138
