# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  11147 11979 5793  4208 6045 2353  
5748 6743 3153  4447 5959 2490  3972 5060 1909  
2952 2669 1509  2951 2491 1403  2881 2630 1308  
30322 35450 16107  5154 3430 1077  294 453 50  
17369 25935 10130  9824 9364 3993  3491 3281 1363  
11823 17932 6378  9756 10424 4764  4743 5525 2243  
14557 16150 6545  10070 10017 4841  3689 6255 2045  
11361 13763 5398  6140 9666 3512  6891 4636 2689  
30021 25605 14149  5049 10476 2612  598 2209 372  
2961 3496 1596  3132 2456 1383  2732 2233 1264  
23109 30540 13572  10161 7866 3040  976 1632 343  
13807 10823 5993  7802 10718 4148  4699 5856 2598  
22789 24443 9914  9542 11286 5456  2718 2882 1303  
15870 17351 7433  9184 8573 4556  5150 4395 2153  
6013 6808 3205  5542 5792 2637  4658 3678 2001  
20139 14507 8843  8665 13733 4704  3777 6309 2093  
9775 9525 4852  7288 7452 3226  4803 6307 2557  
10854 14887 6067  6721 9414 3566  6875 5085 2856  
20601 17943 10466  9712 13911 4491  3626 3969 1452  
2670 2406 1426  2514 2238 1313  2912 2754 1348  
