# NumberOfHospitals NumberOfScenarios TimeHorizon
3 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  11147 11979 5793  4208 6045 2353  
5748 6743 3153  4447 5959 2490  3972 5060 1909  
2952 2669 1509  2951 2491 1403  2881 2630 1308  
30322 35450 16107  5154 3430 1077  294 453 50  
17369 25935 10130  9824 9364 3993  3491 3281 1363  
11823 17932 6378  9756 10424 4764  4743 5525 2243  
14557 16150 6545  10070 10017 4841  3689 6255 2045  
11361 13763 5398  6140 9666 3512  6891 4636 2689  
30021 25605 14149  5049 10476 2612  598 2209 372  
2961 3496 1596  3132 2456 1383  2732 2233 1264  
23109 30540 13572  10161 7866 3040  976 1632 343  
13807 10823 5993  7802 10718 4148  4699 5856 2598  
22789 24443 9914  9542 11286 5456  2718 2882 1303  
15870 17351 7433  9184 8573 4556  5150 4395 2153  
6013 6808 3205  5542 5792 2637  4658 3678 2001  
20139 14507 8843  8665 13733 4704  3777 6309 2093  
9775 9525 4852  7288 7452 3226  4803 6307 2557  
10854 14887 6067  6721 9414 3566  6875 5085 2856  
20601 17943 10466  9712 13911 4491  3626 3969 1452  
2670 2406 1426  2514 2238 1313  2912 2754 1348  
7181 8688 3135  6322 8291 3203  6328 5090 2735  
23476 36631 13206  8317 3059 2263  2888 750 1166  
20152 16364 9289  7540 8683 4067  4609 5307 1950  
7943 7992 4383  7620 7475 3609  5320 5411 2546  
33155 29991 14245  2160 7888 2130  587 1306 751  
4007 7166 2449  3164 5800 2055  3347 4931 1934  
10310 8899 4732  6806 6333 3365  5146 3622 2109  
13391 13033 7295  10597 11441 4681  4427 6135 2332  
12585 18537 6919  7898 9963 3909  5838 5541 2776  
16274 15423 7063  9066 9594 4265  5094 5500 2602  
19148 21672 9355  9652 8446 4350  3195 5311 1559  
13326 13994 6466  8270 8735 4079  5187 5954 2313  
14233 12989 7433  8761 12446 4491  5068 4658 2311  
2999 2884 1549  2507 3347 1405  2714 3063 1324  
14417 16804 7896  7732 6999 3883  5260 6548 2461  
27632 30019 14498  5704 8837 2096  2166 1204 501  
15293 28518 9927  10850 8640 4080  4527 2494 1751  
23236 29829 12466  8189 7781 3383  2532 2143 904  
6355 5261 3060  4608 4273 2399  4634 4784 2208  
3397 3373 1599  2555 3187 1227  2356 2933 1137  
33606 32942 16285  2177 5026 876  115 1732 77  
10243 7396 4332  7410 6930 3372  4577 5803 2599  
30275 37149 15762  4503 3009 1222  598 412 130  
2762 3632 1547  2366 3403 1298  2723 2957 1276  
10734 12966 4938  7275 10222 4126  6602 5934 2963  
16907 16802 7825  8587 10484 4324  4173 5890 2068  
6429 6657 2916  5095 5622 2685  4547 4817 2151  
33286 35067 16137  1598 4854 845  872 578 211  
26967 25203 11934  6431 7978 3831  1699 5069 986  
22161 21951 11238  9173 8400 3520  2968 4441 1541  
23062 21886 11298  7810 11825 3824  3320 3414 1237  
10782 21106 7250  8673 10430 4455  8176 4750 3029  
13990 14959 7654  9557 7886 4224  5006 8113 2429  
29587 27802 14481  5437 8011 2143  610 3747 504  
24163 21136 10671  6402 12567 4041  3504 3783 1665  
19660 26091 10779  9326 9177 3816  2136 3231 1155  
4838 6998 2495  4418 5343 2021  4483 5161 2314  
20102 26844 9755  9464 9135 4318  3283 3268 1711  
16735 12389 7463  8717 8341 4213  4984 7972 2605  
19942 23770 8774  11406 10725 5598  2079 4288 1451  
25735 28879 14076  7072 7875 2589  2498 2928 487  
18301 24080 8952  10992 10159 5426  3521 3996 1573  
20024 22967 9142  9787 10945 5291  3307 3482 1319  
3361 3042 1459  2373 3388 1256  2888 2464 1255  
15461 13211 7628  8728 12116 4503  5595 4932 2147  
14637 18694 7643  5324 9515 3368  7210 5220 2928  
10006 10302 4680  7348 5848 3319  5254 5582 2584  
19686 20926 9287  8531 10201 4491  4335 3820 1691  
19975 20635 10752  8908 11403 4176  3880 3778 1442  
3366 2970 1446  2830 3291 1368  2430 3146 1261  
3356 2768 1400  2934 2868 1288  2778 2023 1219  
19382 21039 9797  7164 10666 3541  4073 3664 2042  
19172 25328 9708  11170 8326 4703  2195 4378 1460  
3046 2742 1536  2908 3109 1478  2851 2136 1190  
33726 32046 16210  1996 7015 980  176 626 46  
27837 29905 12646  6091 7811 3231  1496 1773 859  
24007 22916 11223  8001 8347 3623  2240 5589 1343  
14370 17722 7902  9574 10109 4359  3213 5639 1778  
2646 3198 1207  2814 3277 1358  2866 2708 1289  
23176 15957 10125  8580 12671 4431  2687 7229 1741  
10268 9489 4596  5767 8296 3002  5704 4724 2462  
8848 11196 4587  6948 7131 3035  5098 5400 2272  
12873 18666 7104  9714 9700 4293  4354 5288 1994  
2921 3719 1503  1844 3241 1189  2069 3043 1198  
2417 3278 1163  2614 3240 1273  2781 2910 1297  
20605 22564 11066  8076 9768 3869  4509 5113 1463  
3919 7141 2547  4904 6055 2619  4444 4875 2018  
29278 24700 14776  6142 8905 1980  404 4678 440  
25764 30946 11577  7029 6786 3434  1645 2427 1235  
20338 19913 9744  8143 10054 4227  3548 5628 1785  
27730 32867 14465  5943 4587 2298  1406 2639 314  
13487 13326 6182  8466 6617 3806  4603 6966 2686  
26851 26659 13042  6944 8478 3093  1491 3842 788  
2473 3628 1320  2113 3281 1293  2441 2997 1319  
19521 21523 9686  8491 8421 4187  4478 3621 1645  
18699 32548 11769  8123 6400 3175  5606 1301 1266  
6634 7016 3243  4941 5030 2560  4092 4988 2130  
23686 31448 11736  6729 7338 3346  3080 1339 1128  
33912 33263 16234  1900 3967 827  84 1968 167  
13149 15274 7513  10286 9243 4518  5002 5145 2297  
2703 3039 1515  2570 3151 1419  2671 2365 1290  
3177 2709 1541  2959 2598 1420  2760 2149 1234  
16408 20034 7142  10179 10971 4821  4973 5753 2756  
16045 18995 7258  11184 10710 5419  3401 5131 1700  
20619 25986 10549  9614 7721 3737  3462 4267 1906  
24895 24214 10676  7885 11546 4904  1854 3286 953  
28689 32272 13874  3963 6798 2102  2549 1144 922  
6085 7404 3168  5536 4894 2607  4589 3927 2079  
28198 32781 14510  4947 6358 1774  1220 1120 425  
19765 32781 12208  12944 5888 4214  2410 1544 597  
3314 3420 1540  2417 3269 1220  2523 3104 1314  
4484 7303 2597  5057 6127 2620  4034 4592 2163  
10328 13802 6048  5978 9561 3396  7346 5612 2928  
28053 32251 14586  3130 6466 1495  3970 1344 918  
16567 14989 7114  7813 9786 3718  5558 5607 2882  
14554 25219 8714  10417 9793 4558  4296 3526 1975  
6288 6850 3249  3926 6156 2265  4125 4015 2104  
9258 9977 4835  6244 8440 3173  5538 5082 2592  
9492 10771 4868  6752 7528 3472  5330 5891 2461  
12596 17971 6576  9445 10061 4880  5481 4838 2034  
29559 27408 14429  5383 6958 2064  768 5010 636  
16682 10766 6932  9047 10326 4274  4749 7910 2666  
8826 14612 5203  6807 9440 3737  5185 5410 2095  
6787 5412 2838  5267 6149 2600  3647 4397 1644  
34352 29358 14904  1450 5938 1995  95 3746 318  
20206 13465 8305  9051 12569 4949  3799 5972 2024  
6132 6030 2624  4846 6318 2532  4641 3960 1968  
6812 5059 2825  5257 6155 2726  4083 4810 1890  
5602 10648 3630  6292 7737 3510  5293 6115 2586  
22217 30034 12029  10005 6428 3943  2515 2326 948  
23533 19891 10990  6932 12208 4024  3573 3388 1340  
10391 8583 4598  6176 7553 2841  4628 6770 2568  
3309 3519 1586  2037 3348 1191  1904 3048 1134  
32883 34388 15324  2133 5738 1581  328 425 146  
18530 21184 8834  6883 10603 4118  6083 3778 2314  
10597 12431 6045  9602 8104 4114  4723 4386 2343  
12239 14654 6408  5570 9234 3099  5098 5746 2678  
28897 32494 13070  4955 6349 2746  1844 1503 1267  
27329 23836 11866  5071 9950 2848  2123 5102 1714  
14192 18303 7191  9918 8993 4745  4846 5979 2418  
18872 25378 9644  8181 7614 3146  5721 4183 2639  
31953 33710 16291  3647 5237 788  169 1529 111  
12658 21757 7913  8047 10048 3841  7643 4522 3048  
9269 10628 4856  6434 7956 3054  4370 5383 2454  
22241 25072 10738  6053 9318 3053  3086 3955 1679  
20414 19974 9711  8805 7620 3684  3477 6804 2165  
16988 12170 7289  8927 11320 4410  4087 6412 2519  
33167 30719 14414  2094 8445 2181  292 1063 260  
6701 6756 3258  5410 5476 2640  4497 4653 2061  
18148 26124 10305  7846 8434 3038  5477 3817 2430  
23446 29405 12647  8685 7469 3447  2007 2442 768  
15976 28669 10297  9687 8626 4040  5901 2193 2017  
13032 11821 5539  8018 10379 4271  5723 5433 2703  
6821 5494 2877  5590 5319 2639  4447 4420 2009  
15275 15691 8612  8652 12462 4508  5719 3710 2086  
21682 36510 13259  11122 3435 3515  2419 602 338  
8148 9549 3684  5879 7624 2844  5166 6107 2538  
13561 18732 7503  9936 9724 4464  4627 4470 2336  
9847 5808 3946  6910 7678 3669  4950 4936 2509  
25451 21845 13108  7293 13330 3411  2511 4113 625  
9062 9326 3951  7765 6910 3617  5185 5507 2362  
22768 24224 11446  8537 8679 3809  1963 4788 1092  
18252 29385 11016  8115 8047 3373  3311 2199 1234  
8054 14271 5227  8395 9667 3978  6680 5993 2842  
24225 19926 11942  8812 9783 3507  2147 5556 1266  
34001 24459 14614  1814 14325 2521  88 1361 77  
9831 10247 4903  4990 8249 2942  5439 5447 2638  
19455 25569 10862  11056 7917 4107  2638 4578 1247  
5302 6856 3057  5717 5721 2610  4454 4706 2188  
8960 7310 4432  7759 7814 3493  4825 4933 2463  
2465 3659 1456  3042 3170 1491  2284 2742 1270  
17405 25796 10208  10318 7726 4487  4578 4496 1445  
34311 30270 15054  1197 9253 1761  398 566 389  
22527 30992 11234  9183 8083 4512  3261 1000 977  
30944 28264 13864  3201 9584 2209  1337 1787 758  
23806 17959 10505  6468 9359 3950  3472 7309 1843  
3335 3095 1607  2725 3352 1342  2350 3002 1298  
2708 3730 1446  3002 2917 1481  1716 3006 1020  
33767 25468 15040  1734 8258 1803  362 5301 384  
29040 29432 13028  3965 7160 2123  2001 2579 1223  
19321 21234 9217  8663 9292 4511  3297 5219 1809  
31038 25923 14010  3912 8270 2579  752 2965 484  
24216 31062 11751  7933 8058 4286  2169 1192 710  
6514 6717 3263  5334 5644 2645  4491 3047 1783  
33786 33697 16256  1444 6327 715  516 374 264  
17366 25073 9103  8543 8733 3613  4266 3633 1747  
25806 30265 12000  7874 8343 4185  1678 1603 851  
2335 3696 1365  2816 3166 1476  2570 2873 1338  
27424 25440 12860  5098 9521 3130  1965 2046 830  
1772 3512 1187  2280 3242 1170  2331 3034 1300  
26967 21663 12342  6222 11454 3641  2034 4879 898  
18833 22560 8621  10467 8873 4550  3735 5852 2404  
27528 22256 11777  5769 10665 4008  1985 4411 1009  
26538 17519 11326  6684 10116 3938  1990 6020 1285  
24078 18766 10578  7420 11552 3769  2817 5626 1704  
13291 13364 6070  6816 9955 3680  5382 5957 2494  
32719 23197 14637  2340 9445 2059  736 4364 453  
9825 7064 4413  7507 7739 3557  4323 4864 2379  
12035 12523 6332  8839 5984 3576  5602 7335 2626  
29601 30298 14709  4456 8442 2012  1288 1162 432  
27657 23920 14415  7567 10122 2445  497 3083 306  
16889 21556 9394  9001 9864 4283  5556 3691 1976  
31116 25769 15161  3545 10142 1813  1144 2540 223  
8514 11243 4511  5919 7935 2998  5400 5225 2710  
3287 2383 1475  2905 3286 1489  2747 1824 1148  
13097 18573 7458  8386 7420 4225  5241 6279 2011  
33740 23410 14404  2015 13952 2708  130 1893 120  
19636 18638 8561  9103 10032 4421  3691 5194 1916  
16851 22348 9245  10799 8572 4498  4018 5306 1845  
18481 25036 10663  10341 8588 4298  3962 2448 1382  
19456 18936 10441  9120 10158 4214  3717 4949 1553  
31065 27589 13817  3263 8990 2093  1303 3043 1094  
3084 3256 1382  2968 2755 1276  2827 2350 1210  
29808 31746 14384  4786 5592 2412  878 2389 279  
27534 37446 15151  6597 2780 1377  1379 308 502  
22124 26489 10264  10285 8595 4734  2370 4004 1626  
25122 27462 11671  5985 7883 2774  3417 3111 1750  
3337 3486 1610  2172 3233 1136  2857 2290 1301  
10114 8646 4727  7313 7770 3376  5095 5667 2576  
17163 12950 7255  8379 8806 4418  4963 7043 2566  
29639 30513 12812  3398 7993 2486  2033 1975 1513  
14545 15040 7764  7868 7854 3997  6466 6901 2529  
23297 24773 10187  9268 8702 4484  2308 5039 1787  
26795 23601 12715  5924 10295 3311  2310 3566 897  
33728 24895 14895  1945 10148 2060  231 4856 286  
34306 26030 14932  1523 10877 1921  74 2881 367  
13437 12915 6021  8233 9655 4191  5252 6038 2500  
24798 34752 12542  4281 4993 2344  3590 557 960  
3343 2890 1418  3114 2554 1403  2633 2703 1170  
6874 11014 3968  7450 8012 3677  5151 5911 2573  
27865 35620 13775  7344 4194 3046  579 597 314  
2267 3678 1339  2314 3307 1216  2654 2727 1166  
3363 3198 1499  3074 3058 1477  2348 2983 1304  
7424 10119 3644  6059 8266 3196  4350 5665 2123  
2685 3747 1459  3173 2936 1463  2409 2743 1306  
3378 3292 1622  2441 3442 1320  2750 2951 1307  
10113 13000 4756  6484 10055 3848  7037 6065 3124  
16961 16892 7930  6612 9067 3036  5038 6126 2457  
14267 22133 8477  11186 9436 4341  5889 4445 2439  
2934 3590 1436  2824 3370 1431  2907 2465 1286  
13165 14055 6517  6511 9572 3366  4250 6095 2173  
23313 21236 10081  8451 10125 4615  2771 4987 1606  
16485 16568 7474  9026 10163 4438  3753 6366 2147  
11287 18332 6584  8403 9587 3771  5662 5483 2436  
25035 22399 12442  8199 8470 3181  2051 5428 1159  
26284 16355 11011  6927 10703 4141  2043 7663 1523  
12070 12360 5246  6998 9734 3610  6504 5325 2984  
34191 32421 16136  1095 6731 933  571 1090 162  
31111 26726 14116  3803 9263 2620  728 3625 428  
26595 27760 13037  7185 7109 2983  1145 4185 740  
30760 26729 13341  4460 8396 3064  561 3578 606  
9732 14746 5750  8495 9309 3860  5835 5054 2803  
8186 9347 4587  7789 7290 3564  5666 5805 2555  
20402 19782 9336  6755 11334 4106  4429 5132 1990  
7780 9826 3651  6440 8531 3552  4973 6049 2453  
26861 30915 15185  7634 3984 1708  1106 2519 284  
27412 33419 14072  7339 4823 2621  997 1549 441  
4851 7419 2835  4716 6076 2395  4278 4399 1834  
3378 3287 1534  2600 3358 1428  2140 3090 1142  
23237 21126 10014  6403 10153 3309  4051 4277 2154  
28489 32818 14475  4487 6361 1760  2027 1137 790  
13173 13618 6541  7621 6998 3784  5000 7022 2299  
20099 32815 11642  11665 6211 4582  2555 1285 687  
17280 14042 7665  8651 10120 4048  4345 6238 2561  
25448 21501 12326  5914 8921 3227  3463 5774 1243  
14910 21563 7842  8735 10145 4818  3583 4686 1756  
17240 15989 7935  8803 10184 4255  4366 6237 2377  
7913 8913 3429  7259 8537 3678  4521 5293 2030  
3406 2436 1441  3001 2094 1305  2484 2176 1246  
33859 27722 14235  1390 9391 1845  535 2198 782  
8338 10934 4234  5890 7117 2681  5026 6201 2739  
27709 22823 12262  5911 11040 3743  1717 4459 917  
30922 26079 14099  4091 11447 2602  775 1825 446  
17782 28791 10046  12479 8182 4806  2927 2604 1311  
14746 18608 7843  9219 7642 4288  5453 5702 2153  
13295 18276 7597  6715 10036 3566  7265 5187 2679  
26834 27623 14816  7982 6397 2006  1006 4024 367  
29927 26412 12744  3809 10307 2762  1857 2674 1390  
19904 28096 10171  7340 8481 3497  6054 2556 2249  
3435 2612 1473  3104 3037 1443  2798 2777 1289  
16061 13495 7722  8183 8745 4182  4639 5079 2248  
19219 20565 8911  7802 10318 3870  4150 5151 2417  
8997 9229 4725  6618 8272 3469  5448 4680 2462  
20932 33239 12401  10688 6026 3552  2760 1061 952  
24522 28206 13773  9183 6802 2828  1688 4353 555  
16710 25810 9429  8445 9391 4261  4603 3432 1796  
25841 29943 14173  6449 8598 2360  2624 1616 553  
34415 32257 15768  1369 6731 1358  100 1235 81  
19067 18716 8312  9399 10734 4730  2725 5801 1686  
