# NumberOfHospitals NumberOfDistricts TimeHorizon
3 20 3
# CapacityOfPermanentFacility CapacityOfMobileFacility
2495 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
7574.85 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
703 48.8636 2.3362
2111 48.8706 2.34875
2103 48.8654 2.35613
1894 48.8596 2.36258
1650 48.8627 2.35414
1435 48.8591 2.3508
2565 48.8485 2.35038
3961 48.8432 2.35951
2130 48.8491 2.34533
1361 48.8546 2.34015
1943 48.8523 2.33937
2837 48.8518 2.30476
1330 48.8696 2.32617
6571 48.8738 2.3677
13848 48.8451 2.40109
10325 48.842 2.31291
10800 48.8392 2.27905
6033 48.8713 2.27777
14773 48.8921 2.33352
5408 48.8947 2.3823
# Hospitals's infos (Capacity Latitude Longitude)
12477 48.8288 2.33914
12476 48.8294 2.31138
6238 48.8292 2.31105
