# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  11147 11979 5793  4208 6045 2353  
5748 6743 3153  4447 5959 2490  3972 5060 1909  
2952 2669 1509  2951 2491 1403  2881 2630 1308  
30322 35450 16107  5154 3430 1077  294 453 50  
17369 25935 10130  9824 9364 3993  3491 3281 1363  
11823 17932 6378  9756 10424 4764  4743 5525 2243  
14557 16150 6545  10070 10017 4841  3689 6255 2045  
11361 13763 5398  6140 9666 3512  6891 4636 2689  
30021 25605 14149  5049 10476 2612  598 2209 372  
2961 3496 1596  3132 2456 1383  2732 2233 1264  
23109 30540 13572  10161 7866 3040  976 1632 343  
13807 10823 5993  7802 10718 4148  4699 5856 2598  
22789 24443 9914  9542 11286 5456  2718 2882 1303  
15870 17351 7433  9184 8573 4556  5150 4395 2153  
6013 6808 3205  5542 5792 2637  4658 3678 2001  
20139 14507 8843  8665 13733 4704  3777 6309 2093  
9775 9525 4852  7288 7452 3226  4803 6307 2557  
10854 14887 6067  6721 9414 3566  6875 5085 2856  
20601 17943 10466  9712 13911 4491  3626 3969 1452  
2670 2406 1426  2514 2238 1313  2912 2754 1348  
7181 8688 3135  6322 8291 3203  6328 5090 2735  
23476 36631 13206  8317 3059 2263  2888 750 1166  
20152 16364 9289  7540 8683 4067  4609 5307 1950  
7943 7992 4383  7620 7475 3609  5320 5411 2546  
33155 29991 14245  2160 7888 2130  587 1306 751  
4007 7166 2449  3164 5800 2055  3347 4931 1934  
10310 8899 4732  6806 6333 3365  5146 3622 2109  
13391 13033 7295  10597 11441 4681  4427 6135 2332  
12585 18537 6919  7898 9963 3909  5838 5541 2776  
16274 15423 7063  9066 9594 4265  5094 5500 2602  
19148 21672 9355  9652 8446 4350  3195 5311 1559  
13326 13994 6466  8270 8735 4079  5187 5954 2313  
14233 12989 7433  8761 12446 4491  5068 4658 2311  
2999 2884 1549  2507 3347 1405  2714 3063 1324  
14417 16804 7896  7732 6999 3883  5260 6548 2461  
27632 30019 14498  5704 8837 2096  2166 1204 501  
15293 28518 9927  10850 8640 4080  4527 2494 1751  
23236 29829 12466  8189 7781 3383  2532 2143 904  
6355 5261 3060  4608 4273 2399  4634 4784 2208  
3397 3373 1599  2555 3187 1227  2356 2933 1137  
33606 32942 16285  2177 5026 876  115 1732 77  
10243 7396 4332  7410 6930 3372  4577 5803 2599  
30275 37149 15762  4503 3009 1222  598 412 130  
2762 3632 1547  2366 3403 1298  2723 2957 1276  
10734 12966 4938  7275 10222 4126  6602 5934 2963  
16907 16802 7825  8587 10484 4324  4173 5890 2068  
6429 6657 2916  5095 5622 2685  4547 4817 2151  
33286 35067 16137  1598 4854 845  872 578 211  
26967 25203 11934  6431 7978 3831  1699 5069 986  
22161 21951 11238  9173 8400 3520  2968 4441 1541  
