# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
70559 49370  39871 19179  28511 13725  13942 5651  6739 2409  
29467 13633  24426 11911  20512 12472  16586 8219  11037 6673  
66780 33731  39196 26582  28434 13470  15676 7443  8530 4910  
122642 58231  31065 22403  10681 8234  3031 2030  1071 1037  
106139 71859  50105 16198  7651 3316  3395 760  1020 140  
88143 38443  41216 23257  20041 15339  9426 6272  4469 4363  
69499 44351  34135 18866  22917 13544  11899 6531  12535 3974  
76922 38601  41143 23988  19884 8133  13803 8931  7051 5732  
129641 59288  31729 27426  5118 3082  1770 1911  275 237  
85093 52154  31691 21246  24879 10905  15221 4065  6593 2119  
101921 80747  53966 11205  9427 358  2433 23  828 4  
115082 52976  35857 21284  11711 11670  3870 4306  1404 1381  
80477 44675  44579 23098  23378 12706  10142 6745  5387 2585  
101673 60371  39936 23891  18041 4904  6173 2281  1988 516  
124243 47286  33062 28217  8338 11124  2057 3387  724 1379  
80835 52153  37642 18738  22671 9294  14351 6896  6622 2979  
109599 54665  42918 24496  9079 7358  4828 3985  1716 1230  
25173 14788  23243 11034  20595 12544  15631 8527  14410 7122  
15416 7828  13135 7182  12535 5950  11706 6051  9418 6280  
47586 34542  37551 22077  25028 13599  21065 8148  11333 4842  
70046 42635  39894 21943  26798 11258  14100 6508  7232 4666  
135892 66718  23601 18281  7711 6134  1418 855  262 245  
14185 8021  13998 7739  12812 6420  10744 6727  10736 5442  
50421 32633  40495 20070  24515 13823  17400 8420  9635 5026  
56763 34508  39319 21731  23559 13894  15711 8530  11369 5197  
29242 16825  24983 13873  16709 8981  15371 8258  15111 7868  
59079 35184  39421 17359  24564 14623  13918 9622  10834 4749  
116516 67077  30158 15683  17283 8121  2709 970  1029 315  
28492 17155  23663 13558  17403 9005  16234 10101  13087 7957  
9844 7982  9612 7403  9282 6722  9785 6265  10214 5782  
71758 47739  42669 25361  28609 10922  13320 4393  5072 2153  
105886 53795  40108 22969  13969 9871  3879 2641  2139 1384  
15014 7076  11948 6451  12480 5550  10871 6411  10057 6334  
84523 48587  47516 26115  15829 8357  10222 4868  5140 2138  
118390 67499  25131 17798  16636 5383  4101 1129  3303 335  
70908 37562  42087 18873  24722 14089  12746 9937  7215 4851  
136650 77567  25790 10060  4876 3798  1183 791  356 95  
12062 7851  10896 6305  9902 7185  9694 5946  8494 4895  
14157 6358  13937 7719  12174 5271  11390 5965  8527 5208  
40323 24743  32109 18722  23501 13688  17504 10126  14230 6450  
123367 61636  35298 20880  6502 6460  1995 1920  1028 860  
129008 55193  30735 25976  5581 6341  1721 2995  1152 1098  
112838 67471  28430 12660  14862 7325  8352 3753  2938 857  
119509 82347  37992 9278  9791 693  1367 21  201 2  
56580 30568  40587 20866  22634 15604  17243 8021  10943 6545  
76491 37373  41473 25269  23203 12462  11428 5819  6837 5240  
78658 43142  44087 21782  16660 11648  13282 8855  7087 3231  
86403 52687  41056 17535  19245 10767  11880 5559  5405 2718  
15214 7125  12918 5562  11808 5436  11160 6122  10334 6214  
43595 22482  31281 19266  25097 14014  18470 8298  12535 7288  
