# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
70559 49370  39871 19179  28511 13725  13942 5651  6739 2409  
29467 13633  24426 11911  20512 12472  16586 8219  11037 6673  
66780 33731  39196 26582  28434 13470  15676 7443  8530 4910  
122642 58231  31065 22403  10681 8234  3031 2030  1071 1037  
106139 71859  50105 16198  7651 3316  3395 760  1020 140  
88143 38443  41216 23257  20041 15339  9426 6272  4469 4363  
69499 44351  34135 18866  22917 13544  11899 6531  12535 3974  
76922 38601  41143 23988  19884 8133  13803 8931  7051 5732  
129641 59288  31729 27426  5118 3082  1770 1911  275 237  
85093 52154  31691 21246  24879 10905  15221 4065  6593 2119  
101921 80747  53966 11205  9427 358  2433 23  828 4  
115082 52976  35857 21284  11711 11670  3870 4306  1404 1381  
80477 44675  44579 23098  23378 12706  10142 6745  5387 2585  
101673 60371  39936 23891  18041 4904  6173 2281  1988 516  
124243 47286  33062 28217  8338 11124  2057 3387  724 1379  
80835 52153  37642 18738  22671 9294  14351 6896  6622 2979  
109599 54665  42918 24496  9079 7358  4828 3985  1716 1230  
25173 14788  23243 11034  20595 12544  15631 8527  14410 7122  
15416 7828  13135 7182  12535 5950  11706 6051  9418 6280  
47586 34542  37551 22077  25028 13599  21065 8148  11333 4842  
