# NumberOfHospitals NumberOfDistricts TimeHorizon
1 20 3
# CapacityOfPermanentFacility CapacityOfMobileFacility
7063 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
21443.3 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
1976 48.8625 2.34601
703 48.8636 2.3362
1272 48.8681 2.34459
1894 48.8596 2.36258
2084 48.8516 2.3648
899 48.8529 2.35005
2130 48.8491 2.34533
1943 48.8523 2.33937
5441 48.8447 2.32883
2837 48.8518 2.30476
6571 48.8738 2.3677
7260 48.8674 2.37342
7077 48.8611 2.3748
8025 48.8524 2.38589
4014 48.8378 2.36468
18047 48.8344 2.29822
10800 48.8392 2.27905
8512 48.8864 2.32146
5288 48.8827 2.33929
9313 48.8611 2.39401
# Hospitals's infos (Capacity Latitude Longitude)
35314 48.8288 2.33914
