# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  16633 8801  10439 5456  
59856 34122  10739 5092  2716 860  
13072 7738  9192 4898  9584 4777  
14672 9668  12004 7208  9462 4662  
6564 3854  6035 3437  5056 3098  
56648 33534  12067 4747  5877 1850  
51404 26202  17719 9914  4927 2608  
36473 20609  17339 8444  9914 5547  
51789 25290  20107 12636  3108 1753  
66167 36603  7839 3427  2538 354  
40391 21110  19331 11960  9962 4561  
34191 18644  17301 8725  9655 4492  
5681 2617  6105 3466  5232 2600  
9948 6097  9738 5389  9233 4662  
50182 26183  17785 10474  5260 2336  
6467 3434  5953 3091  5687 3059  
47354 22204  18732 11757  4918 3278  
42728 27743  17282 6997  8089 3669  
31834 18070  19506 10012  10870 5699  
13044 6578  10970 6039  9298 5253  
