# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
40066 22113  16633 8801  10439 5456  
59856 34122  10739 5092  2716 860  
13072 7738  9192 4898  9584 4777  
14672 9668  12004 7208  9462 4662  
6564 3854  6035 3437  5056 3098  
56648 33534  12067 4747  5877 1850  
51404 26202  17719 9914  4927 2608  
36473 20609  17339 8444  9914 5547  
51789 25290  20107 12636  3108 1753  
66167 36603  7839 3427  2538 354  
40391 21110  19331 11960  9962 4561  
34191 18644  17301 8725  9655 4492  
5681 2617  6105 3466  5232 2600  
9948 6097  9738 5389  9233 4662  
50182 26183  17785 10474  5260 2336  
6467 3434  5953 3091  5687 3059  
47354 22204  18732 11757  4918 3278  
42728 27743  17282 6997  8089 3669  
31834 18070  19506 10012  10870 5699  
13044 6578  10970 6039  9298 5253  
12519 5984  11162 6212  8843 4973  
28037 13979  24744 14207  11529 5362  
11606 6384  10212 5514  9074 5414  
48290 23408  15854 8503  9119 6138  
24553 11964  18283 10093  11563 6143  
49646 22256  18803 12695  3993 3205  
6172 2912  6252 3533  5669 3183  
63236 34144  12295 5715  1195 540  
5243 3415  6201 3369  5602 3225  
62456 37296  12608 3034  1455 137  
67580 38564  6402 1598  2661 295  
6739 3542  4966 2718  5031 3150  
18183 8452  15034 7920  10620 5439  
49292 29912  18154 7992  5800 1932  
43619 25627  19607 9507  6963 3303  
33355 17020  18446 9620  10152 6184  
5976 2762  6157 3375  5441 2791  
52752 27308  13744 8823  5452 3137  
44400 22038  19264 11766  6651 3510  
49659 29646  17030 7247  6846 2755  
11290 7252  10298 6092  9545 5168  
62010 31867  11341 7800  2308 588  
9216 4802  11587 6029  8389 5056  
45100 27166  16614 7892  7314 3315  
23502 13187  19058 10078  12190 6189  
53829 30853  14474 5850  5908 2637  
32579 18420  18603 9980  9647 4613  
60614 34543  11771 4425  3013 1059  
12267 5762  10273 5226  8992 4611  
26552 14023  17302 9735  11481 6303  
