# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
89103 82561 80226  48938 37343 30804  13197 12999 14007  
101605 95615 93000  42972 33884 28647  21940 13691 10245  
96966 81117 68127  39527 37003 38930  22585 15909 13125  
49633 42341 37427  35839 29910 26006  24661 19929 17798  
126921 125892 131387  38045 21569 6025  6647 2097 161  
80298 85021 95484  54509 42401 31303  19658 11996 6699  
47818 37525 28652  36779 30505 26784  26021 20992 18163  
32011 33830 37481  31344 29787 28790  25882 21872 19864  
36472 32766 32560  36403 28891 24261  26404 23031 21557  
94779 76485 65242  39626 34947 34256  24632 21999 20832  
121835 112788 114578  50016 33292 19719  3412 2943 2761  
144239 126384 116410  25683 19253 17726  7624 3994 2607  
16578 14011 12158  12181 11909 12161  13419 10631 8945  
32549 27406 24339  23265 19340 17581  19101 18435 18597  
75713 66422 58308  42288 38228 38585  28343 21241 18075  
48067 39583 32386  36640 30147 26181  21693 20326 20173  
159804 120798 88223  14882 21932 33615  2335 4565 10144  
27270 26446 26748  23180 21348 19845  19138 17856 17647  
46482 39853 34123  35378 30586 27967  27195 21472 18346  
16444 12929 10462  14544 11038 8170  13604 11821 10745  
