# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
89103 82561 80226  48938 37343 30804  13197 12999 14007  
101605 95615 93000  42972 33884 28647  21940 13691 10245  
96966 81117 68127  39527 37003 38930  22585 15909 13125  
49633 42341 37427  35839 29910 26006  24661 19929 17798  
126921 125892 131387  38045 21569 6025  6647 2097 161  
80298 85021 95484  54509 42401 31303  19658 11996 6699  
47818 37525 28652  36779 30505 26784  26021 20992 18163  
32011 33830 37481  31344 29787 28790  25882 21872 19864  
36472 32766 32560  36403 28891 24261  26404 23031 21557  
94779 76485 65242  39626 34947 34256  24632 21999 20832  
121835 112788 114578  50016 33292 19719  3412 2943 2761  
144239 126384 116410  25683 19253 17726  7624 3994 2607  
16578 14011 12158  12181 11909 12161  13419 10631 8945  
32549 27406 24339  23265 19340 17581  19101 18435 18597  
75713 66422 58308  42288 38228 38585  28343 21241 18075  
48067 39583 32386  36640 30147 26181  21693 20326 20173  
159804 120798 88223  14882 21932 33615  2335 4565 10144  
27270 26446 26748  23180 21348 19845  19138 17856 17647  
46482 39853 34123  35378 30586 27967  27195 21472 18346  
16444 12929 10462  14544 11038 8170  13604 11821 10745  
29942 32817 37191  36367 31309 28516  14452 16137 18010  
32112 27036 22862  25832 22848 21119  22376 17838 15260  
30815 27976 26309  27523 21490 17427  21982 17419 14025  
158513 119641 86655  14081 22199 37200  5162 6628 10256  
116168 106139 97600  38365 31224 30915  16773 9792 7024  
127496 121573 120451  43655 23980 13117  6677 4069 3084  
118846 117362 118988  41263 24670 13823  14117 7102 4210  
104129 96382 87184  50557 39349 38185  16504 9389 7271  
28211 23501 21300  19327 18138 18787  15881 14007 13859  
103955 103471 106065  37084 28308 22389  18319 11647 6813  
124875 118531 121901  44988 28319 14324  3998 2184 1018  
75770 65506 56302  44221 39359 39128  25025 19879 17777  
89899 81719 75501  47367 38497 35382  17721 15456 15389  
42450 39196 36305  37424 31231 28040  22148 20694 20488  
64851 52917 42973  41343 34340 30129  25405 21635 20308  
100674 82376 69506  39181 35113 35694  19468 18185 18852  
32282 26224 22427  27381 22119 18193  19608 17061 16361  
44372 41330 39972  37438 30647 26392  23299 20992 20617  
82321 64203 51079  42250 33829 27095  23555 22536 23912  
32727 28011 24550  23369 21991 21999  20613 17787 15753  
137275 131871 133284  24548 12243 3036  10859 4677 1010  
68581 64605 64960  47633 35905 28758  23459 20139 19018  
37222 37842 39536  36472 31311 28383  19052 18261 18786  
37151 33470 33245  36344 30753 27686  20152 20075 21113  
148840 115677 90409  23020 25400 31525  4624 5825 9730  
57954 50845 43992  34659 32532 32174  32141 23824 19745  
16368 13988 12554  13657 12264 11778  11662 11075 11017  
74163 70334 64850  50571 42367 39992  25978 20253 18818  
101043 90355 80279  47842 38513 36855  15703 12833 13245  
32599 33888 37244  23539 24121 25919  23612 21928 20894  
