# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
55657 31724 34380  22461 20256 14960  8457 6914 7311  7355 2572 2943  
45603 30216 28220  25842 14086 15021  10197 8476 9035  8549 6029 4852  
22738 19266 16752  15246 10483 12398  17054 9967 9186  11757 7423 6860  
56262 38767 28377  27009 18424 20821  9090 4492 4551  4005 3231 3851  
46765 55160 33932  30219 9895 17540  10780 1649 6400  8932 365 3574  
7888 4690 3384  8039 4751 3987  7939 4396 4444  6789 3720 3369  
32860 20152 23428  19095 17030 14248  14726 8295 9144  9984 7030 5907  
62572 51207 45265  25731 10732 13323  7383 3670 3164  3541 1052 754  
7289 6164 5705  8122 4568 5286  6071 5252 3627  6222 3606 4424  
34330 14181 20457  24973 16723 14460  14717 12939 10242  8213 6681 6536  
36808 18075 21762  23659 16010 13222  14292 9921 10216  9167 6253 6223  
62197 27717 36851  24256 24683 15324  9180 7495 6233  2974 4316 2887  
83020 41053 49068  11647 20530 11542  4339 2731 1667  1035 2284 501  
27188 17763 17479  18981 9319 11916  14806 10650 8481  10998 5489 5856  
82448 51248 52471  14632 10476 8322  2489 4718 1555  594 399 448  
79715 55628 51765  13720 9675 9011  5441 1248 1781  997 370 267  
58427 36463 28023  22946 17221 14864  12154 7560 11019  3771 3960 5153  
64164 34720 26256  27190 18767 23763  6748 8599 8446  1273 2843 1464  
46198 29616 28034  20624 14888 16310  15264 8660 6658  6482 6765 4545  
51560 37891 32015  25309 12437 16999  7511 9354 5071  8130 3846 3733  
