# NumberOfHospitals NumberOfScenarios TimeHorizon
3 300 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
55657 31724 34380  22461 20256 14960  8457 6914 7311  7355 2572 2943  
45603 30216 28220  25842 14086 15021  10197 8476 9035  8549 6029 4852  
22738 19266 16752  15246 10483 12398  17054 9967 9186  11757 7423 6860  
56262 38767 28377  27009 18424 20821  9090 4492 4551  4005 3231 3851  
46765 55160 33932  30219 9895 17540  10780 1649 6400  8932 365 3574  
7888 4690 3384  8039 4751 3987  7939 4396 4444  6789 3720 3369  
32860 20152 23428  19095 17030 14248  14726 8295 9144  9984 7030 5907  
62572 51207 45265  25731 10732 13323  7383 3670 3164  3541 1052 754  
7289 6164 5705  8122 4568 5286  6071 5252 3627  6222 3606 4424  
34330 14181 20457  24973 16723 14460  14717 12939 10242  8213 6681 6536  
36808 18075 21762  23659 16010 13222  14292 9921 10216  9167 6253 6223  
62197 27717 36851  24256 24683 15324  9180 7495 6233  2974 4316 2887  
83020 41053 49068  11647 20530 11542  4339 2731 1667  1035 2284 501  
27188 17763 17479  18981 9319 11916  14806 10650 8481  10998 5489 5856  
82448 51248 52471  14632 10476 8322  2489 4718 1555  594 399 448  
79715 55628 51765  13720 9675 9011  5441 1248 1781  997 370 267  
58427 36463 28023  22946 17221 14864  12154 7560 11019  3771 3960 5153  
64164 34720 26256  27190 18767 23763  6748 8599 8446  1273 2843 1464  
46198 29616 28034  20624 14888 16310  15264 8660 6658  6482 6765 4545  
51560 37891 32015  25309 12437 16999  7511 9354 5071  8130 3846 3733  
73222 47136 46273  20236 13438 11055  4948 4086 4138  1131 1932 819  
54982 35918 32672  23077 14674 11820  12523 8253 9563  4867 4145 5066  
79946 35401 47226  17321 23240 11123  2114 5307 3832  653 1527 533  
52122 41860 29170  27174 16090 17465  11196 6188 9136  4869 2029 4182  
34190 23417 18615  22850 12354 11149  15635 9582 9548  8833 8224 7366  
42543 31072 25278  27334 13275 15920  13490 7992 7019  6466 7131 6404  
7713 6499 5413  8613 4946 5219  6959 5093 3994  7119 4371 4090  
13259 12541 10856  12019 8022 9431  11265 8944 6632  10762 7154 6334  
85549 46760 48550  11991 16453 10872  2364 2882 2345  412 873 936  
10994 12349 7766  14420 10518 9209  10392 8581 7450  11017 6742 6868  
74361 37907 36931  16777 17194 11967  6642 4708 8543  1836 2610 3174  
77653 51924 53539  17187 7546 6973  4024 6702 1842  1295 749 434  
40217 38612 31518  30427 15644 17590  15446 6977 7704  5241 3404 2757  
17833 12321 11441  12474 10302 9315  12493 7034 7839  8665 6396 6387  
77107 48654 38643  17207 15006 16525  5185 2136 5579  558 846 812  
75924 42787 42721  18058 13636 13957  4054 6973 4699  1472 2875 858  
43159 28675 29743  26911 14960 14605  13473 7634 8070  7565 5688 4669  
39205 30349 22299  23764 14758 12237  14137 9741 9454  9627 5025 6360  
35570 16937 21739  23625 14109 14536  14698 9775 9368  9828 7305 4889  
8288 4602 3602  7833 5743 4723  6584 5409 4293  6642 4130 3432  
46434 25368 23732  19371 19280 13368  14450 9353 8809  7740 6363 7157  
31718 23424 23656  21975 16054 14558  12588 10701 7533  10827 6528 5651  
66586 35852 36927  22255 15783 14464  6772 7013 7245  3019 5402 2543  
54485 38215 41293  18857 14795 13000  15710 7299 5448  7417 2994 1824  
8722 5064 5831  8575 4182 4310  6986 5264 4930  5794 3730 4378  
35854 21560 18388  23702 12402 12642  13604 12658 11180  10279 6220 6906  
17513 12118 11752  13053 8135 9476  12060 5372 6992  7924 6726 6313  
59325 51872 39716  30002 10807 15835  7773 3138 4569  2339 916 1713  
57145 51855 38948  27214 11817 16598  11837 2379 5421  2804 817 1211  
46679 21305 25376  25134 15910 15700  10753 10886 10089  8333 7959 4886  
8019 5193 5879  6375 5050 5202  7131 5313 4766  6646 2540 3731  
48366 35243 26205  23159 18003 16166  16150 7059 11081  7090 3420 4698  
7364 6519 5216  8407 4925 4353  6474 5359 4258  5237 4835 4069  
85376 44851 48460  10660 19216 11481  3208 2240 2516  816 464 344  
46815 38190 34163  28584 12028 15486  12979 8050 7399  5775 4741 3242  
27961 15084 14312  17893 14050 13704  15419 8840 8525  8993 8329 6058  
80100 52827 53118  16713 10305 7951  2409 3067 1525  716 518 230  
18300 9606 11237  13312 6919 9029  11289 8947 8010  10730 5372 5571  
58852 52170 42169  28351 11238 13929  9018 2810 4656  1975 697 1126  
35557 18956 16636  24260 12946 14215  14893 9321 10918  8548 8895 5821  
43869 39121 31583  29005 14110 17802  14637 6675 7556  5482 4004 3180  
31924 17027 22418  20143 16492 14982  17524 8996 8851  8832 8277 6085  
8201 5509 4129  8659 4130 4664  6427 5561 4449  6335 4597 3588  
29357 23831 16377  19043 16706 15261  14545 10113 10888  13169 6099 7002  
44733 22381 27737  25490 14130 14572  12249 10406 9313  8342 7273 4018  
63305 41919 47089  21619 16342 11496  11105 5902 3168  3096 1594 794  
38619 22963 28603  22300 14877 15344  17827 8252 7520  8868 8930 5311  
7929 6489 5400  8577 5167 4844  6299 5239 4730  6886 4546 3979  
77677 52419 58731  17285 4972 2681  4816 5906 1207  312 2616 198  
64888 40763 39911  18312 17397 11561  7659 5043 7267  5497 2502 2137  
86433 60161 59125  11599 4091 3188  1646 2632 503  529 253 69  
15609 8755 6311  14765 10593 9134  12551 6821 6475  10654 5412 6006  
66006 31264 34597  21201 20987 14454  8129 6246 8317  3131 5399 3532  
14634 11748 11607  12698 10663 8926  10034 8662 6636  10216 5942 6735  
26776 12498 16139  20809 11570 10987  14130 11801 9640  10646 8258 6908  
32269 24253 18294  18710 16510 15007  17227 9427 9349  10491 4867 4675  
64995 29219 35556  22012 24090 15813  8437 7736 7447  3252 3049 2387  
84408 60109 47431  13631 6643 13650  1726 340 1089  454 50 521  
23862 19010 21919  27619 16098 15245  13189 11384 9168  7549 5763 5514  
85329 43245 47417  10435 14832 12841  3619 7418 2142  863 1298 300  
58816 38762 41626  23984 12734 13187  11712 8105 4377  2420 3407 2259  
25319 16789 17848  20906 13012 12062  15190 7588 7381  9450 8326 5875  
38690 22839 28570  25589 18651 16131  15986 11083 8450  8715 5099 4379  
17846 10849 11768  15384 9593 9091  10432 7324 7856  10582 5860 5199  
94871 47892 52214  5015 15236 8678  469 2617 1042  102 1256 912  
63632 47537 47249  23666 11754 11540  8399 5475 3006  3376 1101 723  
22425 19415 16435  16743 13190 12567  11904 8526 9106  13126 6310 5385  
15640 12935 11076  15310 7773 9330  13040 7103 6734  9164 6249 4464  
54275 37585 45128  28941 22668 12559  11976 3090 3475  3168 1853 1178  
55146 30877 28022  21195 21040 18088  12474 8444 8336  6383 3144 3812  
61093 43763 40129  22521 14480 11326  11092 4379 6630  3421 2239 1993  
68672 33593 44080  21588 12661 11208  7496 10430 4494  2004 6095 1865  
61524 43744 39801  23783 15009 14847  8967 5249 5401  3795 2026 1684  
39506 22231 28386  28824 17230 14789  12566 10363 9127  7111 7684 4823  
51697 33816 35685  21128 19357 13826  14436 7226 7529  4485 2774 3011  
86930 48070 57559  10518 13652 4540  2478 4032 680  384 896 97  
17164 12143 11790  14210 6896 8965  11597 7618 7905  10058 6433 4759  
45486 38643 29475  25015 14544 18844  15930 7657 7934  7673 3090 3671  
9398 4638 4781  7523 3446 4892  6614 5237 3705  7009 3933 3541  
50999 37387 30454  19543 16998 13886  15470 7190 9869  4760 3138 3523  
56698 31930 33406  20282 19129 16435  11451 4999 6497  6812 4696 3109  
16586 9703 7488  15760 8973 9777  11509 7678 6030  9553 6296 5103  
74285 46856 44964  19656 12287 11460  4135 5644 4892  1329 1602 1167  
18943 9432 10016  13484 10819 9716  11447 4933 7077  9634 7936 6349  
43954 31318 27466  26688 13659 15183  11225 9543 6312  7954 4768 6537  
28346 16542 16134  18963 10203 8846  14311 8943 7910  10293 6661 5906  
37067 20675 22808  20303 17710 14421  15368 9867 9577  9833 5530 5857  
77052 63861 48527  21151 2953 13637  2093 284 617  136 41 64  
41918 37782 26466  22297 16251 14205  10807 7146 8066  11337 3407 6594  
63944 35877 45529  25952 18543 12481  6001 9146 3491  3463 2208 951  
29849 25390 22560  26024 14674 14152  12886 10120 7383  10358 5019 7019  
26093 21038 22610  27086 16018 14837  15570 11048 9434  11031 5059 5689  
67305 51183 43169  17600 12326 12773  11366 2466 5168  2801 839 1330  
6257 5330 5577  8109 5179 5406  6742 4476 4852  6673 4233 4425  
84558 55945 43608  11913 8256 11075  2223 2313 4231  1649 505 3292  
27230 23813 22621  20988 16838 13129  19073 9457 9671  12408 5267 6222  
66920 23361 37808  23416 19409 15783  6022 8811 5657  2987 10503 2507  
55777 33110 30312  22807 13672 17691  10169 11139 6173  6471 3935 3747  
16352 10673 11829  15452 6783 8156  12170 5891 7170  7292 7772 6303  
15444 12622 11446  10905 8274 9198  13037 8214 6697  9479 5361 6512  
93689 55874 56761  5369 6047 5088  1366 4214 680  43 719 188  
65970 33071 37403  19268 19573 16820  9941 7831 4609  3369 3171 2422  
59606 41273 32707  23562 15928 15231  8507 4568 4588  5124 3560 6248  
44872 29028 29451  26257 14618 13701  13719 7997 7501  7144 5333 4268  
7273 6447 4813  8736 4667 4616  7750 4865 4874  5152 4549 4347  
18031 11989 10438  15411 8433 8238  11224 8859 7948  9912 6799 5960  
9426 5063 5519  8473 4447 4994  7809 4331 4368  6220 4569 3372  
44381 36248 25294  28877 17478 20147  14226 7497 9365  6304 3377 4355  
9427 4840 4885  7255 5923 4624  6910 2631 4188  6286 4054 2971  
17123 12393 10145  15597 9179 9332  12454 7192 7934  8427 6978 4940  
44897 39129 31782  30355 15025 16248  10245 7343 6166  5764 2815 4724  
20960 16194 17281  20168 14392 12415  15851 10039 8976  11629 6909 6767  
29359 25632 22175  23131 15947 14301  17654 8924 9539  11337 5465 5611  
7691 5877 5872  8459 5005 5269  5604 5274 4455  5610 4946 3890  
84688 46164 44652  12557 16217 12910  1891 4102 3350  1081 510 1720  
49512 51179 35849  30437 11963 19740  13975 2951 4706  3317 778 1339  
63441 49685 46566  25061 12981 11941  6215 3442 2852  3869 742 1137  
46733 25321 28054  24058 16371 12429  13031 7390 9357  7333 6862 4315  
75422 50172 53545  17569 8113 6911  4778 2514 1423  2286 4840 795  
20191 19489 15022  22154 12381 12091  9442 9727 6575  9616 7171 5963  
86746 51466 41987  7903 10117 8152  5118 4798 10558  651 475 1620  
50176 28850 22610  26875 18509 17823  11673 9292 8714  5793 5572 6085  
69302 65013 51767  27182 1772 8038  3453 336 2885  408 26 163  
12550 12695 8690  10919 10448 8171  12876 8387 8129  8800 6794 6486  
81765 64604 54420  16734 1719 5500  1701 718 2854  245 87 112  
56696 33133 33092  19634 16322 16721  13661 7794 6621  5261 5556 3482  
30879 22128 15488  21723 17378 15652  13785 10727 10541  12840 5206 6994  
58745 43477 34754  19087 15961 15909  14590 4142 7849  4266 2141 1895  
20497 19490 14707  16312 13527 12484  12993 9902 8709  10462 6522 7286  
52632 30844 35098  22403 18896 15582  10845 8508 6685  8079 4404 2608  
67280 51173 43068  17812 10714 14515  8266 4012 2967  4555 934 1450  
49215 32043 24010  22682 19292 16150  14048 7656 8966  8098 4114 7456  
23816 16513 17754  21655 11183 11658  14024 6606 8398  11197 8213 6900  
20383 16275 17157  19857 12990 12947  13663 7544 8837  10857 8806 6150  
76000 40621 43103  16919 19091 12270  4727 4431 3252  1922 1606 3204  
14217 12961 9713  15357 9700 8732  11290 8197 8253  9622 6603 6761  
67998 58083 49817  23534 7421 10931  4583 1009 1646  3164 506 409  
18960 10289 10929  15084 7488 8719  12406 7728 6853  9486 5565 6459  
23237 19276 16836  18016 13902 11863  16205 8900 8551  8725 7260 6297  
26156 17174 13980  16173 14494 11558  13753 8798 7111  11421 5864 5818  
79418 33276 45950  14451 19912 13476  4754 7885 2573  1492 3416 597  
6577 6476 4844  7857 5648 5358  7092 5105 4128  6511 4596 4516  
29637 24644 22975  21527 15424 14737  18339 9250 8992  9059 5583 5976  
27143 17807 17487  18088 8010 11422  15647 9110 8567  10308 6790 4733  
6694 5562 5684  7725 4609 5316  6703 5222 4795  6538 4940 4169  
15959 12824 10116  15599 8817 9663  11630 8588 7228  7681 6817 6302  
9470 5105 5087  8555 4586 4993  6399 5508 4683  6807 4741 4245  
55100 23955 30278  25209 20000 17407  11297 10450 7766  4632 5369 3981  
35028 21329 17538  21736 14924 12048  14357 10352 9003  10898 6180 7581  
9182 4873 4522  8552 4286 4479  5982 5400 3795  6980 3068 3989  
58572 39778 30633  19922 17741 15161  13044 6385 10675  5230 1895 3150  
68107 42825 47365  23838 11724 9888  5787 5273 3508  1885 4814 1539  
87762 42387 54800  10161 19792 7283  1528 3862 670  767 442 103  
18340 11764 11536  12757 10020 9550  11344 8692 7072  10383 6178 6489  
63768 40224 40942  23181 10486 12004  8628 8401 4765  3000 3904 3232  
54020 30892 34823  25190 13326 13964  11294 11766 6264  5100 4738 4286  
22811 19500 15337  17136 13723 11012  17081 7999 9683  11369 6758 6141  
80527 55127 51790  13362 8486 9376  5513 2135 1092  888 867 428  
83043 53490 50088  14271 8381 7922  2472 4326 3882  563 516 724  
56601 32331 31087  18799 20298 15698  13663 6071 8598  6276 4309 3665  
18007 8130 10537  12964 7604 9375  12379 9414 7717  9327 5414 6293  
57522 36221 41222  25366 19872 13983  11198 5133 4624  4056 3491 1924  
36204 32562 25144  28677 14210 14112  16584 8587 10371  7696 4804 6307  
89871 43207 54454  9246 22179 7440  1221 1175 783  91 271 159  
73754 64820 54317  20969 1771 8089  4124 479 421  1148 71 59  
35455 32463 24493  19014 16342 13076  19649 8081 9606  11961 4557 7194  
74067 57142 45770  21901 7810 13468  3711 1299 2336  501 521 504  
14507 13044 10353  13170 9205 9844  10724 8692 6825  10985 6590 6591  
26199 18723 15961  19600 11161 13091  14473 8125 6734  10214 7952 7588  
55331 45378 36579  24240 12054 10739  11245 6394 10011  5879 2153 3412  
94040 47112 47982  5650 12474 11202  665 5741 2599  101 1085 704  
50899 36386 29005  22627 13857 11113  14728 7773 10293  6811 3757 5835  
67658 56642 57006  26105 10199 5175  3846 202 596  1928 79 98  
71880 48904 43077  19549 13451 12834  6282 2574 3482  2018 1463 2349  
53992 55435 35306  28721 9242 15762  14078 1943 8511  2828 446 2668  
7496 6515 5159  6491 5786 4254  7816 4924 4861  7201 4367 4117  
76316 57379 48537  15830 8077 8768  6487 1203 3541  1259 336 1135  
9499 4969 5291  8103 3967 4976  6381 4621 4915  7221 3833 3877  
43872 17344 24745  26209 19840 17146  13158 8266 8536  6098 7526 5654  
55638 35158 33918  22719 17382 16264  12081 6718 5517  5177 4320 3448  
13087 11337 11272  16257 8901 9337  10756 7691 7884  7128 6103 5992  
26369 25528 17896  19657 15459 12083  19621 9208 10850  11992 6361 7919  
49263 32408 24308  28683 16780 20844  10295 7989 5617  6449 5405 6742  
55486 52087 40032  32136 10441 14471  7099 3164 6214  3817 973 1652  
