# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
55657 31724 34380  22461 20256 14960  8457 6914 7311  7355 2572 2943  
45603 30216 28220  25842 14086 15021  10197 8476 9035  8549 6029 4852  
22738 19266 16752  15246 10483 12398  17054 9967 9186  11757 7423 6860  
56262 38767 28377  27009 18424 20821  9090 4492 4551  4005 3231 3851  
46765 55160 33932  30219 9895 17540  10780 1649 6400  8932 365 3574  
7888 4690 3384  8039 4751 3987  7939 4396 4444  6789 3720 3369  
32860 20152 23428  19095 17030 14248  14726 8295 9144  9984 7030 5907  
62572 51207 45265  25731 10732 13323  7383 3670 3164  3541 1052 754  
7289 6164 5705  8122 4568 5286  6071 5252 3627  6222 3606 4424  
34330 14181 20457  24973 16723 14460  14717 12939 10242  8213 6681 6536  
36808 18075 21762  23659 16010 13222  14292 9921 10216  9167 6253 6223  
62197 27717 36851  24256 24683 15324  9180 7495 6233  2974 4316 2887  
83020 41053 49068  11647 20530 11542  4339 2731 1667  1035 2284 501  
27188 17763 17479  18981 9319 11916  14806 10650 8481  10998 5489 5856  
82448 51248 52471  14632 10476 8322  2489 4718 1555  594 399 448  
79715 55628 51765  13720 9675 9011  5441 1248 1781  997 370 267  
58427 36463 28023  22946 17221 14864  12154 7560 11019  3771 3960 5153  
64164 34720 26256  27190 18767 23763  6748 8599 8446  1273 2843 1464  
46198 29616 28034  20624 14888 16310  15264 8660 6658  6482 6765 4545  
51560 37891 32015  25309 12437 16999  7511 9354 5071  8130 3846 3733  
73222 47136 46273  20236 13438 11055  4948 4086 4138  1131 1932 819  
54982 35918 32672  23077 14674 11820  12523 8253 9563  4867 4145 5066  
79946 35401 47226  17321 23240 11123  2114 5307 3832  653 1527 533  
52122 41860 29170  27174 16090 17465  11196 6188 9136  4869 2029 4182  
34190 23417 18615  22850 12354 11149  15635 9582 9548  8833 8224 7366  
42543 31072 25278  27334 13275 15920  13490 7992 7019  6466 7131 6404  
7713 6499 5413  8613 4946 5219  6959 5093 3994  7119 4371 4090  
13259 12541 10856  12019 8022 9431  11265 8944 6632  10762 7154 6334  
85549 46760 48550  11991 16453 10872  2364 2882 2345  412 873 936  
10994 12349 7766  14420 10518 9209  10392 8581 7450  11017 6742 6868  
74361 37907 36931  16777 17194 11967  6642 4708 8543  1836 2610 3174  
77653 51924 53539  17187 7546 6973  4024 6702 1842  1295 749 434  
40217 38612 31518  30427 15644 17590  15446 6977 7704  5241 3404 2757  
17833 12321 11441  12474 10302 9315  12493 7034 7839  8665 6396 6387  
77107 48654 38643  17207 15006 16525  5185 2136 5579  558 846 812  
75924 42787 42721  18058 13636 13957  4054 6973 4699  1472 2875 858  
43159 28675 29743  26911 14960 14605  13473 7634 8070  7565 5688 4669  
39205 30349 22299  23764 14758 12237  14137 9741 9454  9627 5025 6360  
35570 16937 21739  23625 14109 14536  14698 9775 9368  9828 7305 4889  
8288 4602 3602  7833 5743 4723  6584 5409 4293  6642 4130 3432  
46434 25368 23732  19371 19280 13368  14450 9353 8809  7740 6363 7157  
31718 23424 23656  21975 16054 14558  12588 10701 7533  10827 6528 5651  
66586 35852 36927  22255 15783 14464  6772 7013 7245  3019 5402 2543  
54485 38215 41293  18857 14795 13000  15710 7299 5448  7417 2994 1824  
8722 5064 5831  8575 4182 4310  6986 5264 4930  5794 3730 4378  
35854 21560 18388  23702 12402 12642  13604 12658 11180  10279 6220 6906  
17513 12118 11752  13053 8135 9476  12060 5372 6992  7924 6726 6313  
59325 51872 39716  30002 10807 15835  7773 3138 4569  2339 916 1713  
57145 51855 38948  27214 11817 16598  11837 2379 5421  2804 817 1211  
46679 21305 25376  25134 15910 15700  10753 10886 10089  8333 7959 4886  
8019 5193 5879  6375 5050 5202  7131 5313 4766  6646 2540 3731  
48366 35243 26205  23159 18003 16166  16150 7059 11081  7090 3420 4698  
7364 6519 5216  8407 4925 4353  6474 5359 4258  5237 4835 4069  
85376 44851 48460  10660 19216 11481  3208 2240 2516  816 464 344  
46815 38190 34163  28584 12028 15486  12979 8050 7399  5775 4741 3242  
27961 15084 14312  17893 14050 13704  15419 8840 8525  8993 8329 6058  
80100 52827 53118  16713 10305 7951  2409 3067 1525  716 518 230  
18300 9606 11237  13312 6919 9029  11289 8947 8010  10730 5372 5571  
58852 52170 42169  28351 11238 13929  9018 2810 4656  1975 697 1126  
35557 18956 16636  24260 12946 14215  14893 9321 10918  8548 8895 5821  
43869 39121 31583  29005 14110 17802  14637 6675 7556  5482 4004 3180  
31924 17027 22418  20143 16492 14982  17524 8996 8851  8832 8277 6085  
8201 5509 4129  8659 4130 4664  6427 5561 4449  6335 4597 3588  
29357 23831 16377  19043 16706 15261  14545 10113 10888  13169 6099 7002  
44733 22381 27737  25490 14130 14572  12249 10406 9313  8342 7273 4018  
63305 41919 47089  21619 16342 11496  11105 5902 3168  3096 1594 794  
38619 22963 28603  22300 14877 15344  17827 8252 7520  8868 8930 5311  
7929 6489 5400  8577 5167 4844  6299 5239 4730  6886 4546 3979  
77677 52419 58731  17285 4972 2681  4816 5906 1207  312 2616 198  
64888 40763 39911  18312 17397 11561  7659 5043 7267  5497 2502 2137  
86433 60161 59125  11599 4091 3188  1646 2632 503  529 253 69  
15609 8755 6311  14765 10593 9134  12551 6821 6475  10654 5412 6006  
66006 31264 34597  21201 20987 14454  8129 6246 8317  3131 5399 3532  
14634 11748 11607  12698 10663 8926  10034 8662 6636  10216 5942 6735  
26776 12498 16139  20809 11570 10987  14130 11801 9640  10646 8258 6908  
32269 24253 18294  18710 16510 15007  17227 9427 9349  10491 4867 4675  
64995 29219 35556  22012 24090 15813  8437 7736 7447  3252 3049 2387  
84408 60109 47431  13631 6643 13650  1726 340 1089  454 50 521  
23862 19010 21919  27619 16098 15245  13189 11384 9168  7549 5763 5514  
85329 43245 47417  10435 14832 12841  3619 7418 2142  863 1298 300  
58816 38762 41626  23984 12734 13187  11712 8105 4377  2420 3407 2259  
25319 16789 17848  20906 13012 12062  15190 7588 7381  9450 8326 5875  
38690 22839 28570  25589 18651 16131  15986 11083 8450  8715 5099 4379  
17846 10849 11768  15384 9593 9091  10432 7324 7856  10582 5860 5199  
94871 47892 52214  5015 15236 8678  469 2617 1042  102 1256 912  
63632 47537 47249  23666 11754 11540  8399 5475 3006  3376 1101 723  
22425 19415 16435  16743 13190 12567  11904 8526 9106  13126 6310 5385  
15640 12935 11076  15310 7773 9330  13040 7103 6734  9164 6249 4464  
54275 37585 45128  28941 22668 12559  11976 3090 3475  3168 1853 1178  
55146 30877 28022  21195 21040 18088  12474 8444 8336  6383 3144 3812  
61093 43763 40129  22521 14480 11326  11092 4379 6630  3421 2239 1993  
68672 33593 44080  21588 12661 11208  7496 10430 4494  2004 6095 1865  
61524 43744 39801  23783 15009 14847  8967 5249 5401  3795 2026 1684  
39506 22231 28386  28824 17230 14789  12566 10363 9127  7111 7684 4823  
51697 33816 35685  21128 19357 13826  14436 7226 7529  4485 2774 3011  
86930 48070 57559  10518 13652 4540  2478 4032 680  384 896 97  
17164 12143 11790  14210 6896 8965  11597 7618 7905  10058 6433 4759  
45486 38643 29475  25015 14544 18844  15930 7657 7934  7673 3090 3671  
9398 4638 4781  7523 3446 4892  6614 5237 3705  7009 3933 3541  
50999 37387 30454  19543 16998 13886  15470 7190 9869  4760 3138 3523  
