# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
55657 31724 34380  22461 20256 14960  8457 6914 7311  7355 2572 2943  
45603 30216 28220  25842 14086 15021  10197 8476 9035  8549 6029 4852  
22738 19266 16752  15246 10483 12398  17054 9967 9186  11757 7423 6860  
56262 38767 28377  27009 18424 20821  9090 4492 4551  4005 3231 3851  
46765 55160 33932  30219 9895 17540  10780 1649 6400  8932 365 3574  
7888 4690 3384  8039 4751 3987  7939 4396 4444  6789 3720 3369  
32860 20152 23428  19095 17030 14248  14726 8295 9144  9984 7030 5907  
62572 51207 45265  25731 10732 13323  7383 3670 3164  3541 1052 754  
7289 6164 5705  8122 4568 5286  6071 5252 3627  6222 3606 4424  
34330 14181 20457  24973 16723 14460  14717 12939 10242  8213 6681 6536  
36808 18075 21762  23659 16010 13222  14292 9921 10216  9167 6253 6223  
62197 27717 36851  24256 24683 15324  9180 7495 6233  2974 4316 2887  
83020 41053 49068  11647 20530 11542  4339 2731 1667  1035 2284 501  
27188 17763 17479  18981 9319 11916  14806 10650 8481  10998 5489 5856  
82448 51248 52471  14632 10476 8322  2489 4718 1555  594 399 448  
79715 55628 51765  13720 9675 9011  5441 1248 1781  997 370 267  
58427 36463 28023  22946 17221 14864  12154 7560 11019  3771 3960 5153  
64164 34720 26256  27190 18767 23763  6748 8599 8446  1273 2843 1464  
46198 29616 28034  20624 14888 16310  15264 8660 6658  6482 6765 4545  
51560 37891 32015  25309 12437 16999  7511 9354 5071  8130 3846 3733  
73222 47136 46273  20236 13438 11055  4948 4086 4138  1131 1932 819  
54982 35918 32672  23077 14674 11820  12523 8253 9563  4867 4145 5066  
79946 35401 47226  17321 23240 11123  2114 5307 3832  653 1527 533  
52122 41860 29170  27174 16090 17465  11196 6188 9136  4869 2029 4182  
34190 23417 18615  22850 12354 11149  15635 9582 9548  8833 8224 7366  
42543 31072 25278  27334 13275 15920  13490 7992 7019  6466 7131 6404  
7713 6499 5413  8613 4946 5219  6959 5093 3994  7119 4371 4090  
13259 12541 10856  12019 8022 9431  11265 8944 6632  10762 7154 6334  
85549 46760 48550  11991 16453 10872  2364 2882 2345  412 873 936  
10994 12349 7766  14420 10518 9209  10392 8581 7450  11017 6742 6868  
74361 37907 36931  16777 17194 11967  6642 4708 8543  1836 2610 3174  
77653 51924 53539  17187 7546 6973  4024 6702 1842  1295 749 434  
40217 38612 31518  30427 15644 17590  15446 6977 7704  5241 3404 2757  
17833 12321 11441  12474 10302 9315  12493 7034 7839  8665 6396 6387  
77107 48654 38643  17207 15006 16525  5185 2136 5579  558 846 812  
75924 42787 42721  18058 13636 13957  4054 6973 4699  1472 2875 858  
43159 28675 29743  26911 14960 14605  13473 7634 8070  7565 5688 4669  
39205 30349 22299  23764 14758 12237  14137 9741 9454  9627 5025 6360  
35570 16937 21739  23625 14109 14536  14698 9775 9368  9828 7305 4889  
8288 4602 3602  7833 5743 4723  6584 5409 4293  6642 4130 3432  
46434 25368 23732  19371 19280 13368  14450 9353 8809  7740 6363 7157  
31718 23424 23656  21975 16054 14558  12588 10701 7533  10827 6528 5651  
66586 35852 36927  22255 15783 14464  6772 7013 7245  3019 5402 2543  
54485 38215 41293  18857 14795 13000  15710 7299 5448  7417 2994 1824  
8722 5064 5831  8575 4182 4310  6986 5264 4930  5794 3730 4378  
35854 21560 18388  23702 12402 12642  13604 12658 11180  10279 6220 6906  
17513 12118 11752  13053 8135 9476  12060 5372 6992  7924 6726 6313  
59325 51872 39716  30002 10807 15835  7773 3138 4569  2339 916 1713  
57145 51855 38948  27214 11817 16598  11837 2379 5421  2804 817 1211  
46679 21305 25376  25134 15910 15700  10753 10886 10089  8333 7959 4886  
