# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
37623 20186  17795 9499  8429 4890  6776 3135  2327 1052  
59125 34359  12638 4982  3655 958  1195 146  221 18  
13154 6913  10918 5661  8686 5154  7561 4231  6382 3508  
10226 5230  11556 6347  9094 4429  6339 3989  6240 3239  
52490 30070  16614 7257  5220 2401  1465 550  637 120  
66310 35808  8598 4521  1502 110  313 31  112 6  
34353 16973  16167 10009  13461 6619  6623 3415  3251 1761  
53495 29249  18827 8826  3176 1511  1045 594  260 201  
35991 17019  18245 9482  9294 5003  6738 4567  2702 1708  
19828 11094  13778 6467  9915 4701  8168 5161  6452 3747  
33441 18967  17613 9879  10442 5150  6228 3079  3866 1488  
34755 17019  16105 8710  11710 6401  6554 4113  3941 2010  
25018 13511  16924 9021  9270 4402  7665 4168  5585 2930  
52846 25111  15364 10111  3863 3304  3152 1380  1123 468  
13370 7724  9601 5683  8301 4831  7405 3635  6405 3466  
10412 5188  9411 4553  9818 5238  8198 4292  6554 3703  
25927 13289  17105 9681  11588 6323  6893 3026  4458 2207  
54321 29063  14756 8678  4347 1480  2435 919  679 251  
18182 9449  13012 7703  12018 6394  6893 3758  6634 2897  
63861 33531  8095 4643  2465 1789  1929 447  164 36  
62232 29564  12192 9985  1418 579  564 252  417 86  
14008 7067  13065 7731  11359 6419  8631 4509  5310 3027  
40549 21327  20139 10608  11373 6063  2895 1389  1220 770  
53229 26147  20448 13144  2695 1004  315 120  161 39  
61593 31454  8183 7463  4287 1042  1409 422  740 65  
40415 20739  23968 13592  4655 2324  3541 1774  2214 1004  
38629 21473  19314 10947  9387 4635  3651 1529  3116 1038  
20212 10487  14062 7094  10947 6019  7215 4481  6311 3224  
60952 34616  12252 4569  2778 931  640 221  224 96  
32031 19393  19195 9921  10247 5058  6840 2799  3282 1391  
23226 11479  17707 8872  8708 4810  9008 5118  6463 3600  
5795 2960  5750 2736  4564 2688  5039 2445  4356 2414  
