# NumberOfHospitals NumberOfDistricts TimeHorizon
5 80 5
# CapacityOfPermanentFacility CapacityOfMobileFacility
4675 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
14193.4 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
368 48.8597 2.34064
1976 48.8625 2.34601
703 48.8636 2.3362
670 48.8675 2.32943
296 48.8691 2.33291
642 48.8689 2.33936
1272 48.8681 2.34459
2111 48.8706 2.34875
2103 48.8654 2.35613
1884 48.8642 2.36258
1894 48.8596 2.36258
1650 48.8627 2.35414
1435 48.8591 2.3508
2329 48.8554 2.36042
2084 48.8516 2.3648
899 48.8529 2.35005
2565 48.8485 2.35038
3961 48.8432 2.35951
4288 48.8422 2.34389
2130 48.8491 2.34533
1361 48.8546 2.34015
1943 48.8523 2.33937
5441 48.8447 2.32883
1134 48.8544 2.33371
2785 48.8549 2.32531
1381 48.8609 2.3145
2837 48.8518 2.30476
5534 48.8574 2.30054
1015 48.8708 2.30533
2208 48.874 2.3028
1330 48.8696 2.32617
4093 48.8788 2.32226
4587 48.8784 2.33746
767 48.8732 2.33226
2031 48.8768 2.33927
4887 48.8801 2.345
4757 48.879 2.35192
3315 48.8698 2.35269
5088 48.8691 2.35565
6571 48.8738 2.3677
7260 48.8674 2.37342
7077 48.8611 2.3748
10454 48.8573 2.3812
8025 48.8524 2.38589
7475 48.8413 2.40091
13848 48.8451 2.40109
3077 48.8368 2.38085
5665 48.8468 2.37461
4014 48.8378 2.36468
15182 48.8279 2.37288
14255 48.8225 2.3585
4296 48.834 2.34763
4085 48.8435 2.3283
4354 48.822 2.33779
8191 48.8269 2.32624
12590 48.8318 2.31404
18047 48.8344 2.29822
10325 48.842 2.31291
10430 48.8539 2.28938
10800 48.8392 2.27905
14953 48.8477 2.26674
9947 48.8633 2.2526
6033 48.8713 2.27777
4667 48.8689 2.29211
8610 48.8783 2.29908
8571 48.8857 2.30054
8512 48.8864 2.32146
9757 48.8938 2.31986
14773 48.8921 2.33352
14271 48.8941 2.34568
6275 48.8927 2.35604
5288 48.8827 2.33929
11803 48.8942 2.39318
5408 48.8947 2.3823
12180 48.8824 2.39402
8577 48.8774 2.37102
7870 48.8717 2.38509
9259 48.8715 2.40431
9313 48.8611 2.39401
13838 48.8547 2.38536
# Hospitals's infos (Capacity Latitude Longitude)
23377 48.8288 2.33914
23377 48.8294 2.31138
23376 48.8292 2.31105
11688 48.8227 2.33301
11688 48.8408 2.31024
