# NumberOfHospitals NumberOfDistricts TimeHorizon
1 40 2
# CapacityOfPermanentFacility CapacityOfMobileFacility
24531 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
74476.4 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
368 48.8597 2.34064
670 48.8675 2.32943
642 48.8689 2.33936
1272 48.8681 2.34459
1435 48.8591 2.3508
2565 48.8485 2.35038
2130 48.8491 2.34533
1361 48.8546 2.34015
1134 48.8544 2.33371
2785 48.8549 2.32531
5534 48.8574 2.30054
2208 48.874 2.3028
4093 48.8788 2.32226
4587 48.8784 2.33746
767 48.8732 2.33226
2031 48.8768 2.33927
4757 48.879 2.35192
5088 48.8691 2.35565
6571 48.8738 2.3677
7475 48.8413 2.40091
13848 48.8451 2.40109
5665 48.8468 2.37461
4296 48.834 2.34763
4085 48.8435 2.3283
4354 48.822 2.33779
8191 48.8269 2.32624
12590 48.8318 2.31404
18047 48.8344 2.29822
10430 48.8539 2.28938
10800 48.8392 2.27905
8571 48.8857 2.30054
8512 48.8864 2.32146
9757 48.8938 2.31986
14271 48.8941 2.34568
5288 48.8827 2.33929
12180 48.8824 2.39402
8577 48.8774 2.37102
7870 48.8717 2.38509
9313 48.8611 2.39401
13838 48.8547 2.38536
# Hospitals's infos (Capacity Latitude Longitude)
122656 48.8288 2.33914
