# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  9033 11888 4756  6009 5193 2774  2001 3132 1229  
5748 6743 3153  5565 3969 2412  4744 4391 2089  3220 4356 1765  
2952 2669 1509  3142 2744 1435  2174 2727 1249  2381 2648 1219  
30322 35450 16107  4682 2845 1066  749 998 60  140 1112 9  
17369 25935 10130  9261 8639 3416  6063 3449 2311  1203 1623 625  
11823 17932 6378  9633 8829 3954  6420 5882 2958  3006 3688 1669  
14557 16150 6545  8028 11218 4412  5524 5840 2607  3043 3409 1569  
11361 13763 5398  8667 8588 3874  4154 6392 2263  4406 3446 1907  
30021 25605 14149  4590 12265 2551  938 2110 446  272 480 70  
2961 3496 1596  2199 3381 1235  2406 3111 1246  1800 2715 1069  
23109 30540 13572  9657 5377 3006  2115 3372 544  702 845 96  
13807 10823 5993  8115 9324 3803  5204 6417 2561  2900 4311 1460  
22789 24443 9914  7675 9060 3705  3418 4529 2085  1493 1642 1064  
15870 17351 7433  9144 10043 4612  4497 5700 2402  2030 3412 1083  
6013 6808 3205  4915 5675 2597  4613 3980 2098  3805 3655 1742  
20139 14507 8843  8725 13365 4557  4022 4828 1916  1612 4005 1089  
9775 9525 4852  6803 7478 3479  5147 6302 2491  3924 4227 1676  
10854 14887 6067  8467 8587 3602  5844 5534 2472  4026 3503 1906  
20601 17943 10466  9689 8487 3955  3457 6865 1808  1430 3288 622  
2670 2406 1426  2584 2385 1346  2598 2659 1322  2465 2427 1207  
