# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
15565 17698 6743  9033 11888 4756  6009 5193 2774  2001 3132 1229  
5748 6743 3153  5565 3969 2412  4744 4391 2089  3220 4356 1765  
2952 2669 1509  3142 2744 1435  2174 2727 1249  2381 2648 1219  
30322 35450 16107  4682 2845 1066  749 998 60  140 1112 9  
17369 25935 10130  9261 8639 3416  6063 3449 2311  1203 1623 625  
11823 17932 6378  9633 8829 3954  6420 5882 2958  3006 3688 1669  
14557 16150 6545  8028 11218 4412  5524 5840 2607  3043 3409 1569  
11361 13763 5398  8667 8588 3874  4154 6392 2263  4406 3446 1907  
30021 25605 14149  4590 12265 2551  938 2110 446  272 480 70  
2961 3496 1596  2199 3381 1235  2406 3111 1246  1800 2715 1069  
23109 30540 13572  9657 5377 3006  2115 3372 544  702 845 96  
13807 10823 5993  8115 9324 3803  5204 6417 2561  2900 4311 1460  
22789 24443 9914  7675 9060 3705  3418 4529 2085  1493 1642 1064  
15870 17351 7433  9144 10043 4612  4497 5700 2402  2030 3412 1083  
6013 6808 3205  4915 5675 2597  4613 3980 2098  3805 3655 1742  
20139 14507 8843  8725 13365 4557  4022 4828 1916  1612 4005 1089  
9775 9525 4852  6803 7478 3479  5147 6302 2491  3924 4227 1676  
10854 14887 6067  8467 8587 3602  5844 5534 2472  4026 3503 1906  
20601 17943 10466  9689 8487 3955  3457 6865 1808  1430 3288 622  
2670 2406 1426  2584 2385 1346  2598 2659 1322  2465 2427 1207  
7181 8688 3135  7124 7119 3117  6044 5954 2876  3902 4259 1814  
23476 36631 13206  8907 3674 3178  3048 244 758  278 35 79  
20152 16364 9289  8638 7239 3791  3201 7759 2210  2178 4759 1084  
7943 7992 4383  6957 6709 3447  4823 5629 2499  4569 3879 1836  
33155 29991 14245  2661 5352 2490  88 3875 472  2 1119 29  
4007 7166 2449  4473 5732 2560  4012 5046 2114  3338 3679 1388  
10310 8899 4732  7196 5791 3240  5207 4558 2328  3451 5487 1961  
13391 13033 7295  10201 11975 4704  5346 6882 2450  3343 3085 1268  
12585 18537 6919  8905 8606 3607  4513 6155 2598  4343 3209 1892  
16274 15423 7063  9463 8627 4491  4292 7236 2393  2425 3764 1262  
19148 21672 9355  9596 9022 4313  4006 4838 1898  1270 2746 827  
13326 13994 6466  7915 8822 4059  3681 6375 2140  3325 4177 1578  
14233 12989 7433  10400 9680 4420  4023 5296 2231  3307 5099 1500  
2999 2884 1549  2954 3329 1421  2736 2661 1335  2388 2858 1183  
14417 16804 7896  9890 8893 4367  4456 6527 2240  2983 3804 1195  
27632 30019 14498  6915 5769 2223  1150 3592 444  173 831 66  
15293 28518 9927  10687 8741 4183  4329 2398 1627  2227 664 754  
23236 29829 12466  9306 6953 3605  2081 2228 852  898 801 240  
6355 5261 3060  5019 6021 2653  4537 4959 2073  3652 2736 1602  
3397 3373 1599  3089 3025 1424  2498 2772 1132  2234 2711 1074  
33606 32942 16285  2027 6467 896  234 791 63  35 193 2  
10243 7396 4332  6905 8596 3417  4997 5665 2653  3728 4234 1907  
30275 37149 15762  4383 3098 1050  888 310 351  318 29 69  
2762 3632 1547  2758 3253 1318  2246 2216 1221  1851 2873 1045  
10734 12966 4938  8067 10102 4201  6546 5059 2795  4015 3715 1834  
16907 16802 7825  8378 9433 3827  4303 5401 2016  2558 4062 1502  
6429 6657 2916  3853 6088 2156  4135 4809 1951  4142 3347 1811  
33286 35067 16137  2002 4502 706  256 904 192  289 114 189  
26967 25203 11934  6815 9578 3800  1360 4102 1099  494 1068 228  
22161 21951 11238  7291 9903 3753  4272 3982 1427  1408 1718 484  
