# NumberOfHospitals NumberOfScenarios TimeHorizon
3 300 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
17007 17084 9122  9281 7985 4155  
23856 19134 10785  7616 9203 3961  
34158 28988 14671  1670 7651 2322  
2569 3504 1288  2491 3145 1198  
23749 33459 13473  6838 5843 2240  
19546 35806 12344  13140 4326 4148  
3401 2789 1435  2994 3276 1453  
16804 25803 9429  10022 9350 4782  
26084 25087 14329  7744 10106 2592  
12122 14465 5939  9013 6407 3673  
34446 27188 15187  1351 12089 1933  
10510 14410 5391  9447 8298 4086  
2884 3469 1373  3102 3004 1410  
6167 6099 2655  5181 6216 2629  
15143 15451 6578  9413 10006 4476  
15983 15088 7969  9414 10298 4162  
33846 31891 15107  1272 8082 1673  
29665 31003 14715  4744 7783 1999  
12586 14632 6417  4900 9125 3015  
3456 6981 2365  5076 6082 2674  
13195 14089 6500  7975 6842 3827  
22089 24722 11390  7059 9273 3618  
10277 8355 4638  7343 7161 3291  
6008 7339 3005  4838 4942 2056  
16953 21889 7837  11297 11584 5629  
14366 25302 8880  8886 9293 3771  
16318 17364 8173  8433 10403 4214  
11152 13515 6238  8957 6402 3825  
20037 12854 8087  9066 10639 4594  
24737 25133 10839  6855 8847 3413  
13781 10804 5889  7920 10072 4297  
23984 32999 13674  8369 6183 2415  
2135 3598 1349  2622 2879 1423  
22073 23980 10236  8874 9574 4639  
6309 6159 3194  4708 6240 2546  
8156 9458 4589  7915 7628 3521  
7250 10538 3758  7893 7578 3578  
30211 32953 13686  3404 6936 2416  
13832 22084 8010  8774 10004 4089  
28920 29655 14629  5086 7028 2150  
34662 30104 15475  1139 6383 1580  
30446 27137 13208  3255 9033 2195  
33932 33920 16052  1694 5517 1109  
15040 28379 9928  12849 8971 4884  
6578 7110 3218  5505 3705 2253  
3017 3355 1600  2959 2963 1467  
19890 14364 8861  9204 12399 4566  
2839 3279 1563  3159 2978 1452  
27886 30516 14564  5507 4833 2074  
2969 3654 1478  2555 3251 1422  
9564 8372 4673  7582 6976 3283  
12866 13227 6506  7699 9622 3992  
9843 10237 4556  6605 6830 2875  
3015 3553 1452  3103 2378 1281  
8021 9690 4578  7079 6375 3419  
26860 27410 12596  5078 9725 2991  
5477 5968 2362  5045 5342 2248  
26263 29980 12072  5762 7944 3067  
8450 14430 5340  7763 9507 3731  
20304 19863 9286  7639 9832 4377  
16664 17509 8045  6758 10250 3955  
22841 30006 12180  8033 7780 3356  
3302 3373 1513  2924 2595 1426  
4494 7214 2530  4963 5513 2239  
26477 29350 14253  6539 8453 2445  
3115 2661 1528  3103 2273 1324  
21790 29321 11247  7026 8102 3354  
28952 31789 13783  4531 6523 2106  
27228 33481 14062  6628 5356 2660  
15401 14817 8516  9615 13483 4775  
12203 15579 5608  9952 10460 4682  
21874 29973 12060  9112 7032 3070  
27479 25203 13922  6562 9472 2724  
2799 3649 1554  2870 2536 1411  
16234 17927 7898  8501 9873 4378  
16054 12335 7497  8900 11109 4580  
16518 17703 8032  7261 10009 3546  
20754 18721 9463  7315 10560 4270  
21842 22988 9833  7790 11249 4353  
7773 10501 4540  7282 8186 3464  
8358 14445 5015  5214 9024 3297  
16931 16212 7636  8447 10237 4103  
16643 15030 7991  7711 11774 4051  
14639 18600 7533  9236 9053 4558  
9150 11093 4629  7202 7568 3578  
9744 9812 4372  7416 7051 3344  
34187 24842 14503  1670 13423 2572  
4702 7319 2635  2910 5707 1960  
6039 7343 3018  5395 5714 2515  
9856 13890 4995  8732 9648 4249  
30813 28889 15633  4099 7184 1395  
3297 3082 1605  3009 3194 1476  
22752 36663 13167  8875 3401 3435  
23560 31379 11672  10437 5954 4155  
13356 12731 6481  7300 10158 3907  
2963 3564 1595  2985 2278 1365  
19275 21019 9101  8352 9978 3959  
22186 24958 10657  8037 9956 4172  
23783 19001 10775  7975 10397 3744  
27145 26832 12585  4686 9968 2791  
13184 13319 5998  8739 8443 4097  
12998 14293 6488  5500 9468 3229  
12685 13092 6476  6150 10029 3475  
17193 16195 7984  7881 9195 4248  
2746 3374 1546  2934 2954 1469  
2789 3555 1559  2818 3331 1455  
13754 18481 7155  6778 9666 3473  
17072 19045 9351  8955 11660 4281  
27417 20336 11567  6370 10246 3982  
10219 10005 4840  6365 8267 3190  
22135 22900 12079  10063 7420 3453  
26611 26832 12194  7156 6930 3460  
2746 2729 1486  2970 2352 1379  
17122 18083 7381  8749 11033 4390  
29139 35390 14101  6113 4546 2990  
23248 16214 10181  8476 12405 4521  
25170 30660 11915  8758 6030 3687  
18405 21442 8889  9670 9003 4238  
8415 11035 4310  7377 7596 3663  
2742 3385 1548  3042 3233 1439  
2443 3637 1319  2497 3407 1376  
26068 23183 12643  6260 10264 3325  
2705 3728 1506  2799 2891 1450  
10623 13944 5232  5638 9500 3544  
6854 5097 2892  4876 5152 2598  
27879 32172 13448  5600 6074 2396  
18752 20751 8767  6817 10899 4124  
14916 18113 7989  7265 10308 3804  
2782 3511 1557  3052 3199 1433  
19224 25849 9997  8413 8613 3539  
24945 33780 13566  7110 5495 2348  
5606 7503 2997  4375 5945 2476  
28637 28334 15236  6283 9663 1927  
15223 28506 9811  10719 8822 4488  
29175 26673 14306  5264 9500 2475  
2626 3259 1220  2665 2776 1147  
23247 24434 11044  8259 8822 4082  
28036 22728 13562  6786 11275 2987  
20507 16500 8669  8335 9460 4601  
9048 10864 4809  5937 7714 3302  
18646 23507 10716  8535 11004 3762  
17214 13412 7540  8626 11482 4348  
10193 7140 4247  6763 6375 3434  
23359 14870 9474  7869 11295 4776  
23465 18413 10699  7994 8247 3747  
19817 20163 9804  7972 11192 4043  
3022 3661 1596  2781 2925 1223  
7119 10404 3670  7186 6697 2996  
3412 3328 1603  3081 2239 1311  
16687 13721 7765  8964 7249 3798  
6154 4938 2984  5440 3667 2304  
