# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
17007 17084 9122  9281 7985 4155  
23856 19134 10785  7616 9203 3961  
34158 28988 14671  1670 7651 2322  
2569 3504 1288  2491 3145 1198  
23749 33459 13473  6838 5843 2240  
19546 35806 12344  13140 4326 4148  
3401 2789 1435  2994 3276 1453  
16804 25803 9429  10022 9350 4782  
26084 25087 14329  7744 10106 2592  
12122 14465 5939  9013 6407 3673  
34446 27188 15187  1351 12089 1933  
10510 14410 5391  9447 8298 4086  
2884 3469 1373  3102 3004 1410  
6167 6099 2655  5181 6216 2629  
15143 15451 6578  9413 10006 4476  
15983 15088 7969  9414 10298 4162  
33846 31891 15107  1272 8082 1673  
29665 31003 14715  4744 7783 1999  
12586 14632 6417  4900 9125 3015  
3456 6981 2365  5076 6082 2674  
13195 14089 6500  7975 6842 3827  
22089 24722 11390  7059 9273 3618  
10277 8355 4638  7343 7161 3291  
6008 7339 3005  4838 4942 2056  
16953 21889 7837  11297 11584 5629  
14366 25302 8880  8886 9293 3771  
16318 17364 8173  8433 10403 4214  
11152 13515 6238  8957 6402 3825  
20037 12854 8087  9066 10639 4594  
24737 25133 10839  6855 8847 3413  
13781 10804 5889  7920 10072 4297  
23984 32999 13674  8369 6183 2415  
2135 3598 1349  2622 2879 1423  
22073 23980 10236  8874 9574 4639  
6309 6159 3194  4708 6240 2546  
8156 9458 4589  7915 7628 3521  
7250 10538 3758  7893 7578 3578  
30211 32953 13686  3404 6936 2416  
13832 22084 8010  8774 10004 4089  
28920 29655 14629  5086 7028 2150  
34662 30104 15475  1139 6383 1580  
30446 27137 13208  3255 9033 2195  
33932 33920 16052  1694 5517 1109  
15040 28379 9928  12849 8971 4884  
6578 7110 3218  5505 3705 2253  
3017 3355 1600  2959 2963 1467  
19890 14364 8861  9204 12399 4566  
2839 3279 1563  3159 2978 1452  
27886 30516 14564  5507 4833 2074  
2969 3654 1478  2555 3251 1422  
