# NumberOfHospitals NumberOfScenarios TimeHorizon
2 300 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
87857 37306  43962 30068  19104 12339  
115231 61176  38999 21420  7899 6063  
39552 20563  35024 19221  25290 13796  
130861 78350  32510 10465  3816 3216  
56488 30329  34001 19312  27512 14849  
148331 65808  16752 23007  3193 2569  
42536 33186  41959 22710  24245 11914  
56628 23374  36932 22243  27153 15172  
39936 25251  33838 19139  22928 13755  
73573 51873  44557 22846  21024 8801  
41673 22241  32270 16018  25544 15135  
97731 48927  40668 19172  16019 13744  
96899 37716  42425 29000  15010 10299  
97100 50872  44240 22374  16869 12696  
100593 43740  38904 27591  15637 10133  
53237 29842  41175 23177  26668 12974  
127364 57259  23042 23652  11950 7835  
106690 52105  39045 27990  12961 7883  
122384 87069  38683 4772  6865 492  
92387 64358  36884 19360  27481 6633  
118075 51065  32977 25413  12521 9685  
102722 57768  38664 22969  18007 9064  
40773 15318  34196 17465  25596 15110  
13674 5213  13996 7210  11679 5050  
70556 47438  46251 25832  24248 9034  
107711 60764  42290 18473  11119 8320  
11861 6926  13632 7369  12016 6115  
61415 36953  45642 25636  26973 13003  
75387 46880  44955 22878  16237 11530  
115531 79397  32698 10327  10101 1962  
103148 68062  36588 14741  18212 7891  
27200 10128  25914 14577  20762 10575  
134175 73483  27846 15900  5375 2507  
70977 42773  42463 19225  22052 10247  
110412 66675  39650 21808  12400 3100  
116984 49449  37028 31308  9659 6097  
44415 19665  33677 19043  24304 12231  
117150 59656  34294 20336  11735 9333  
27256 17621  23055 14371  19706 11521  
98582 48401  37893 26930  14480 8327  
75401 52564  40688 20387  21439 10445  
105879 49831  36357 22342  14230 10966  
152500 71203  13036 18528  3048 2285  
