# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
87857 37306  43962 30068  19104 12339  
115231 61176  38999 21420  7899 6063  
39552 20563  35024 19221  25290 13796  
130861 78350  32510 10465  3816 3216  
56488 30329  34001 19312  27512 14849  
148331 65808  16752 23007  3193 2569  
42536 33186  41959 22710  24245 11914  
56628 23374  36932 22243  27153 15172  
39936 25251  33838 19139  22928 13755  
73573 51873  44557 22846  21024 8801  
41673 22241  32270 16018  25544 15135  
97731 48927  40668 19172  16019 13744  
96899 37716  42425 29000  15010 10299  
97100 50872  44240 22374  16869 12696  
100593 43740  38904 27591  15637 10133  
53237 29842  41175 23177  26668 12974  
127364 57259  23042 23652  11950 7835  
106690 52105  39045 27990  12961 7883  
122384 87069  38683 4772  6865 492  
92387 64358  36884 19360  27481 6633  
