# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
87857 37306  43962 30068  19104 12339  
115231 61176  38999 21420  7899 6063  
39552 20563  35024 19221  25290 13796  
130861 78350  32510 10465  3816 3216  
56488 30329  34001 19312  27512 14849  
148331 65808  16752 23007  3193 2569  
42536 33186  41959 22710  24245 11914  
56628 23374  36932 22243  27153 15172  
39936 25251  33838 19139  22928 13755  
73573 51873  44557 22846  21024 8801  
41673 22241  32270 16018  25544 15135  
97731 48927  40668 19172  16019 13744  
96899 37716  42425 29000  15010 10299  
97100 50872  44240 22374  16869 12696  
100593 43740  38904 27591  15637 10133  
53237 29842  41175 23177  26668 12974  
127364 57259  23042 23652  11950 7835  
106690 52105  39045 27990  12961 7883  
122384 87069  38683 4772  6865 492  
92387 64358  36884 19360  27481 6633  
118075 51065  32977 25413  12521 9685  
102722 57768  38664 22969  18007 9064  
40773 15318  34196 17465  25596 15110  
13674 5213  13996 7210  11679 5050  
70556 47438  46251 25832  24248 9034  
107711 60764  42290 18473  11119 8320  
11861 6926  13632 7369  12016 6115  
61415 36953  45642 25636  26973 13003  
75387 46880  44955 22878  16237 11530  
115531 79397  32698 10327  10101 1962  
103148 68062  36588 14741  18212 7891  
27200 10128  25914 14577  20762 10575  
134175 73483  27846 15900  5375 2507  
70977 42773  42463 19225  22052 10247  
110412 66675  39650 21808  12400 3100  
116984 49449  37028 31308  9659 6097  
44415 19665  33677 19043  24304 12231  
117150 59656  34294 20336  11735 9333  
27256 17621  23055 14371  19706 11521  
98582 48401  37893 26930  14480 8327  
75401 52564  40688 20387  21439 10445  
105879 49831  36357 22342  14230 10966  
152500 71203  13036 18528  3048 2285  
130042 76713  31935 11204  4538 3736  
145142 83517  18553 8564  4829 195  
36839 25193  33477 19324  19972 10620  
108737 62943  37136 20883  15423 5606  
89196 55418  43026 24726  19665 7131  
13871 8088  10031 7507  11619 7369  
105499 57044  40029 22423  11390 7584  
37917 26034  28423 18636  25102 11896  
58065 24515  36398 16216  23479 16239  
56236 33830  37876 22061  27265 13293  
155145 80861  11056 7799  2215 3450  
70178 27813  41587 24905  22833 11954  
42797 20860  26209 14683  23611 14694  
145275 61632  21158 27321  1932 2361  
87813 45671  39737 26619  22056 8544  
34999 23210  32224 14952  22939 12509  
92484 49254  41864 22314  17883 8703  
44232 24410  33973 16123  24875 13449  
119002 57738  35332 23012  10075 7056  
136171 66320  24131 17530  6504 5568  
44724 25288  30887 17926  25087 11556  
128572 59786  27738 17967  8446 8766  
15073 8627  12336 8036  12319 7108  
27394 17626  19254 13369  20970 11354  
43320 25313  33198 16649  22744 11107  
14559 8712  14099 7052  12749 6382  
132884 69325  23156 16871  10610 4991  
126559 60237  29879 22735  6807 6235  
128041 55981  29707 26210  7164 6440  
112816 63201  38463 18952  12098 8328  
123397 64290  29853 13786  11163 10524  
88115 44880  42406 23522  17596 12144  
15079 7776  13262 7890  12743 6761  
76852 39627  42032 23044  21681 11765  
37469 26151  30863 17742  26209 13598  
131056 79581  30789 10083  5167 2179  
85311 48415  40837 20077  21125 10549  
26015 14455  23028 14172  20309 11220  
57843 31278  38717 21909  25728 12035  
71506 41440  36698 20577  23817 12624  
46106 23950  31186 19677  25008 12982  
103734 49411  34308 24809  16851 7602  
14410 7014  13961 7321  12560 7260  
138899 74424  23610 12957  4472 3044  
115423 67291  31665 19120  14757 4176  
90479 61054  41983 20871  20009 6575  
23244 16883  22370 12834  20712 11410  
100123 59306  43745 21078  13862 7930  
13053 7195  13053 6850  12315 5838  
58948 26456  39518 22539  25305 14012  
90727 48452  40691 25071  19928 9251  
76746 37262  40682 21065  23142 13858  
122175 62403  33576 19287  9066 6869  
68653 39531  45507 23077  18177 10507  
45488 22977  28531 18782  22114 12362  
29437 12804  25036 14822  20291 9501  
45258 21597  32127 15988  23723 13719  
