# NumberOfHospitals NumberOfDistricts TimeHorizon
2 40 3
# CapacityOfPermanentFacility CapacityOfMobileFacility
11602 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
35223.8 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
670 48.8675 2.32943
1272 48.8681 2.34459
2111 48.8706 2.34875
2103 48.8654 2.35613
1884 48.8642 2.36258
1894 48.8596 2.36258
2329 48.8554 2.36042
899 48.8529 2.35005
2565 48.8485 2.35038
3961 48.8432 2.35951
1943 48.8523 2.33937
2785 48.8549 2.32531
1381 48.8609 2.3145
5534 48.8574 2.30054
4093 48.8788 2.32226
4887 48.8801 2.345
5088 48.8691 2.35565
6571 48.8738 2.3677
10454 48.8573 2.3812
8025 48.8524 2.38589
7475 48.8413 2.40091
13848 48.8451 2.40109
3077 48.8368 2.38085
4014 48.8378 2.36468
14255 48.8225 2.3585
8191 48.8269 2.32624
12590 48.8318 2.31404
18047 48.8344 2.29822
10800 48.8392 2.27905
14953 48.8477 2.26674
6033 48.8713 2.27777
4667 48.8689 2.29211
8571 48.8857 2.30054
8512 48.8864 2.32146
14271 48.8941 2.34568
5288 48.8827 2.33929
5408 48.8947 2.3823
7870 48.8717 2.38509
9259 48.8715 2.40431
13838 48.8547 2.38536
# Hospitals's infos (Capacity Latitude Longitude)
58013 48.8288 2.33914
29006 48.8294 2.31138
