# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
79183 51945  45581 20621  20646 11398  11627 4654  
36339 19863  34316 16891  21796 15335  16293 10544  
59248 28449  39627 23099  22956 14835  16121 7013  
145742 62469  18070 21261  4344 6961  513 1186  
41816 21749  34473 19479  24391 14201  18189 10393  
88897 45338  41218 25205  19476 12308  10094 4112  
109761 70307  37852 16883  14477 3750  4403 1067  
14587 7495  13469 7494  12177 6218  10359 5362  
30569 15336  25345 13590  20537 11557  16816 9265  
43959 21055  31076 13509  22561 10021  18358 10404  
30766 16666  22110 13174  21084 10328  17066 9618  
90257 61635  42819 20563  20370 6799  9674 2134  
43439 19501  34091 17734  23246 11895  18305 10473  
145705 69378  14225 18288  7857 4261  830 315  
61606 33566  32555 22120  27351 13159  14720 8955  
74881 33594  41092 23758  21790 12726  13852 9778  
26597 16336  22272 14515  21863 11110  17827 9041  
28870 17578  22112 14243  19624 10927  17858 8805  
43446 24810  33944 16987  21628 14413  18842 8364  
82935 58398  51109 21405  21446 7825  6466 2770  
