# NumberOfHospitals NumberOfDistricts TimeHorizon
5 40 4
# CapacityOfPermanentFacility CapacityOfMobileFacility
2526 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
7668.97 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
1976 48.8625 2.34601
703 48.8636 2.3362
296 48.8691 2.33291
1884 48.8642 2.36258
1894 48.8596 2.36258
1650 48.8627 2.35414
2329 48.8554 2.36042
899 48.8529 2.35005
2565 48.8485 2.35038
2130 48.8491 2.34533
1361 48.8546 2.34015
1943 48.8523 2.33937
5441 48.8447 2.32883
2785 48.8549 2.32531
1381 48.8609 2.3145
2837 48.8518 2.30476
5534 48.8574 2.30054
1015 48.8708 2.30533
2208 48.874 2.3028
4093 48.8788 2.32226
4587 48.8784 2.33746
767 48.8732 2.33226
2031 48.8768 2.33927
4887 48.8801 2.345
4757 48.879 2.35192
3315 48.8698 2.35269
6571 48.8738 2.3677
7260 48.8674 2.37342
10454 48.8573 2.3812
7475 48.8413 2.40091
4014 48.8378 2.36468
15182 48.8279 2.37288
4085 48.8435 2.3283
8191 48.8269 2.32624
18047 48.8344 2.29822
10430 48.8539 2.28938
8512 48.8864 2.32146
14271 48.8941 2.34568
8577 48.8774 2.37102
13838 48.8547 2.38536
# Hospitals's infos (Capacity Latitude Longitude)
12631 48.8288 2.33914
12630 48.8294 2.31138
12630 48.8292 2.31105
6315 48.8227 2.33301
6315 48.8408 2.31024
