# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
56721 32007 31106  18485 19312 12591  11445 8246 7407  6148 3930 4501  3743 2070 3615  
62153 53533 51177  28185 9531 9737  8537 3115 1619  1180 477 271  281 408 67  
34638 20544 16723  24261 16225 15938  15080 9505 8950  9927 6381 7413  5095 5116 3663  
41629 37388 33436  27871 16262 16394  12024 7447 6733  9676 3382 3127  4095 1531 1467  
40135 43852 28689  35230 15376 19810  13486 5067 7234  5305 1875 3522  2321 614 1582  
53501 40309 28236  25949 12761 12978  12551 9106 12619  4051 3031 3901  1524 1229 2199  
70229 49415 41912  21986 9131 14450  5186 5106 4901  2254 2412 1038  538 779 425  
47133 26836 25743  21228 15557 17444  11780 11119 6412  9521 4991 5721  4847 3802 3071  
82858 47657 51932  14002 12250 8637  3003 5048 1353  485 1665 589  100 338 251  
82673 60639 59076  16382 5617 3400  1051 875 317  326 11 103  31 3 3  
23330 17243 12278  15043 14265 10882  14036 9491 7978  13408 6503 8643  9258 5157 5547  
60293 41621 33562  26429 13311 16581  6796 7940 6046  4204 2772 4074  1313 751 836  
53749 31918 35153  24954 18586 15417  10414 8582 6928  6076 3960 2978  2961 1659 1046  
66413 37111 38318  21745 18214 14157  7903 6630 6599  2796 3052 2066  818 1097 1161  
48029 38766 31288  22903 16070 16941  15311 6911 7857  5530 2823 3642  4240 1410 1412  
69149 64771 52615  20471 2265 7723  9915 102 2432  530 10 85  320 0 41  
66689 48416 52564  23987 8388 7452  5684 8714 2137  2962 867 540  950 568 162  
23032 19546 15851  20830 13023 12327  11063 9976 8428  10168 5628 7319  9593 5037 5206  
76082 35283 48518  17523 25720 11921  5202 4823 2021  1287 913 349  320 272 58  
41925 32069 27542  24305 16176 16447  15078 6595 6089  8615 4109 4272  4624 2999 3949  
39579 43888 28780  32479 15777 20394  13307 4977 8185  8485 1508 2650  2675 638 1300  
76580 42647 51797  19711 16721 8760  3565 5532 1647  452 1113 482  85 668 168  
17992 7512 10051  14185 8215 9557  11558 8922 8160  10493 7015 5631  8588 5801 4753  
74802 37526 37522  15959 19605 12486  7142 5662 9334  1788 2436 1747  531 1390 1320  
54021 33381 35311  24999 17231 12750  11833 8582 7587  4929 4166 4090  2421 1967 1765  
84782 63308 52494  11600 3493 7101  3448 332 2957  606 8 277  21 3 49  
78943 41361 35883  13462 20986 15890  5737 3951 7692  1763 711 2624  278 93 351  
18427 19284 13957  20534 13616 12290  11666 9807 7920  11345 6809 6278  6975 4869 4268  
59100 44423 36772  22928 14353 13045  11011 4156 5724  3667 2670 4718  2453 772 1457  
55838 45922 50111  26515 15795 9871  12240 4484 2298  3944 515 437  1129 235 104  
79239 58345 59164  19093 7705 3448  1656 811 257  395 161 25  73 108 6  
26435 24935 21813  21832 15280 15057  18616 9368 9717  11943 6449 5700  6944 4182 3297  
93925 45820 52872  5515 20263 8036  878 744 1850  108 207 121  39 76 8  
