# NumberOfHospitals NumberOfDistricts TimeHorizon
4 40 4
# CapacityOfPermanentFacility CapacityOfMobileFacility
3674 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
11154.3 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
1976 48.8625 2.34601
2111 48.8706 2.34875
1650 48.8627 2.35414
2329 48.8554 2.36042
2565 48.8485 2.35038
4288 48.8422 2.34389
2130 48.8491 2.34533
1361 48.8546 2.34015
1943 48.8523 2.33937
5441 48.8447 2.32883
1134 48.8544 2.33371
2837 48.8518 2.30476
5534 48.8574 2.30054
2208 48.874 2.3028
1330 48.8696 2.32617
4093 48.8788 2.32226
767 48.8732 2.33226
4887 48.8801 2.345
4757 48.879 2.35192
3315 48.8698 2.35269
5088 48.8691 2.35565
7077 48.8611 2.3748
8025 48.8524 2.38589
7475 48.8413 2.40091
13848 48.8451 2.40109
15182 48.8279 2.37288
4296 48.834 2.34763
4085 48.8435 2.3283
4354 48.822 2.33779
8191 48.8269 2.32624
6033 48.8713 2.27777
8571 48.8857 2.30054
14271 48.8941 2.34568
6275 48.8927 2.35604
5288 48.8827 2.33929
11803 48.8942 2.39318
5408 48.8947 2.3823
12180 48.8824 2.39402
8577 48.8774 2.37102
7870 48.8717 2.38509
# Hospitals's infos (Capacity Latitude Longitude)
18371 48.8288 2.33914
18371 48.8294 2.31138
9185 48.8292 2.31105
9185 48.8227 2.33301
