# NumberOfHospitals NumberOfScenarios TimeHorizon
3 100 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
77197 72213 66080  48390 41578 40352  
83007 88745 99218  59588 44222 29836  
71486 67845 66837  39372 35517 34199  
83414 68158 57794  41368 34177 31007  
43935 46101 50637  37715 31130 28072  
80324 69866 68072  46630 43462 42793  
77825 70671 70155  41382 36542 34759  
130443 107202 95229  36408 32987 32172  
98087 79493 64211  44152 38140 36841  
27386 30556 35486  32988 28158 26025  
27452 26569 26426  22140 20559 19153  
107460 101143 94670  42473 33435 31639  
110224 104781 100550  49317 32892 25573  
58842 54988 53419  37478 33898 32733  
166273 136241 116214  11315 11999 16818  
12064 11885 12546  11145 9669 9340  
64215 64093 66417  42012 37315 34440  
32832 26631 21603  26774 22292 19833  
79098 73511 67147  48132 41463 40481  
42077 40333 40075  30397 26751 25811  
47315 52922 60961  52699 41965 34990  
96535 80716 67608  45374 38552 37673  
100012 93760 89319  50053 37215 31474  
120964 100912 92286  27820 27999 31031  
31407 27729 24974  25864 22327 20773  
128937 121241 120120  39979 24624 14799  
64380 54333 46143  35024 32710 32165  
67201 65594 65366  46212 38856 34858  
83454 68964 58053  42678 38100 37181  
40921 39307 38251  35184 29238 24865  
79402 65517 57360  36845 32442 31863  
60745 61212 64920  27600 29278 31169  
109987 100544 99313  41083 31557 25821  
53176 49821 46164  35138 33897 34994  
121873 111496 105606  38798 27889 22710  
72292 68083 66035  46226 37184 32871  
16484 13240 11059  14427 11571 9137  
113896 106116 99869  41104 31862 29431  
27999 26499 26533  18839 18772 19968  
106360 104715 106357  47867 32604 23395  
122823 106193 98281  37921 32656 30339  
92103 80922 71567  46085 35769 30810  
58865 55975 58170  50062 38712 31577  
99167 77064 59965  44096 40480 40707  
94067 76725 61363  42067 39347 41675  
91924 83388 77725  42951 36336 34525  
137160 112212 98193  32964 31646 32945  
116823 93202 76263  38728 36668 38223  
111613 98879 90712  42782 33634 30298  
26276 23498 23012  19213 19798 21294  
63839 62654 65138  48932 40561 34991  
31050 25780 21079  24728 22559 21451  
55106 57870 63508  43229 38876 35594  
33995 32469 34031  37455 32673 29740  
133368 109420 93305  28531 28632 33465  
144083 132882 123618  27475 12729 10239  
80266 73925 75459  58001 48573 41285  
97446 104582 115349  57325 36631 19333  
10862 11199 12280  13578 11590 10704  
122060 111582 105680  38655 28670 24579  
114033 97564 85127  41793 32085 28360  
32687 28299 25380  25245 21988 20645  
31670 27397 23977  22954 21840 21671  
164187 134054 114595  12201 15069 22343  
31996 33514 37059  36927 30335 26593  
29438 26953 25023  25451 21587 18585  
93674 80982 78249  48729 43689 41238  
24316 24372 25822  24535 21477 20251  
84756 80929 80308  47890 36832 29111  
33256 26156 20701  26474 22517 19650  
87769 83241 77078  51647 40113 36240  
51947 48052 48317  36009 33604 33250  
13706 12931 12249  13599 12430 12096  
44642 38041 34968  33448 29231 27537  
85104 80420 73416  48967 42366 42776  
117183 109621 110965  33672 26143 20209  
44763 38997 36563  32651 29019 27780  
87239 81943 79353  48006 38374 33533  
94234 91631 90614  52785 37296 28499  
39706 34561 33030  37843 32574 29218  
40795 36110 34876  30559 28167 27952  
106498 95776 91420  47365 33592 24815  
81676 63287 48324  43875 40566 40920  
16428 13987 12197  14878 11864 9913  
39966 39257 39506  35738 30828 27726  
15368 13798 12651  13030 12096 11467  
148160 125968 112133  19592 17193 19280  
97839 84819 75937  44245 34306 29783  
14101 13394 13017  14041 11800 9874  
40113 39370 39953  34691 30186 27004  
90202 82864 78243  40385 34608 31792  
100324 80745 65754  41607 37594 38618  
167896 136461 113247  8766 10863 19198  
33719 39074 46503  47264 39475 34412  
15186 13856 13294  9323 9903 11069  
41778 49240 58853  36272 34051 33115  
123676 106334 101447  35851 30087 26887  
14188 12568 10967  12602 11225 9918  
89797 91543 99278  56949 42536 29798  
82343 70704 63016  40341 33063 30309  
