# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
77197 72213 66080  48390 41578 40352  
83007 88745 99218  59588 44222 29836  
71486 67845 66837  39372 35517 34199  
83414 68158 57794  41368 34177 31007  
43935 46101 50637  37715 31130 28072  
80324 69866 68072  46630 43462 42793  
77825 70671 70155  41382 36542 34759  
130443 107202 95229  36408 32987 32172  
98087 79493 64211  44152 38140 36841  
27386 30556 35486  32988 28158 26025  
27452 26569 26426  22140 20559 19153  
107460 101143 94670  42473 33435 31639  
110224 104781 100550  49317 32892 25573  
58842 54988 53419  37478 33898 32733  
166273 136241 116214  11315 11999 16818  
12064 11885 12546  11145 9669 9340  
64215 64093 66417  42012 37315 34440  
32832 26631 21603  26774 22292 19833  
79098 73511 67147  48132 41463 40481  
42077 40333 40075  30397 26751 25811  
