# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
72404 42016  49134 25674  
61093 28867  37531 17919  
43134 26452  32713 16291  
14510 8643  12685 7825  
85394 47247  42952 18325  
66976 39302  40637 23595  
146337 62534  16797 20392  
75302 55926  52993 24502  
77184 41764  39883 19261  
153028 78165  11680 12110  
47684 27652  43247 23755  
93028 46838  36174 23893  
130324 72307  26478 11073  
37083 21461  31384 18786  
135213 65767  30703 22641  
35575 22929  31833 19355  
88443 60783  38256 19183  
41943 17612  30179 18718  
88303 37801  42689 30342  
125577 61685  28207 18536  
120975 75840  35539 13863  
89923 42793  31248 19361  
112642 63580  35085 24463  
15273 8525  13673 7849  
45939 25412  33460 17104  
38637 21642  33915 19674  
49794 34050  41451 21911  
59528 32484  39914 21295  
98833 48350  36289 21572  
26627 17631  25240 13435  
100910 60012  37814 17775  
73393 48750  52062 23877  
76171 42491  37714 23914  
135733 79116  23071 12006  
90341 40743  40160 21555  
27282 16341  23382 14584  
122319 65876  30625 13656  
14535 8830  13399 7961  
83329 53102  39164 22400  
50941 34671  41784 21787  
69813 36580  44986 25358  
38074 22658  33141 14844  
154128 83698  12912 6969  
106075 53736  39836 22034  
117106 66903  37160 16303  
126083 52153  29340 26467  
30569 14699  24836 12774  
107538 39404  40987 29768  
11302 8271  11844 8008  
14231 7247  12515 7995  
104707 74783  49272 14432  
27913 16578  25598 12102  
45631 21375  31492 18510  
24939 16616  21307 14373  
14734 6631  14038 6996  
55468 33498  39201 22300  
15136 8059  13593 6220  
95498 54143  46884 24062  
40873 24450  33981 18805  
68287 38332  43736 25771  
128344 79198  33337 10255  
118103 78828  35944 10960  
30896 15716  25003 12450  
64641 38064  43040 25997  
40938 22587  35163 17797  
99350 49893  42085 22399  
115215 63406  38303 19711  
88386 50702  43897 19948  
34061 18197  31517 18248  
43430 26530  32338 18799  
38159 21914  34291 20002  
27677 14611  22210 14623  
13750 8547  13331 7978  
107008 62507  29211 20503  
12901 8393  14107 7631  
75492 42092  33120 25622  
46022 22010  29314 15128  
51007 31194  43148 20625  
66892 43369  34981 22792  
13721 6930  12141 7553  
45774 23578  31888 18147  
73731 49491  33854 22436  
53690 41527  48061 24267  
107601 55922  34747 19898  
135638 64097  26422 20256  
86707 50180  42917 22795  
104934 47866  37828 21126  
125507 77671  31069 12347  
139944 86832  19228 4566  
120724 73965  34095 14485  
117491 56589  36074 21674  
122996 65604  29987 19202  
72258 51218  46227 19723  
43217 24909  33662 18702  
43829 22728  25522 14075  
126954 77519  28709 11777  
132909 77455  29776 11370  
30807 16727  21342 11913  
154554 76357  11235 11194  
97802 57582  38404 23235  
