# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
72404 42016  49134 25674  
61093 28867  37531 17919  
43134 26452  32713 16291  
14510 8643  12685 7825  
85394 47247  42952 18325  
66976 39302  40637 23595  
146337 62534  16797 20392  
75302 55926  52993 24502  
77184 41764  39883 19261  
153028 78165  11680 12110  
47684 27652  43247 23755  
93028 46838  36174 23893  
130324 72307  26478 11073  
37083 21461  31384 18786  
135213 65767  30703 22641  
35575 22929  31833 19355  
88443 60783  38256 19183  
41943 17612  30179 18718  
88303 37801  42689 30342  
125577 61685  28207 18536  
120975 75840  35539 13863  
89923 42793  31248 19361  
112642 63580  35085 24463  
15273 8525  13673 7849  
45939 25412  33460 17104  
38637 21642  33915 19674  
49794 34050  41451 21911  
59528 32484  39914 21295  
98833 48350  36289 21572  
26627 17631  25240 13435  
100910 60012  37814 17775  
73393 48750  52062 23877  
76171 42491  37714 23914  
135733 79116  23071 12006  
90341 40743  40160 21555  
27282 16341  23382 14584  
122319 65876  30625 13656  
14535 8830  13399 7961  
83329 53102  39164 22400  
50941 34671  41784 21787  
69813 36580  44986 25358  
38074 22658  33141 14844  
154128 83698  12912 6969  
106075 53736  39836 22034  
117106 66903  37160 16303  
126083 52153  29340 26467  
30569 14699  24836 12774  
107538 39404  40987 29768  
11302 8271  11844 8008  
14231 7247  12515 7995  
