# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 2
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
72404 42016  49134 25674  
61093 28867  37531 17919  
43134 26452  32713 16291  
14510 8643  12685 7825  
85394 47247  42952 18325  
66976 39302  40637 23595  
146337 62534  16797 20392  
75302 55926  52993 24502  
77184 41764  39883 19261  
153028 78165  11680 12110  
47684 27652  43247 23755  
93028 46838  36174 23893  
130324 72307  26478 11073  
37083 21461  31384 18786  
135213 65767  30703 22641  
35575 22929  31833 19355  
88443 60783  38256 19183  
41943 17612  30179 18718  
88303 37801  42689 30342  
125577 61685  28207 18536  
