# NumberOfHospitals NumberOfScenarios TimeHorizon
2 50 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
90011 154615  48090 64713  18881 40597  8668 16987  4982 8384  
46162 80493  37120 52369  24372 44456  17189 26716  13074 24350  
147161 192912  22765 65451  4077 26114  518 6006  54 1904  
49882 70544  34392 54200  24667 43981  16659 22619  14111 26778  
62092 108082  39345 67024  27158 43229  13776 26474  12233 16529  
50594 101815  46338 66865  25230 43305  17559 26440  11070 17055  
129383 218079  33562 48140  8786 19753  2139 4316  611 2251  
74587 128288  54934 80309  20426 35875  11828 18296  6749 12903  
79790 129346  43020 75695  19986 37077  12846 20527  9059 13290  
83301 120718  37760 74924  23627 42076  11919 23217  8234 12289  
27390 50971  23443 35434  22446 36382  17498 27316  14188 26486  
30136 47618  22371 41960  20450 37134  17641 30706  15386 24902  
24377 51238  28027 44314  22510 36381  18302 29588  11976 22364  
16295 25401  14054 24231  13273 22386  12066 20367  10751 18584  
57729 107839  34303 64378  22451 39704  22671 28734  13588 18121  
45910 81017  36814 50663  26436 41505  13586 31248  14824 23019  
26629 45859  27889 40811  18250 32601  18523 27500  12764 25606  
73309 134739  47275 69184  25813 38217  10894 22033  7478 13218  
44092 52943  37551 57943  26783 46299  17899 28836  13605 27608  
80526 125094  44888 72323  22033 43584  11882 22692  7104 13044  
69873 150160  55128 77031  22288 34471  13008 16210  7445 7276  
93631 178530  47116 72919  17149 23513  9896 10634  3404 3630  
81325 105917  37948 56553  25624 50266  13539 33359  7624 19742  
138248 265136  28357 22762  5789 4096  1721 770  324 107  
149171 226716  18355 36021  5323 24928  1321 3692  248 579  
62790 88965  42419 67888  26381 48979  15858 31542  10298 18214  
44863 72139  32864 58407  24529 35642  17833 29179  13367 24273  
141544 250434  29676 38234  2946 3800  402 358  23 47  
148348 224519  24166 57996  1534 6266  383 2874  142 862  
83607 95156  51265 88749  21897 53950  10029 24484  4067 13832  
110804 148187  39518 91270  15573 32783  5846 11665  1837 4915  
43833 52571  33689 51504  24674 37456  17409 31998  13021 22546  
112842 196697  42300 70405  13254 18486  3963 4196  1267 1564  
61366 98217  35037 70020  29311 42119  15677 28893  12441 15608  
48524 72286  34523 52930  24705 44447  18007 32648  13938 22324  
90885 138953  43952 66197  21054 37693  8472 25459  5044 9200  
84956 148144  52523 73540  14982 27722  12466 21345  5761 13698  
114418 164094  36335 57895  10828 29915  5265 15678  5557 17692  
117373 167689  38485 74038  12557 31415  3740 9775  1623 6004  
29257 51195  27372 38820  17411 34245  17219 30894  15449 20899  
113804 170234  34189 72447  17452 26737  5799 10958  2111 7421  
113097 144603  38327 73004  14049 32178  5617 20940  2090 11572  
28317 52209  27890 41802  20488 29712  15288 30545  14363 25216  
116909 191278  35841 54712  15127 26712  4128 11048  1730 4801  
130938 198946  30179 48478  8488 28747  2998 6035  1293 7767  
151569 244147  19684 37455  2323 8006  902 2488  97 598  
129143 220624  31037 50116  10870 15668  2726 4158  509 1245  
30543 47866  24247 45213  19104 34478  18565 27539  13876 24120  
130398 228936  34204 48381  8003 12663  1303 1663  335 544  
60425 98764  40823 69579  21891 34407  19793 31629  10435 19316  
