# NumberOfHospitals NumberOfScenarios TimeHorizon
2 100 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
90011 154615  48090 64713  18881 40597  8668 16987  4982 8384  
46162 80493  37120 52369  24372 44456  17189 26716  13074 24350  
147161 192912  22765 65451  4077 26114  518 6006  54 1904  
49882 70544  34392 54200  24667 43981  16659 22619  14111 26778  
62092 108082  39345 67024  27158 43229  13776 26474  12233 16529  
50594 101815  46338 66865  25230 43305  17559 26440  11070 17055  
129383 218079  33562 48140  8786 19753  2139 4316  611 2251  
74587 128288  54934 80309  20426 35875  11828 18296  6749 12903  
79790 129346  43020 75695  19986 37077  12846 20527  9059 13290  
83301 120718  37760 74924  23627 42076  11919 23217  8234 12289  
27390 50971  23443 35434  22446 36382  17498 27316  14188 26486  
30136 47618  22371 41960  20450 37134  17641 30706  15386 24902  
24377 51238  28027 44314  22510 36381  18302 29588  11976 22364  
16295 25401  14054 24231  13273 22386  12066 20367  10751 18584  
57729 107839  34303 64378  22451 39704  22671 28734  13588 18121  
45910 81017  36814 50663  26436 41505  13586 31248  14824 23019  
26629 45859  27889 40811  18250 32601  18523 27500  12764 25606  
73309 134739  47275 69184  25813 38217  10894 22033  7478 13218  
44092 52943  37551 57943  26783 46299  17899 28836  13605 27608  
80526 125094  44888 72323  22033 43584  11882 22692  7104 13044  
69873 150160  55128 77031  22288 34471  13008 16210  7445 7276  
93631 178530  47116 72919  17149 23513  9896 10634  3404 3630  
81325 105917  37948 56553  25624 50266  13539 33359  7624 19742  
138248 265136  28357 22762  5789 4096  1721 770  324 107  
149171 226716  18355 36021  5323 24928  1321 3692  248 579  
62790 88965  42419 67888  26381 48979  15858 31542  10298 18214  
44863 72139  32864 58407  24529 35642  17833 29179  13367 24273  
141544 250434  29676 38234  2946 3800  402 358  23 47  
148348 224519  24166 57996  1534 6266  383 2874  142 862  
83607 95156  51265 88749  21897 53950  10029 24484  4067 13832  
110804 148187  39518 91270  15573 32783  5846 11665  1837 4915  
43833 52571  33689 51504  24674 37456  17409 31998  13021 22546  
112842 196697  42300 70405  13254 18486  3963 4196  1267 1564  
61366 98217  35037 70020  29311 42119  15677 28893  12441 15608  
48524 72286  34523 52930  24705 44447  18007 32648  13938 22324  
90885 138953  43952 66197  21054 37693  8472 25459  5044 9200  
84956 148144  52523 73540  14982 27722  12466 21345  5761 13698  
114418 164094  36335 57895  10828 29915  5265 15678  5557 17692  
117373 167689  38485 74038  12557 31415  3740 9775  1623 6004  
29257 51195  27372 38820  17411 34245  17219 30894  15449 20899  
113804 170234  34189 72447  17452 26737  5799 10958  2111 7421  
113097 144603  38327 73004  14049 32178  5617 20940  2090 11572  
28317 52209  27890 41802  20488 29712  15288 30545  14363 25216  
116909 191278  35841 54712  15127 26712  4128 11048  1730 4801  
130938 198946  30179 48478  8488 28747  2998 6035  1293 7767  
151569 244147  19684 37455  2323 8006  902 2488  97 598  
129143 220624  31037 50116  10870 15668  2726 4158  509 1245  
30543 47866  24247 45213  19104 34478  18565 27539  13876 24120  
130398 228936  34204 48381  8003 12663  1303 1663  335 544  
60425 98764  40823 69579  21891 34407  19793 31629  10435 19316  
134165 244251  33918 35516  4473 10148  1522 2311  345 420  
124432 210498  38417 51870  7664 17048  2765 7606  726 2996  
163472 256260  10132 33467  960 2617  42 438  10 116  
94323 150366  39973 74911  21341 28169  9065 12668  5430 12921  
16005 23233  14344 25004  12895 18906  12471 17745  11303 17876  
14480 16893  15207 22519  12895 20620  10567 12284  10657 17403  
60577 105965  34259 51308  25021 48484  16057 26483  13845 21638  
27643 49408  27360 42353  20303 37014  17732 30152  11742 19741  
24357 40790  24719 36042  17195 27905  17826 28462  14116 27417  
25082 43300  20718 37298  23863 35926  17034 22084  16490 25668  
71603 83777  46652 83914  22884 47307  13952 26470  8469 17404  
132954 206973  35590 53156  3989 16592  1348 11908  567 2874  
153635 263808  19750 25776  962 2248  235 845  28 191  
117769 169465  37164 74846  13125 25995  4267 12051  1478 5116  
14153 19213  14906 24691  11693 21038  12028 15143  10880 18684  
96221 159955  44318 71586  17945 32316  9986 17139  3013 5253  
78687 111104  44525 83672  24664 42249  12276 22851  6059 14044  
128487 207832  34469 53292  8741 22730  2238 5809  453 2329  
38681 60263  30195 54269  27583 46612  16830 27407  16473 27446  
148626 267851  16590 16466  7404 6810  1470 1036  404 587  
129956 215114  33699 51336  7721 18687  2343 5645  633 1417  
100575 143523  39988 80500  19463 33337  8155 15413  3579 9592  
72531 130500  41608 67629  27712 38556  13426 23932  8686 11852  
14185 22160  14789 23046  13950 21746  11357 20409  10363 17877  
33570 48424  25172 32199  19852 25969  17969 33557  14182 28335  
140172 247602  28082 35952  5024 5457  872 2224  239 803  
124469 233660  37676 47305  8834 6662  2763 4153  620 837  
139608 258927  26231 25453  6700 4895  1606 2757  310 529  
42903 52645  35679 55007  23802 36947  20635 35269  12979 19700  
127557 185929  37326 82605  7476 16376  1717 4793  353 2075  
132833 212091  25882 56318  12092 15734  2873 6252  539 1510  
154373 230082  18881 56952  1263 5118  76 601  17 125  
80833 104838  40082 55829  25651 59234  12504 24922  7070 19538  
110896 188275  42533 58681  12945 25817  5067 12899  1829 4549  
163650 258365  8855 30896  1771 2585  245 701  56 151  
16707 23645  14351 18731  13391 19810  11805 17452  11258 18776  
53939 81032  35886 60555  32007 50236  18292 28515  11964 18170  
115136 182909  39147 63825  13317 26865  4687 11042  1445 5098  
126018 186869  38889 65974  7513 28465  1547 6197  436 3643  
110930 165190  42969 73774  12744 29240  5312 15326  1583 5925  
12061 24923  14492 24892  11975 22220  11279 18226  10101 16217  
48832 76083  32717 60118  22806 38320  18944 32706  13431 20150  
115804 183497  35816 63955  13441 28964  6304 8656  2153 4343  
137365 261925  29333 26401  7077 3493  683 880  100 145  
129454 215369  28501 55040  10443 12665  4209 6877  1345 2172  
112882 165418  40794 67591  13779 38113  4266 12154  1774 5764  
109172 179800  39185 57880  16065 27167  6226 19438  2908 5576  
30367 50545  23264 44447  23181 35029  18193 27048  14359 24731  
166091 224643  7949 62850  525 3445  38 1141  5 548  
133169 170657  32971 76841  6386 33877  1597 7584  285 1644  
