# NumberOfHospitals NumberOfScenarios TimeHorizon
2 20 5
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
90011 154615  48090 64713  18881 40597  8668 16987  4982 8384  
46162 80493  37120 52369  24372 44456  17189 26716  13074 24350  
147161 192912  22765 65451  4077 26114  518 6006  54 1904  
49882 70544  34392 54200  24667 43981  16659 22619  14111 26778  
62092 108082  39345 67024  27158 43229  13776 26474  12233 16529  
50594 101815  46338 66865  25230 43305  17559 26440  11070 17055  
129383 218079  33562 48140  8786 19753  2139 4316  611 2251  
74587 128288  54934 80309  20426 35875  11828 18296  6749 12903  
79790 129346  43020 75695  19986 37077  12846 20527  9059 13290  
83301 120718  37760 74924  23627 42076  11919 23217  8234 12289  
27390 50971  23443 35434  22446 36382  17498 27316  14188 26486  
30136 47618  22371 41960  20450 37134  17641 30706  15386 24902  
24377 51238  28027 44314  22510 36381  18302 29588  11976 22364  
16295 25401  14054 24231  13273 22386  12066 20367  10751 18584  
57729 107839  34303 64378  22451 39704  22671 28734  13588 18121  
45910 81017  36814 50663  26436 41505  13586 31248  14824 23019  
26629 45859  27889 40811  18250 32601  18523 27500  12764 25606  
73309 134739  47275 69184  25813 38217  10894 22033  7478 13218  
44092 52943  37551 57943  26783 46299  17899 28836  13605 27608  
80526 125094  44888 72323  22033 43584  11882 22692  7104 13044  
