# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 4
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
94204 77257 62307  45856 40236 40245  20800 16238 15187  8773 7161 7347  
98758 86829 74736  48781 40062 39444  15373 13080 14259  8255 5708 5307  
98486 82610 75436  33076 33422 36634  22312 18423 15485  11018 7458 5064  
31386 28000 25693  27545 22098 18599  20143 17705 17028  16651 15169 14652  
98498 93610 93550  32652 28257 26313  23918 17222 11972  9066 5776 3602  
106319 100050 103229  55406 41507 29346  9757 5661 3576  5903 2700 1146  
16532 12893 10055  13958 12404 11237  13021 11689 11051  12075 10566 9910  
86848 75244 63900  48425 41949 41994  24293 18210 16451  10573 8412 8467  
144736 124128 115350  31725 23473 17644  1190 1553 2868  1025 1068 1426  
165498 131953 105172  11243 16474 30605  1782 1504 1310  656 583 406  
114096 108134 105222  43731 31264 25002  11115 7225 5488  6918 2891 1416  
98286 109119 124268  38219 25884 10574  19178 10044 2264  19023 5098 472  
56034 53105 51093  35306 31496 28761  27749 23612 22496  19394 15313 13614  
128624 121898 120658  38364 23425 14390  7703 3824 2057  3072 1153 426  
123565 106222 99786  46036 37256 30463  6733 5413 5923  2004 1311 1162  
67004 53748 44134  37558 33451 30670  24390 20225 19314  17555 14975 14682  
96290 79639 69694  34414 32384 34204  26829 20905 17011  11782 8937 7394  
15831 12792 10159  12658 11325 10076  13600 10546 8224  12771 10269 8707  
164113 131518 104885  11061 13243 22595  2370 4065 8482  892 1126 1265  
150943 121787 99985  23051 22763 28177  4174 4855 7546  783 911 1524  
