# NumberOfHospitals NumberOfScenarios TimeHorizon
3 20 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
47802 37782 28988  21691 16741 17607  16613 6782 9046  
37467 29824 20859  27555 16903 19646  12467 9847 8586  
16960 10438 8204  14854 10122 10172  11261 6723 5217  
63130 37015 26786  25968 22053 24126  7128 5940 7136  
17302 6725 9874  15541 9813 9494  12632 7307 6618  
7969 4326 5628  8236 5723 5222  6406 4766 4862  
49124 43386 29866  25141 15550 16289  14571 5375 10931  
26778 24314 22299  20916 14246 14911  14905 11062 8593  
27642 25752 21384  26920 13262 15175  17143 9496 9271  
6933 6290 5523  7573 5718 4519  5168 5255 3813  
46686 38798 30491  22977 16374 14919  16627 6484 9053  
48447 38081 29874  20785 16123 17406  16355 5381 5954  
55820 39435 41498  24672 18750 12865  11520 3298 4983  
39783 36622 33248  29509 17617 15280  16334 7080 7097  
26754 25941 20315  22475 15512 15448  14164 9896 9112  
59819 46819 46739  24183 10276 11361  8862 6631 3321  
9468 4665 5044  7755 5328 5466  7583 3643 4417  
72577 48469 45699  19772 13486 11322  4660 3853 4255  
64679 50912 45787  23236 9017 12565  8667 3877 3209  
69357 47124 38229  19553 15385 17550  8350 3288 5185  
