# NumberOfHospitals NumberOfScenarios TimeHorizon
3 50 3
# DemandeScenario_0_Hospital_0_Period_0 DemandeScenario_0_Hospital_1_Period_0 ... DemandeScenario_0_Hospital_0_Period_1 DemandeScenario_0_Hospital_1_Period_1 ...
# DemandeScenario_1_Hospital_0_Period_0 DemandeScenario_1_Hospital_1_Period_0 ... DemandeScenario_1_Hospital_0_Period_1 DemandeScenario_1_Hospital_1_Period_1 ...
# ...
# ...
# ...
47802 37782 28988  21691 16741 17607  16613 6782 9046  
37467 29824 20859  27555 16903 19646  12467 9847 8586  
16960 10438 8204  14854 10122 10172  11261 6723 5217  
63130 37015 26786  25968 22053 24126  7128 5940 7136  
17302 6725 9874  15541 9813 9494  12632 7307 6618  
7969 4326 5628  8236 5723 5222  6406 4766 4862  
49124 43386 29866  25141 15550 16289  14571 5375 10931  
26778 24314 22299  20916 14246 14911  14905 11062 8593  
27642 25752 21384  26920 13262 15175  17143 9496 9271  
6933 6290 5523  7573 5718 4519  5168 5255 3813  
46686 38798 30491  22977 16374 14919  16627 6484 9053  
48447 38081 29874  20785 16123 17406  16355 5381 5954  
55820 39435 41498  24672 18750 12865  11520 3298 4983  
39783 36622 33248  29509 17617 15280  16334 7080 7097  
26754 25941 20315  22475 15512 15448  14164 9896 9112  
59819 46819 46739  24183 10276 11361  8862 6631 3321  
9468 4665 5044  7755 5328 5466  7583 3643 4417  
72577 48469 45699  19772 13486 11322  4660 3853 4255  
64679 50912 45787  23236 9017 12565  8667 3877 3209  
69357 47124 38229  19553 15385 17550  8350 3288 5185  
91327 59698 57481  8271 4353 4239  797 2575 724  
92337 59111 54417  6543 7549 6680  1403 404 1407  
33388 16316 21973  20996 13062 14606  16215 9058 8838  
42427 31387 25722  25254 12791 11980  12731 11034 11152  
67603 41928 32767  21778 16674 16483  6567 6461 8270  
50359 35192 27363  27324 15785 16594  11925 8676 9088  
55285 31004 34388  25273 13717 13098  11131 10798 7424  
76953 40940 34004  15079 18319 14302  7187 5177 11066  
7932 5946 4371  5350 5698 3793  8087 4790 4790  
45756 45349 33912  25829 14638 15193  15785 4829 8457  
25170 17792 17812  15976 10368 12230  15829 9594 9186  
57444 55460 36153  30585 10184 21248  7940 1286 4387  
55321 36649 41192  28370 19397 13609  9681 6781 5299  
26019 18504 17512  19434 13651 11909  13134 8787 9470  
33008 21352 23676  18057 16882 13754  15564 7724 9183  
45456 38828 33028  21504 16370 13509  16846 5626 9269  
33681 21704 23732  18928 15379 14373  13243 11649 8143  
83061 64131 53177  15389 2494 9268  1662 469 414  
7276 6296 5623  5231 5681 3742  7841 3913 4830  
60292 36088 41108  21537 21115 12805  10328 6067 5886  
24658 19340 16172  21223 12069 12531  14137 9991 8646  
45155 39125 31236  22326 14686 17152  15824 6593 5578  
61601 50836 38327  25790 11911 15133  8188 3214 5540  
90924 60099 57513  7940 4528 4852  1318 2301 482  
51679 50151 33708  31539 13088 20119  9280 2978 5359  
60207 27431 37457  25830 24452 15749  8530 9876 6174  
93680 56151 52663  5198 10503 9091  1223 396 690  
58393 45563 50705  31165 18115 9988  8400 2249 1792  
62188 39724 46577  27619 17376 11919  7998 6700 3031  
34911 22887 23762  21268 17021 13287  11887 10545 8032  
