# NumberOfHospitals NumberOfDistricts TimeHorizon
3 40 3
# CapacityOfPermanentFacility CapacityOfMobileFacility
6139 200
# SetupCostOfPermanentFacility SetupCostOfMobileFacility MovingCostOfMobileFacility
18638.1 322.98 1
# OperationalCost StorageCost BloodTransportationCost
0.0690567 1 0.02
# Districts's infos (Supply Latitude Longitude)
703 48.8636 2.3362
670 48.8675 2.32943
296 48.8691 2.33291
1272 48.8681 2.34459
1884 48.8642 2.36258
1435 48.8591 2.3508
2329 48.8554 2.36042
2084 48.8516 2.3648
3961 48.8432 2.35951
2130 48.8491 2.34533
1361 48.8546 2.34015
1943 48.8523 2.33937
5441 48.8447 2.32883
1134 48.8544 2.33371
1381 48.8609 2.3145
2208 48.874 2.3028
1330 48.8696 2.32617
4093 48.8788 2.32226
4757 48.879 2.35192
3315 48.8698 2.35269
7260 48.8674 2.37342
7077 48.8611 2.3748
10454 48.8573 2.3812
8025 48.8524 2.38589
15182 48.8279 2.37288
4296 48.834 2.34763
4085 48.8435 2.3283
12590 48.8318 2.31404
18047 48.8344 2.29822
10800 48.8392 2.27905
6033 48.8713 2.27777
4667 48.8689 2.29211
8571 48.8857 2.30054
8512 48.8864 2.32146
9757 48.8938 2.31986
14773 48.8921 2.33352
14271 48.8941 2.34568
5288 48.8827 2.33929
7870 48.8717 2.38509
9313 48.8611 2.39401
# Hospitals's infos (Capacity Latitude Longitude)
30695 48.8288 2.33914
30695 48.8294 2.31138
15348 48.8292 2.31105
